ledger_id,artifact_path,record_id,metric_or_term,source_ids,upstream_ids,classification,review_status,cutoff_status,notes
P7L-00021,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-010,minimum EBITDA to cash-interest coverage warning,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_warning,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00022,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-011,minimum usable liquidity warning,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_warning,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00023,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-012,operating cash floor,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,model_control,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00024,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-013,excess cash flow sweep,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00025,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-014,restricted payments,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00026,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-015,additional debt and acquisitions,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00027,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-016,"cures, waivers and drawability",SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00028,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-017,reporting and control remediation,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00029,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-001,recommended structure,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00030,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-002,term commitment and funding,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00031,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-003,amortization,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00032,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-004,gross or net leverage,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00033,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-005,leverage covenant,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00034,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-006,analyst leverage warning,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00035,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-007,cash-interest coverage,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00036,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-008,minimum liquidity,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00037,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-009,operating cash floor,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00038,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-010,ECF sweep,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00039,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-011,share repurchases,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00040,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-012,dividends,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00041,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-013,warning response,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00042,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-014,breach response,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00043,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-015,equity cures and acquisition step-ups,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00044,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-016,maturity refinancing,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00045,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-017,book-cash leverage,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00046,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-018,amend/extend option,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00047,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-019,financing comparison horizon,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00048,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-020,coverage status terminology,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00049,data/phase7/raw/OWNER_REVIEW_DECISIONS.csv,P7OD-021,drawability path taxonomy,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00050,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-001,Retain existing facilities,SRC-001;SRC-002;SRC-003,STR-001;BASE;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00051,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-002,Retain existing facilities,SRC-001;SRC-002;SRC-003,STR-001;MODERATE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00052,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-003,Retain existing facilities,SRC-001;SRC-002;SRC-003,STR-001;SEVERE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00053,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-004,Retain existing facilities,SRC-001;SRC-002;SRC-003,STR-001;MODERATE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00054,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-005,Retain existing facilities,SRC-001;SRC-002;SRC-003,STR-001;SEVERE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00055,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-006,Retain existing facilities,SRC-001;SRC-002;SRC-003,STR-001;MODERATE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00056,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-007,Retain existing facilities,SRC-001;SRC-002;SRC-003,STR-001;SEVERE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00057,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-008,Limited amendment or extension,SRC-001;SRC-003,PT-002:PT-024,qualitative_not_determinable,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00058,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-009,$650m reference term / 10% amortization,SRC-001;SRC-002;SRC-003,STR-003;BASE;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00059,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-010,$650m reference term / 10% amortization,SRC-001;SRC-002;SRC-003,STR-003;MODERATE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00060,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-011,$650m reference term / 10% amortization,SRC-001;SRC-002;SRC-003,STR-003;SEVERE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00061,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-012,$650m reference term / 10% amortization,SRC-001;SRC-002;SRC-003,STR-003;MODERATE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00062,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-013,$650m reference term / 10% amortization,SRC-001;SRC-002;SRC-003,STR-003;SEVERE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00063,data/phase7/processed/STRUCTURE_COMPARISON.csv,P7SC-014,$650m reference term / 10% amortization,SRC-001;SRC-002;SRC-003,STR-003;MODERATE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
