assumption_id,category,description,value,unit,classification,source_or_ids,rationale,sensitivity_role,limitation,review_status
P9A-011,cost,going-concern realization cost,10,percent,proposed_assumption,P9D-004,Deducted once from gross enterprise value.,going_concern,Deducted once from gross enterprise value.,owner_reviewed
P9A-012,cost,asset-realization cost,15,percent,proposed_assumption,P9D-008,Deducted once from gross illustrative asset proceeds.,asset_realization,Deducted once from gross illustrative asset proceeds.,owner_reviewed
P9A-013,deduction,other-funded-obligations deduction used for conservative sensitivity,62.619,USD_millions,proposed_assumption,P9D-011,"Deducted once so retained finance leases and other funded obligations are not ignored. It is not evidence that the amount legally ranks ahead of the bank facilities; ranking, collateral priority, entity allocation and enforceability remain not determinable.",both,"Deducted once so retained finance leases and other funded obligations are not ignored. It is not evidence that the amount legally ranks ahead of the bank facilities; ranking, collateral priority, entity allocation and enforceability remain not determinable.",owner_reviewed
P9A-014,access,full consolidated-access ceiling case,100,percent,proposed_assumption,P9D-012,"Gross mechanical upper-bound sensitivity only. Full consolidated access is not expected lender access; entity-level, foreign-asset, guarantor, collateral and legal accessibility remain not determinable.",asset_realization,"Gross mechanical upper-bound sensitivity only. Full consolidated access is not expected lender access; entity-level, foreign-asset, guarantor, collateral and legal accessibility remain not determinable.",owner_reviewed
P9A-015,access,cash realization credit,0,percent,proposed_assumption,P9D-009,Explicit zero credit pending entity-level accessibility evidence; not a claim that cash has no value.,asset_realization,Explicit zero credit pending entity-level accessibility evidence; not a claim that cash has no value.,owner_reviewed
P9A-016,asset,receivables realization low,50,percent,proposed_assumption,P9D-005,Illustrative; not an eligibility or collectability conclusion.,asset_low,Illustrative; not an eligibility or collectability conclusion.,owner_reviewed
P9A-017,asset,receivables realization base,70,percent,proposed_assumption,P9D-005,Illustrative; not an eligibility or collectability conclusion.,asset_base,Illustrative; not an eligibility or collectability conclusion.,owner_reviewed
P9A-018,asset,receivables realization high,85,percent,proposed_assumption,P9D-005,Illustrative; not an eligibility or collectability conclusion.,asset_high,Illustrative; not an eligibility or collectability conclusion.,owner_reviewed
P9A-019,asset,inventory realization low,20,percent,proposed_assumption,P9D-006,Illustrative; no inventory appraisal or saleability analysis is available.,asset_low,Illustrative; no inventory appraisal or saleability analysis is available.,owner_reviewed
P9A-020,asset,inventory realization base,40,percent,proposed_assumption,P9D-006,Illustrative; no inventory appraisal or saleability analysis is available.,asset_base,Illustrative; no inventory appraisal or saleability analysis is available.,owner_reviewed
P9A-021,asset,inventory realization high,60,percent,proposed_assumption,P9D-006,Illustrative; no inventory appraisal or saleability analysis is available.,asset_high,Illustrative; no inventory appraisal or saleability analysis is available.,owner_reviewed
P9A-022,asset,PP&E realization low,20,percent,proposed_assumption,P9D-007,Illustrative; consolidated book PP&E is not an appraisal or collateral schedule.,asset_low,Illustrative; consolidated book PP&E is not an appraisal or collateral schedule.,owner_reviewed
P9A-023,asset,PP&E realization base,40,percent,proposed_assumption,P9D-007,Illustrative; consolidated book PP&E is not an appraisal or collateral schedule.,asset_base,Illustrative; consolidated book PP&E is not an appraisal or collateral schedule.,owner_reviewed
P9A-024,asset,PP&E realization high,60,percent,proposed_assumption,P9D-007,Illustrative; consolidated book PP&E is not an appraisal or collateral schedule.,asset_high,Illustrative; consolidated book PP&E is not an appraisal or collateral schedule.,owner_reviewed
P9A-025,priority,bank claim allocation,pari_passu_pro_rata,text,proposed_assumption,P9D-013,Illustrative term/revolver/unpaid-interest allocation only; final legal priority is not known.,both,Illustrative term/revolver/unpaid-interest allocation only; final legal priority is not known.,owner_reviewed
P9A-026,conclusion,official facility recovery,N/D,status,not_determinable,GAP-001;GAP-002;GAP-004,"Missing guarantor, collateral, lien, priority, appraisal, access, and claims evidence prevents an official percentage.",official,"Missing guarantor, collateral, lien, priority, appraisal, access, and claims evidence prevents an official percentage.",not_determinable
P9A-027,maturity,maturity sensitivity date,2031-01-31,date,calculated,P7UM-008,Separate refinancing exposure sensitivity; not the primary default date.,maturity,Separate refinancing exposure sensitivity; not the primary default date.,owner_reviewed
P9A-028,maturity,maturity bank claim before cash,339.5828318477667587005235116,USD_millions,calculated,P7UM-008,Bank maturity payment due before modeled cash application.,maturity,Bank maturity payment due before modeled cash application.,approved_upstream_calculation
