monitor_id,risk_driver_ids,metric_or_event,exact_definition,unit,frequency,required_report_or_source,observability_status,baseline,warning_threshold,covenant_or_contractual_threshold,comparator_direction,lookback_period,responsible_lender_reviewer,required_borrower_response,lender_action,escalation_timing,severity_classification,cure_or_waiver_relevance,source_or_assumption_ids,limitation,review_status
MON-011,DRV-006,Maintenance capital expenditure,Actual and committed maintenance/safety capex versus approved maintenance floor.,USD_millions,monthly,Project-level capex schedule,dependent_on_private_diligence,Maintenance floor N/D,below approved maintenance floor or deferred safety project,,less_than_or_event,year to date,Portfolio manager,Explain deferral and operational effect.,Do not credit cash preservation; require project remediation plan.,immediate,analyst_warning,no,DRV-006,Threshold becomes measurable only after borrower schedule.,owner_reviewed
MON-012,DRV-012,Usable liquidity,Eligible unrestricted cash plus undrawn drawable revolver capacity after LCs.,USD_millions,monthly,Monthly liquidity certificate by entity and jurisdiction,available_through_required_borrower_reporting,$263.902m opening Base,below $75m,below $50m proposed covenant,less_than,month end and pro forma for material actions,Credit officer,Deliver 13-week cash forecast and corrective-action plan.,Notify lenders immediately; suspend discretionary actions where documents permit.,immediate,analyst_warning,possible,DRV-012;P7CP-006;P7CP-011,Eligible cash and drawability require final documentation.,owner_reviewed
MON-013,DRV-010;DRV-012,Revolver utilization,Drawn revolver plus LCs divided by commitment.,percent,monthly,Debt and liquidity report,available_through_required_borrower_reporting,12.0% opening including LCs,above 75%,,greater_than,month end,Portfolio manager,Explain usage and deliver 13-week cash forecast.,Increase reporting to weekly and restrict repurchases under proposed terms.,immediate,analyst_warning,no,DRV-010;DRV-012,Availability depends on final draw conditions.,owner_reviewed
MON-014,DRV-012,Revolver drawability,"Representations, no-default conditions, covenant compliance and documentation needed for a new draw.",status,each_draw,Borrowing request and compliance certificate,dependent_on_private_diligence,Available in Base before warnings,any unmet draw condition,documented draw condition,event,current,Credit officer,"Provide cure, waiver request or alternative liquidity plan.",Escalate immediately; preserve rights and do not assume continued funding.,immediate,legal_or_documentation_exception,yes,DRV-012,Final conditions and remedies require executed documents.,owner_reviewed
MON-015,DRV-012,Gross total funded leverage,Gross funded debt divided by lender EBITDA; zero cash netting.,turns,monthly,Debt report and quarterly compliance certificate,available_through_required_borrower_reporting,3.2285x opening,at or above 3.25x/3.00x/2.75x warning schedule,above 3.50x/3.25x/3.00x proposed covenant schedule,greater_than_or_equal_warning,LTM,Credit officer,Provide covenant bridge and debt-reduction plan.,At warning suspend repurchases and require 10-business-day plan; breach requires consent/waiver analysis.,immediate,contractual_covenant_or_warning,yes,DRV-012;P7CP-002:P7CP-009,Official contractual EBITDA remains unavailable.,owner_reviewed
MON-016,DRV-012,Cash-interest coverage,LTM lender EBITDA divided by LTM cash interest paid or payable.,turns,monthly,Cash-interest schedule and compliance certificate,available_through_required_borrower_reporting,Base modeled minimum 5.39x,below 3.50x,below 3.00x proposed covenant,less_than,LTM,Credit officer,"Provide interest bridge, hedge status and revised forecast.",Increase reporting and begin amendment/waiver planning before breach.,immediate,contractual_covenant_or_warning,yes,DRV-012;P7CP-005;P7CP-010,Closing LTM cash interest remains N/D.,owner_reviewed
MON-017,DRV-012,Covenant certificate,Timely complete certificate using executed definitions with supporting calculations.,status,quarterly,Quarterly compliance certificate,available_through_required_borrower_reporting,Required within proposed 45-day cadence,"late, incomplete or unreconciled certificate",reporting covenant when documented,event,quarter,Credit officer,Deliver corrected certificate and reconciliation.,Issue reporting exception; preserve default rights subject to cure language.,immediate,reporting_exception,yes,DRV-012,Final delivery and cure terms require documentation.,owner_reviewed
MON-018,DRV-012,Scheduled principal and interest,Cash due and paid by instrument and due date.,USD_millions,monthly,Debt-service report and bank statements,available_through_required_borrower_reporting,No Base modeled failure,any amount unpaid when due,payment obligation,event,due date,Credit officer,"Confirm payment, cause, cash position and cure status.",Escalate immediately to special-assets/legal review and preserve remedies.,immediate,payment_default,yes,DRV-012,Grace periods and remedies require final documents.,owner_reviewed
MON-019,DRV-010,Distributions with revolver outstanding,Dividends and repurchases paid while revolver principal remains outstanding.,USD_millions,monthly,"Distribution, board approval and debt report",available_through_required_borrower_reporting,Base retains planned distributions,any repurchase with revolver outstanding or debt-funded distribution,proposed restriction,event,month,Credit officer,Provide source of funds and pro forma tests.,Reject or require consent where documentation permits; revise deleveraging plan.,before_payment,legal_or_documentation_exception,possible,DRV-010;P7CP-014,Rights depend on final restricted-payment drafting.,owner_reviewed
MON-020,DRV-004;DRV-008,Integration and synergy milestones,"Realized recurring synergies, costs to achieve, service levels and reporting-unit performance versus approved plan.",USD_millions_and_status,monthly,Integration milestone and synergy bridge,dependent_on_private_diligence,$30m claimed realized; remaining $15m receives no Base credit,less than 80% of milestones on time or two quarters below plan,,event,month and quarter,Portfolio manager,Provide milestone recovery plan and customer impact.,No additional EBITDA credit; require monthly steering-committee reporting.,10_business_days,analyst_warning,no,DRV-004;DRV-008,Synergy quality and sustainability require evidence.,owner_reviewed
MON-021,DRV-003;DRV-004,Plant execution and remediation,"Service, scrap, labor efficiency, downtime and remediation spend for identified plants.",status_and_percent,monthly,Plant operating KPI package,dependent_on_private_diligence,Mexico hardware stabilization remains a risk,missed service target or remediation milestone,,event,month,Portfolio manager,Provide root-cause and recovery plan.,Escalate to monthly management call and revise downside case if delayed.,5_business_days,analyst_warning,no,DRV-003;DRV-004,Public evidence does not provide plant KPI thresholds.,owner_reviewed
MON-022,DRV-009,Material-weakness remediation,"Design, operation and testing status of cash-flow statement controls.",status,monthly,"Management certification, test evidence and auditor updates",available_through_required_borrower_reporting,Outstanding at FY2025 year-end,"missed milestone, failed test or new deficiency",reporting/control undertaking when documented,event,month,Credit officer,Provide remediation evidence and auditor communication.,"Increase reporting, require independent validation and escalate material exceptions.",immediate,reporting_exception,possible,DRV-009,The weakness is not treated as a known misstatement.,owner_reviewed
MON-023,DRV-009,Reporting timeliness and quality,"Delivery of monthly, quarterly and annual reporting, reconciliations and explanations.",days,monthly,Proposed 15/45/90-day reporting package,available_through_required_borrower_reporting,15/45/90 days proposed,"late, incomplete, internally inconsistent or unreconciled report",reporting covenant when documented,event,reporting due date,Credit officer,Deliver missing information and explanation.,Issue reporting exception and escalate repeated failures to watchlist review.,immediate,reporting_exception,yes,DRV-009;P7CP-017,Final cure periods require drafting.,owner_reviewed
MON-024,DRV-012,"Guarantor, collateral, lien and perfection status","Current legal-entity, guarantor, collateral, lien, control and perfection schedule.",status,quarterly_and_event,Counsel certificate and collateral/perfection schedule,dependent_on_private_diligence,N/D from public information,"missing joinder, lapse, release or excluded material asset",documentation requirement,event,current,Credit officer and counsel,"Provide corrective filing, joinder or legal analysis.",Escalate legal exception; preserve conditions and remedies subject to documents.,immediate,legal_or_documentation_exception,yes,DRV-012;GAP-001;GAP-002,Public filings do not establish complete post-Tyman coverage.,owner_reviewed
MON-025,DRV-011,Foreign cash and FX exposure,"Cash by entity/jurisdiction plus currency revenue, cost, debt and hedge exposure.",USD_millions_and_percent,monthly,Entity cash and FX exposure schedule,dependent_on_private_diligence,$46.9m foreign cash at FY2025; no access credit,material unhedged move or cash-transfer restriction,,event,month,Portfolio manager,Provide hedge and cash-access analysis.,Exclude inaccessible cash and revise liquidity forecast.,5_business_days,analyst_warning,no,DRV-011,"Tax, legal and operating access remain unknown.",owner_reviewed
MON-026,DRV-012,Maturity refinancing preparation,"Documented refinancing, extension, repayment or committed alternative funding milestones.",months_and_status,quarterly_then_monthly,Board-approved refinancing plan and lender evidence,available_through_required_borrower_reporting,$324.780m Base unsupported maturity gap,no documented plan 24 months before maturity; no executable commitment 12 months before maturity,maturity 2031-01-31,event,forward,Credit officer,"Provide options, timetable, adviser mandate and lender feedback.",Watchlist at 24 months without plan; special-assets escalation at 12 months without executable solution.,quarterly_or_immediate,maturity_refinancing_risk,no,DRV-012;P7UM-008,Refinancing is not assumed and requires separate underwriting.,owner_reviewed
