term_id,instrument_name,as_of_date,term_name,value_text,numeric_value,units,status,source_ids,source_reference,conflict_group,authority_resolution,notes
DT-026,Term Loan A and Revolving Credit Facility,2025-10-31,interest_rate_benchmark,"Base Rate, Adjusted Term SOFR, or specified alternative-currency rate mechanics",,text,reported,SRC-003,Conformed Credit Agreement,,,
DT-027,Term Loan A and Revolving Credit Facility,2025-10-31,pricing_band_1,CNLR <=1.50x: commitment 0.150%; SOFR/RFR 2.00%; Base Rate 1.00%,,percent,reported,SRC-003,Conformed Credit Agreement,,,
DT-028,Term Loan A and Revolving Credit Facility,2025-10-31,pricing_band_2,CNLR >1.50x and <=2.25x: commitment 0.175%; SOFR/RFR 2.25%; Base Rate 1.25%,,percent,reported,SRC-003,Conformed Credit Agreement,,,
DT-029,Term Loan A and Revolving Credit Facility,2025-10-31,pricing_band_3,CNLR >2.25x and <=3.00x: commitment 0.200%; SOFR/RFR 2.50%; Base Rate 1.50%,,percent,reported,SRC-003,Conformed Credit Agreement,,,
DT-030,Term Loan A and Revolving Credit Facility,2025-10-31,pricing_band_4,CNLR >3.00x: commitment 0.250%; SOFR/RFR 2.75%; Base Rate 1.75%,,percent,reported,SRC-003,Conformed Credit Agreement,,,
DT-031,Term Loan A and Revolving Credit Facility,2025-10-31,default_interest_spread,2.00% above otherwise applicable rate,2,percent,reported,SRC-003,Conformed Credit Agreement,,,
DT-032,Term Loan A and Revolving Credit Facility,2025-10-31,undisclosed_fee_letters,Other fee-letter economics are not public,,text,not_determinable,SRC-003,Conformed Credit Agreement,,,
DT-033,Term Loan A and Revolving Credit Facility,2025-10-31,consolidated_net_leverage_ratio_maximum,Not greater than 3.25x,3.25,turns,reported,SRC-001;SRC-003,Conformed Credit Agreement section 7.1 and FY2025 10-K MD&A,CNLR_DIRECTION,Executed agreement controls; 3.25x is a maximum.,
DT-034,Term Loan A and Revolving Credit Facility,2025-10-31,fy2025_10k_note_9_cnlr_wording,Must be greater than 3.25x,3.25,turns,conflicting_source,SRC-001,FY2025 Form 10-K Note 9,CNLR_DIRECTION,Rejected as a drafting error because the executed agreement and MD&A use not-greater-than.,
DT-035,Term Loan A and Revolving Credit Facility,2025-10-31,consolidated_interest_coverage_ratio_minimum,Not less than 3.00x,3,turns,reported,SRC-003,Conformed Credit Agreement,,,
DT-036,Term Loan A and Revolving Credit Facility,2025-10-31,qualifying_acquisition_step_up,Maximum CNLR may increase to 3.75x for the specified four-quarter period after a qualifying acquisition over $100 million,3.75,turns,reported,SRC-003,Conformed Credit Agreement,,,
DT-037,Term Loan A and Revolving Credit Facility,2025-10-31,january_31_2026_cnlr_maximum,3.25x absent another permitted acquisition step-up,3.25,turns,reported,SRC-003;SRC-016,"Conformed Credit Agreement section 7.1 and June 5, 2025 results release",,,
DT-038,Term Loan A and Revolving Credit Facility,2025-10-31,cash_netting_cap,$100.0 million eligible unrestricted cash,100,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-039,Term Loan A and Revolving Credit Facility,2025-10-31,non_us_cash_sublimit,$25.0 million within cash-netting cap,25,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-040,Term Loan A and Revolving Credit Facility,2025-10-31,eligible_cash_at_2025_10_31,Amount satisfying accessibility and lien conditions is not public,,text,not_determinable,SRC-001;SRC-003,Conformed Credit Agreement,,,
DT-041,Term Loan A and Revolving Credit Facility,2025-10-31,incremental_facility_capacity,"Greater of $310 million and 100% of Consolidated EBITDA, minimum $10 million increments; uncommitted",310,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-042,Term Loan A and Revolving Credit Facility,2025-10-31,negative_covenant_scope,"Debt, liens, fundamental changes, dispositions, junior-debt prepayments, restricted payments, investments, affiliate transactions, and restrictive agreements, subject to baskets and exceptions",,text,reported,SRC-003,Conformed Credit Agreement,,,
DT-043,Term Loan A and Revolving Credit Facility,2025-10-31,restricted_payment_condition,Certain actions require pro forma CNLR <=2.75x and liquidity >$25 million,2.75,turns,reported,SRC-003,Conformed Credit Agreement,,,
DT-044,Term Loan A and Revolving Credit Facility,2025-10-31,published_covenant_headroom,"Compliance was reported, but the full calculation and numerical headroom were not published",,text,not_determinable,SRC-001,Conformed Credit Agreement,,,
DT-045,Term Loan A and Revolving Credit Facility,2025-10-31,unamortized_financing_fees,$11.040 million contra-debt,11.04,USD_millions,reported,SRC-001,FY2025 Form 10-K Note 9,,,
DT-046,Term Loan A and Revolving Credit Facility,2025-10-31,finance_leases_and_other_debt,$62.619 million principal; $56.4 million relates to real-estate finance leases,62.619,USD_millions,reported,SRC-001;SRC-002,FY2025 Form 10-K Note 9 and results-release net-debt reconciliation,,,
DT-047,Term Loan A and Revolving Credit Facility,2025-10-31,gross_facility_borrowings,$641.25 million,641.25,USD_millions,calculated,SRC-001;SRC-002,Conformed Credit Agreement,,,$468.75m Term A plus $172.5m revolver.
DT-048,Term Loan A and Revolving Credit Facility,2025-10-31,gross_debt_including_leases_and_other,$703.869 million,703.869,USD_millions,calculated,SRC-001;SRC-002,Conformed Credit Agreement,,,$641.25m facility principal plus $62.619m leases/other.
DT-049,Term Loan A and Revolving Credit Facility,2025-10-31,balance_sheet_debt_after_financing_fees,$692.829 million,692.829,USD_millions,calculated,SRC-001,Conformed Credit Agreement,,,$703.869m gross debt less $11.040m unamortized financing fees.
DT-050,Term Loan A and Revolving Credit Facility,2025-10-31,hedge_and_break_costs_on_hypothetical_refinancing,Not publicly determinable,,text,not_determinable,SRC-001;SRC-003,Conformed Credit Agreement,,,
DT-051,Term Loan A and Revolving Credit Facility,2025-10-31,hypothetical_2026_closing_balances,Not yet forecast or approved,,text,not_determinable,SRC-001;SRC-003,Conformed Credit Agreement,,,"Deferred to later phases; October 31, 2025 balances are not a closing forecast."
