check_id,fiscal_year,category,description,left_value,right_value,difference,tolerance,status,severity,source_ids,input_ids,resolution,notes
S2C-0021,FY2022,earnings,Income-statement D&A = cash-flow D&A addback,40.109,40.109,0,0.001,PASS,material,SRC-014,,,
S2C-0022,FY2022,cash_flow,"Acquisition cash flow explicitly missing, not zero",,,,0.001,EXPLICIT_MISSING,informational,,,No plug or zero assigned.,No dedicated material acquisition-cash-flow line in the selected Phase 1 statement; absence is not zero.
S2C-0023,FY2023,balance_sheet,Assets = liabilities + equity,831.143,831.143,0,0.001,PASS,material,SRC-012,,,
S2C-0024,FY2023,cash_flow,Detailed CFO bridge = reported CFO,147.052,147.052,0,0.001,PASS,material,SRC-001,,,
S2C-0025,FY2023,cash_flow,CFO plus capex = free cash flow,109.662,109.662,0,0.001,PASS,material,SRC-001,,Cash interest remains inside CFO; it is not subtracted twice.,
S2C-0026,FY2023,cash_flow,Financing activity detail = financing cash flow,-16.151,-16.151,0,0.001,PASS,material,SRC-001,,,
S2C-0027,FY2023,cash_flow,CFO + CFI + CFF + FX = reported cash change,3.381,3.381,0,0.001,PASS,material,SRC-001,,,
S2C-0028,FY2023,cash_flow,Beginning cash plus reported change = ending cash,58.474,58.474,0,0.001,PASS,material,SRC-001,,,
S2C-0029,FY2023,debt,Gross funded principal less financing fees = carrying amount,68.8,68.8,0,0.001,PASS,material,SRC-012,,,
S2C-0030,FY2023,debt,Current plus long-term debt = carrying amount,68.8,68.8,0,0.001,PASS,material,SRC-012,,,
S2C-0031,FY2023,debt,Instrument principal = consolidated funded principal,70,70,0,0.001,PASS,material,SRC-012,,,
S2C-0032,FY2023,earnings,Income-statement D&A = cash-flow D&A addback,42.866,42.866,0,0.001,PASS,material,SRC-001,,,
S2C-0033,FY2023,cash_flow,Acquisition cash flow retained from Phase 1,-91.302,-91.302,0,0.001,PASS,material,SRC-001,NF-0061,,
S2C-0034,FY2024,balance_sheet,Assets = liabilities + equity,2319.788,2319.788,0,0.001,PASS,material,SRC-001,,,
S2C-0035,FY2024,cash_flow,Detailed CFO bridge = reported CFO,88.812,88.812,0,0.001,PASS,material,SRC-001,,,
S2C-0036,FY2024,cash_flow,CFO plus capex = free cash flow,51.726,51.726,0,0.001,PASS,material,SRC-001,,Cash interest remains inside CFO; it is not subtracted twice.,
S2C-0037,FY2024,cash_flow,Financing activity detail = financing cash flow,385.156,385.156,0,0.001,PASS,material,SRC-001,,,
S2C-0038,FY2024,cash_flow,CFO + CFI + CFF + FX = reported cash change,44.521,44.521,0,0.001,PASS,material,SRC-001,,,
S2C-0039,FY2024,cash_flow,Beginning cash plus reported change = ending cash,102.995,102.995,0,0.001,PASS,material,SRC-001,,,
S2C-0040,FY2024,debt,Gross funded principal less financing fees = carrying amount,762.943,762.943,0,0.001,PASS,material,SRC-002,,,
S2C-0041,FY2024,debt,Current plus long-term debt = carrying amount,762.943,762.943,0,0.001,PASS,material,SRC-001,,,
S2C-0042,FY2024,debt,Instrument principal = consolidated funded principal,776.926,776.926,0,0.001,PASS,material,SRC-002,,,
S2C-0043,FY2024,earnings,Income-statement D&A = cash-flow D&A addback,60.328,60.328,0,0.001,PASS,material,SRC-001,,,
S2C-0044,FY2024,cash_flow,Acquisition cash flow retained from Phase 1,-398.554,-398.554,0,0.001,PASS,material,SRC-001,NF-0056,,
S2C-0045,FY2025,balance_sheet,Assets = liabilities + equity,1968.233,1968.233,0,0.001,PASS,material,SRC-001,,,
S2C-0046,FY2025,cash_flow,Detailed CFO bridge = reported CFO,164.897,164.897,0,0.001,PASS,material,SRC-001,,,
S2C-0047,FY2025,cash_flow,CFO plus capex = free cash flow,102.255,102.255,0,0.001,PASS,material,SRC-001,,Cash interest remains inside CFO; it is not subtracted twice.,
S2C-0048,FY2025,cash_flow,Financing activity detail = financing cash flow,-127.48,-127.48,0,0.001,PASS,material,SRC-001,,,
S2C-0049,FY2025,cash_flow,CFO + CFI + CFF + FX = reported cash change,-24.877,-24.877,0,0.001,PASS,material,SRC-001,,,
S2C-0050,FY2025,cash_flow,Beginning cash plus reported change = ending cash,78.118,78.118,0,0.001,PASS,material,SRC-001,,,
S2C-0051,FY2025,debt,Gross funded principal less financing fees = carrying amount,692.829,692.829,0,0.001,PASS,material,SRC-002,,,
S2C-0052,FY2025,debt,Current plus long-term debt = carrying amount,692.829,692.829,0,0.001,PASS,material,SRC-001,,,
S2C-0053,FY2025,debt,Instrument principal = consolidated funded principal,703.869,703.869,0,0.001,PASS,material,SRC-002,,,
S2C-0054,FY2025,earnings,Income-statement D&A = cash-flow D&A addback,103.444,103.444,0,0.001,PASS,material,SRC-001,,,
S2C-0055,FY2025,earnings,GAAP impairment = CFO noncash impairment addback,302.284,302.284,0,0.001,PASS,material,SRC-001;SRC-002,,Reversed in EBITDA arithmetic but retained as a material business-risk signal.,
S2C-0056,FY2025,cash_flow,Acquisition cash flow retained from Phase 1,0,0,0,0.001,PASS,material,SRC-001,NF-0051,,
S2C-0057,FY2025,debt,Facility maturity disclosure = Term A plus revolver principal,641.25,641.25,0,0.001,PASS,material,SRC-001;SRC-003,,Maturity schedule excludes finance leases and other debt.,
S2C-0058,FY2024,earnings,Reconstructed company-adjusted EBITDA = published rounded amount,182.383,182.4,-0.017,0.05,PASS,material,SRC-002,,Exact bridge is compared with the company's one-decimal presentation.,
S2C-0059,FY2025,earnings,Reconstructed company-adjusted EBITDA = published rounded amount,242.89,242.9,-0.01,0.05,PASS,material,SRC-002,,Exact bridge is compared with the company's one-decimal presentation.,
S2C-0060,FY2022,acquisition_comparability,Pro forma revenue minus reported revenue,2115.987,1221.502,894.485,0.001,DISTINCT_LAYER,informational,SRC-012;SRC-014,,"Difference quantified, not reconciled away.",Pro forma information is unaudited and never substituted for reported history.
S2C-0061,FY2022,acquisition_comparability,Pro forma net_income minus reported net_income,60.192,88.336,-28.144,0.001,DISTINCT_LAYER,informational,SRC-012;SRC-014,,"Difference quantified, not reconciled away.",Pro forma information is unaudited and never substituted for reported history.
S2C-0062,FY2023,acquisition_comparability,Pro forma revenue minus reported revenue,1954.95,1130.583,824.367,0.001,DISTINCT_LAYER,informational,SRC-012;SRC-001,,"Difference quantified, not reconciled away.",Pro forma information is unaudited and never substituted for reported history.
S2C-0063,FY2023,acquisition_comparability,Pro forma net_income minus reported net_income,48.458,82.501,-34.043,0.001,DISTINCT_LAYER,informational,SRC-012;SRC-001,,"Difference quantified, not reconciled away.",Pro forma information is unaudited and never substituted for reported history.
S2C-0064,FY2024,acquisition_comparability,Pro forma revenue minus reported revenue,1886.834,1277.862,608.972,0.001,DISTINCT_LAYER,informational,SRC-012;SRC-001,,"Difference quantified, not reconciled away.",Pro forma information is unaudited and never substituted for reported history.
S2C-0065,FY2024,acquisition_comparability,Pro forma net_income minus reported net_income,66.037,33.059,32.978,0.001,DISTINCT_LAYER,informational,SRC-012;SRC-001,,"Difference quantified, not reconciled away.",Pro forma information is unaudited and never substituted for reported history.
S2C-0066,ALL,lineage,All Phase 2 spread rows retain source and input IDs,395,395,0,0.001,PASS,material,,,Calculated and missing-control rows retain upstream input IDs or an explicit missing status.,
