analysis_id,segment,metric_name,existing_value,proposed_value,units,period_start,period_end,measurement_event,status,classification,review_status,source_ids,assumption_ids,calculation,limitations
CH-016,common_horizon,ending_term_debt,375,422.5,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,After any August 1 existing maturity cash application.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-017,common_horizon,ending_revolver_debt,57.74928120671001765492741287,22.83465925087110718266882846,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,After any August 1 existing maturity cash application.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-018,common_horizon,ending_total_bank_debt,432.7492812067100176549274129,445.3346592508711071826688285,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Term plus revolver.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-019,common_horizon,peak_revolver_usage,207.39771875,39.95416505588877547275839092,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,End-of-month peak.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-020,common_horizon,minimum_revolver_availability,261.40228125,253.8458349441112245272416091,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Excludes post-maturity availability.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-021,common_horizon,minimum_usable_liquidity,261.40228125,253.8458349441112245272416091,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,"Analytical liquidity, not contractual liquidity.","Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-022,common_horizon,cash_floor_failure_months,0,0,count,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Visible monthly failures only.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-023,common_horizon,distribution_revolver_draw_flag_months,5,18,count,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Months with a dividend or buyback directly causing draw need.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-024,common_horizon,debt_due_at_august_1_2029_existing_maturity,432.7492812067100176549274129,0,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Proposed facility has no maturity on this date.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-025,proposed_extension_tail,additional_cash_interest,not_applicable,38.49732782728420684620817772,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-026,proposed_extension_tail,additional_scheduled_principal,not_applicable,97.5,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-027,proposed_extension_tail,additional_revolver_draws,not_applicable,58.02868859729380322290133198,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-028,proposed_extension_tail,additional_revolver_repayments,not_applicable,64.91551662657174965897767717,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-029,proposed_extension_tail,additional_retained_obligation_payments,not_applicable,9.307000000000000000000000005,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-030,proposed_extension_tail,additional_planned_distributions,not_applicable,29.24999999999999999999999998,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-031,proposed_extension_tail,additional_cash_sweep,not_applicable,0,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-032,proposed_extension_tail,final_funded_bank_debt,not_applicable,340.9478312215931607465924833,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-033,proposed_extension_tail,cash_available_above_floor_at_maturity,not_applicable,0,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-034,proposed_extension_tail,unsupported_maturity_funding_gap,not_applicable,340.9478312215931607465924833,USD_millions,2029-08-01,2031-01-31,proposed_maturity_2031-01-31,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Additional proposed-facility amount after the common horizon.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
