distribution_id,structure,forecast_id,fiscal_year,quarter,period_start,period_end,planned_dividend,planned_repurchase,dividend_cash_funded_after_mandatory_debt_service,dividend_revolver_draw_caused,dividend_paid_while_revolver_outstanding,debt_funded_dividend_flag,repurchase_cash_funded_after_mandatory_debt_service,repurchase_revolver_draw_caused,repurchase_paid_while_revolver_outstanding,debt_funded_buyback_flag,cash_floor_effect_from_distributions,liquidity_threshold_effect_from_distributions,usable_liquidity_below_50_after_distributions_flag,provisional_term_compliance_status,amount_to_suspend_or_fund_differently,classification,review_status,source_ids,assumption_ids,notes
DA-E-0011,existing,OP-0012,FY2028,Q4,2028-08-01,2028-10-31,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0012,existing,OP-0013,FY2029,Q1,2028-11-01,2029-01-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0013,existing,OP-0014,FY2029,Q2,2029-02-01,2029-04-30,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0014,existing,OP-0015,FY2029,Q3,2029-05-01,2029-07-31,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,yes,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0015,proposed,OP-0002,FY2026,Q2,2026-02-01,2026-04-30,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0016,proposed,OP-0003,FY2026,Q3,2026-05-01,2026-07-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0017,proposed,OP-0004,FY2026,Q4,2026-08-01,2026-10-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0018,proposed,OP-0005,FY2027,Q1,2026-11-01,2027-01-31,3.624999999999999999999999999,1.25,2.28644318926969153275546692,1.338556810730308467244533079,3.624999999999999999999999999,yes,0,1.25,1.25,yes,2.588556810730308467244533079,4.875,no,not_compliant_debt_funded_buyback,1.25,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0019,proposed,OP-0006,FY2027,Q2,2027-02-01,2027-04-30,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0020,proposed,OP-0007,FY2027,Q3,2027-05-01,2027-07-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0021,proposed,OP-0008,FY2027,Q4,2027-08-01,2027-10-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0022,proposed,OP-0009,FY2028,Q1,2027-11-01,2028-01-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.746457196032614185038651644,0.5035428039673858149613483561,1.25,yes,1.711876137300719148294681689,4.875,no,not_compliant_debt_funded_buyback,0.5035428039673858149613483561,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0023,proposed,OP-0010,FY2028,Q2,2028-02-01,2028-04-30,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0024,proposed,OP-0011,FY2028,Q3,2028-05-01,2028-07-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0025,proposed,OP-0012,FY2028,Q4,2028-08-01,2028-10-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0026,proposed,OP-0013,FY2029,Q1,2028-11-01,2029-01-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0027,proposed,OP-0014,FY2029,Q2,2029-02-01,2029-04-30,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0028,proposed,OP-0015,FY2029,Q3,2029-05-01,2029-07-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0029,proposed,OP-0016,FY2029,Q4,2029-08-01,2029-10-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0030,proposed,OP-0017,FY2030,Q1,2029-11-01,2030-01-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0031,proposed,OP-0018,FY2030,Q2,2030-02-01,2030-04-30,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0032,proposed,OP-0019,FY2030,Q3,2030-05-01,2030-07-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0033,proposed,OP-0020,FY2030,Q4,2030-08-01,2030-10-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-P-0034,proposed,OP-0021,FY2031,Q1,2030-11-01,2031-01-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,yes,not_compliant_debt_funded_buyback,0.4166666666666666666666666667,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
