comparison_id,metric_name,existing_value,proposed_value,units,comparison_date_or_period,status,classification,review_status,source_ids,assumption_ids,analytical_interpretation,limitations
FC5-011,Existing contractual-grid all-in range using 3.57% base proxy,5.57-6.32,not_applicable,percent,modeled_term,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Existing SOFR/RFR grid is +200 to +275 bps.,Applicable January 2026 leverage tier is not determinable.
FC5-012,Reference annual scheduled term principal,25,65,USD_millions,full_fiscal_year,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Proposed reference amortization is $40m higher per full fiscal year.,Stub maturity years contain fewer scheduled installments.
FC5-013,Cumulative scheduled term principal,87.5,325,USD_millions,respective maturity,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Proposed 10% amortization requires materially more scheduled principal.,Excludes maturity balloon.
FC5-014,Cumulative provisional cash sweep,0,0,USD_millions,respective maturity,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Sweep applies only to the proposed structure.,Public-information sweep definition is provisional.
FC5-015,Peak revolver usage,207.39771875,39.95416505588877547275839092,USD_millions,respective maturity,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Shows operating reliance under the same base case.,End-of-month measure; intra-month peaks are unavailable.
FC5-016,Minimum revolver availability,261.40228125,253.8458349441112245272416091,USD_millions,respective maturity,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Excludes capacity after maturity.,Not contractual liquidity.
FC5-017,Minimum usable liquidity,261.40228125,253.8458349441112245272416091,USD_millions,respective maturity,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Cash above floor plus available revolver.,Cash accessibility and legal availability remain pending.
FC5-018,Bank funded debt at existing maturity comparison date,432.7492812067100176549274129,445.3346592508711071826688285,USD_millions,2029-07-31,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Like-for-like date immediately before existing maturity.,Existing maturity occurs August 1.
FC5-019,Cash available above floor at maturity,0,0,USD_millions,respective maturity,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Only modeled cash above the $25m floor is applied.,Book cash and foreign cash are not credited.
FC5-020,Unsupported maturity funding gap,432.7492812067100176549274129,340.9478312215931607465924833,USD_millions,respective maturity,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Neither structure receives assumed refinancing proceeds.,"Gap is a dependency measure, not a forecast default conclusion."
FC5-021,Maturity date,2029-08-01,2031-01-31,date,contractual_or_proposed,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Proposed extends maturity by about 18 months.,Proposed maturity remains hypothetical.
FC5-022,Phase 4 contractual funded principal payments in maturity fiscal year,566.25,371.14771875,USD_millions,pre_sweep_reference,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Preserves the Phase 4 maturity-fiscal-year measure.,"$566.25m is the existing FY2029 total, not a maturity-date balloon."
FC5-023,Phase 4 contractual final rolling-12-month funded payments,572.5,419.89771875,USD_millions,pre_sweep_reference,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Phase 4 measure before Phase 5 operating cash actions.,Not the modeled residual after sweeps or revolver repayments.
FC5-024,Borrower flexibility,existing_document_terms,more_restrictive_provisional_package,text,qualitative,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Existing terms avoid transaction execution and new restrictions.,"Final proposed baskets, fees and covenants are not determinable."
FC5-025,Limited amendment or extension,live_qualitative_alternative,not_applicable,text,qualitative,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,May address maturity with lower execution cost.,"No approved economics exist, so it is not quantified."
