bridge_id,sequence,item,existing_value,proposed_value,units,as_of_or_period,existing_treatment,proposed_treatment,existing_cash_effect,proposed_cash_effect,existing_bank_debt_effect,proposed_bank_debt_effect,status,classification,review_status,source_ids,upstream_ids,calculation,limitations
OB-011,11,Cash retained,25,25,USD_millions,2026-02-01_00:00,owner-reviewed same-point floor assumption,owner-reviewed same-point floor assumption,,,,,supported_or_explicit_assumption,owner_reviewed_same_point_assumption,owner_reviewed_for_phase5_testing,,P5A-016;P5A-017,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-012,12,Letters of credit,6.2,6.2,USD_millions,2026-02-01_00:00,existing revolver exposure,replacement exposure under proposed revolver,,,,,supported_or_explicit_assumption,contingent_exposure_not_cash_use,owner_reviewed_for_phase5_testing,SRC-001;SRC-003,DT-020;P5A-031,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-013,13,Ending term debt,462.5,650,USD_millions,2026-02-01_00:00,after installment,new term funded,,,,,supported_or_explicit_assumption,reconciled_opening_position,owner_reviewed_for_phase5_testing,SRC-001;SRC-003,P5A-025;P5A-027,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-014,14,Ending revolver debt,207.39771875,29.89771875,USD_millions,2026-02-01_00:00,includes funding of installment and accrued interest,Phase 4 funded source,,,,,supported_or_explicit_assumption,reconciled_opening_position,owner_reviewed_for_phase5_testing,SRC-001;SRC-003;SRC-021,P5A-026;P5A-028,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-015,15,Ending total bank debt,669.89771875,679.89771875,USD_millions,2026-02-01_00:00,reconciled retained-facility position,reconciled proposed position,,,,,supported_or_explicit_assumption,reconciled_opening_position,owner_reviewed_for_phase5_testing,SRC-001;SRC-003;SRC-021,P5A-025;P5A-026;P5A-027;P5A-028,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-016,16,Ending cash,25,25,USD_millions,2026-02-01_00:00,testing assumption; actual closing cash not determinable,same,,,,,supported_or_explicit_assumption,owner_reviewed_same_point_assumption,owner_reviewed_for_phase5_testing,SRC-001,P5A-016;P5A-017,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-017,17,Available revolver capacity after LCs,261.40228125,263.90228125,USD_millions,2026-02-01_00:00,475 less LCs and reconciled draw,300 less LCs and Phase 4 draw,,,,,supported_or_explicit_assumption,formula_calculated_liquidity,owner_reviewed_for_phase5_testing,SRC-001;SRC-003,P5A-029;P5A-030;P5A-031,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-018,18,Previously reported opening bank debt,660,679.89771875,USD_millions,prior_phase5_presentation,omitted installment/accrued-interest funding,Phase 4 reference debt,,,,,supported_or_explicit_assumption,superseded_comparison_control,owner_reviewed_for_phase5_testing,,P5A-025;P5A-026;prior_P5A-027;prior_P5A-028,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-019,19,Correction to prior existing opening debt,9.89771875,0,USD_millions,same_point_reconciliation,6.25 installment funding plus 3.64771875 accrued-interest funding,none,,,9.89771875,0,supported_or_explicit_assumption,timing_and_cash_use_correction,owner_reviewed_for_phase5_testing,SRC-001;SRC-003,DT-009;CB-0035,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-020,20,Reconciled proposed less existing bank debt,0,10,USD_millions,2026-02-01_00:00,comparison base,incremental proposed debt equals refinancing fees,,,,10,supported_or_explicit_assumption,difference_reconciliation,owner_reviewed_for_phase5_testing,,P5A-040,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
