requirement_id,category,requirement,evidence_or_definition,economic_or_control_value,status,consequence_if_unmet,source_or_ids,phase10_review_status
P10CM-011,condition_precedent,Closing projections and liquidity support,"Approved integrated projections, 13-week liquidity view, and borrowing-base-like support where relevant; facility remains cash-flow lending, not ABL.",No final approval or funding.,open_not_satisfied_from_public_information,No final approval or funding.,CP-017;CP-019;CP-020,owner_reviewed
P10CM-012,condition_precedent,"Legal, KYC, sanctions, tax and authority","Corporate authority, KYC/beneficial ownership, sanctions, tax, consents, and legal opinions.",No funding where required evidence is absent.,open_not_satisfied_from_public_information,No funding where required evidence is absent.,CP-005:CP-007;CP-024,owner_reviewed
P10CM-013,condition_precedent,Full committed financing and syndication,Executed commitments for the complete approved facilities and acceptable syndication.,No close.,open_not_satisfied_from_public_information,No close.,CP-022,owner_reviewed
P10CM-014,ongoing_covenant,No debt-funded buybacks,Repurchases prohibited when debt funded or revolver outstanding.,Restricted-payment block and escalation under final documents.,open_not_satisfied_from_public_information,Restricted-payment block and escalation under final documents.,P7OD-013;MON-024,owner_reviewed
P10CM-015,ongoing_covenant,Distribution restrictions,No default; leverage at or below 3.00x; usable liquidity at or above $75m; pro forma compliance; no debt-funded action.,Suspend distributions and require consent where applicable.,open_not_satisfied_from_public_information,Suspend distributions and require consent where applicable.,P7OD-013;MON-024,owner_reviewed
P10CM-016,ongoing_covenant,Minimum liquidity and no-waiver drawability,"$50m proposed liquidity covenant, $75m warning, and post-breach drawability treatment subject to documents.","Escalation, action plan, and no assumed continued draw.",open_not_satisfied_from_public_information,"Escalation, action plan, and no assumed continued draw.",P7CP-006;P7CP-011;MON-012;MON-014,owner_reviewed
P10CM-017,ongoing_covenant,Quarterly certificates and financial reporting,Quarterly certificate within proposed 45 days and annual reporting within 90 days using executed definitions.,Reporting exception and preservation of rights.,open_not_satisfied_from_public_information,Reporting exception and preservation of rights.,MON-017,owner_reviewed
P10CM-018,monitoring_requirement,Monthly liquidity and working capital,"Entity cash, revolver, LCs, DSO, DIO, AP/purchases, accruals, other operating working capital, and 13-week cash forecast when triggered.",Increase to weekly reporting on liquidity or draw warning.,open_not_satisfied_from_public_information,Increase to weekly reporting on liquidity or draw warning.,MON-008:MON-014,owner_reviewed
P10CM-019,monitoring_requirement,"Monthly integration, margin, and operating package","Volume/price/mix, gross margin, plant service, synergies, restructuring cash, and maintenance capex.",Five-to-ten-business-day action plan on warning.,open_not_satisfied_from_public_information,Five-to-ten-business-day action plan on warning.,MON-001:MON-007;MON-020:MON-022,owner_reviewed
P10CM-020,monitoring_requirement,Control-remediation evidence,"Milestones, testing results, audit-committee oversight, and auditor updates for the cash-flow control weakness.","Reporting exception, enhanced controls, or default analysis.",open_not_satisfied_from_public_information,"Reporting exception, enhanced controls, or default analysis.",CP-021;MON-019,owner_reviewed
P10CM-021,analyst_warning,Gross leverage warning,Inclusive 3.25x / 3.00x / 2.75x schedule with zero cash netting.,"Suspend repurchases, monthly reporting, and 10-business-day debt-reduction plan.",open_not_satisfied_from_public_information,"Suspend repurchases, monthly reporting, and 10-business-day debt-reduction plan.",MON-015,owner_reviewed
P10CM-022,analyst_warning,Cash-interest coverage warning,At or below 3.50x; proposed covenant is below 3.00x.,Revised forecast and amendment/waiver planning before breach.,open_not_satisfied_from_public_information,Revised forecast and amendment/waiver planning before breach.,MON-016,owner_reviewed
P10CM-023,analyst_warning,Usable-liquidity warning,At or below $75m; proposed covenant is below $50m.,Immediate 13-week cash forecast and corrective plan.,open_not_satisfied_from_public_information,Immediate 13-week cash forecast and corrective plan.,MON-012,owner_reviewed
P10CM-024,unresolved_diligence,Official covenant compliance,Final executed definitions and borrower certificates are unavailable publicly.,Remain N/D; do not claim compliance.,open_not_satisfied_from_public_information,Remain N/D; do not claim compliance.,P7CP-001:P7CP-017,owner_reviewed
P10CM-025,unresolved_diligence,Official recovery,"Complete guarantor, collateral, priority, appraisal, access, and claims evidence is absent.",Remain N/D; sensitivities are alternatives only.,open_not_satisfied_from_public_information,Remain N/D; sensitivities are alternatives only.,P9FRA-001,owner_reviewed
P10CM-026,monitoring_requirement,Maturity-refinancing strategy,Documented plan refreshed over facility life; start at least 24 months before 2031 maturity and escalate at 12 months without executable financing.,Watchlist and senior credit escalation; no refinancing assumed.,open_not_satisfied_from_public_information,Watchlist and senior credit escalation; no refinancing assumed.,MON-026,owner_reviewed
