metric_id,category,metric_name,scenario_or_period,value,units,display_value,classification,source_path,source_ids,review_status,measurement_horizon,measurement_basis,limitations
P10M-022,structure,opening_gross_leverage,selected,3.228471664433044589605225788,turns,3.2285x,approved_prior_phase_calculation,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,2026-01-31,hypothetical_closing_point_in_time,Terms remain hypothetical and subject to final documentation.
P10M-023,structure,base_all_in_liquidity,selected,263.90228125,USD_millions,$263.902m,approved_prior_phase_calculation,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,2026-01-31,hypothetical_closing_point_in_time,Terms remain hypothetical and subject to final documentation.
P10M-024,structure,sources_less_uses,selected,0,USD_millions,$0.000m,approved_prior_phase_calculation,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,2026-01-31,hypothetical_closing_point_in_time,Terms remain hypothetical and subject to final documentation.
P10M-025,structure,annual_term_amortization,selected,7.5,percent,7.5%,hypothetical_proposed_term,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-026,structure,bank_hold_cap,selected,50,USD_millions,$50.000m,hypothetical_proposed_term,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-027,structure,operating_cash_floor,selected,25,USD_millions,$25.000m,hypothetical_proposed_term,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-028,structure,ecf_sweep,selected,50,percent,50.0%,hypothetical_proposed_term,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-029,structure,final_maturity,selected,2031-01-31,date,2031-01-31,hypothetical_proposed_term,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-030,scenario,fy2026_post_closing_nine_month_lender_ebitda,BASE,190.24863702718892,USD_millions,$190.249m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-02-01 through 2026-10-31,post_closing_nine_month_period,FY2026 post-closing nine-month EBITDA covers Q2-Q4 only; it is not an annual figure. Pre-closing Q1 is excluded from this metric.
P10M-031,scenario,modeled_operating_cash,BASE,794.4840703344402,USD_millions,$794.484m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-032,scenario,cfads,BASE,640.3085099795622,USD_millions,$640.309m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-033,scenario,cash_interest,BASE,167.38574634971013,USD_millions,$167.386m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-034,scenario,scheduled_principal,BASE,238.125,USD_millions,$238.125m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-035,scenario,ecf_sweep_realized,BASE,57.29216815223324,USD_millions,$57.292m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-036,scenario,all_in_minimum_liquidity,BASE,263.90228125000004,USD_millions,$263.902m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-037,scenario,maximum_quarterly_test_leverage,BASE,3.2284716644330445,turns,3.2285x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,maximum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-038,scenario,minimum_cash_interest_coverage,BASE,5.385958143510741,turns,5.3860x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-039,scenario,common_horizon_ending_funded_debt,BASE,514.7537077861804,USD_millions,$514.754m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2029-07-31,point_in_time_total_funded_debt,Scenario output; no refinancing proceeds assumed.
P10M-040,scenario,unsupported_maturity_gap,BASE,324.7797051201478,USD_millions,$324.780m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2031-01-31,point_in_time_bank_debt_maturity_gap,Scenario output; no refinancing proceeds assumed.
P10M-041,scenario,unpaid_obligations,BASE,0.0,USD_millions,$0.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-001,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-042,scenario_event,first_warning,BASE,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-001,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-043,scenario_event,first_breach,BASE,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-001,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-044,scenario_event,first_liquidity_shortfall,BASE,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-001,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-045,scenario_event,first_mandatory_payment_failure,BASE,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-001,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-046,scenario,fy2026_post_closing_nine_month_lender_ebitda,MODERATE_UNMITIGATED,151.00008379701913,USD_millions,$151.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-02-01 through 2026-10-31,post_closing_nine_month_period,FY2026 post-closing nine-month EBITDA covers Q2-Q4 only; it is not an annual figure. Pre-closing Q1 is excluded from this metric.
P10M-047,scenario,modeled_operating_cash,MODERATE_UNMITIGATED,705.0941209281632,USD_millions,$705.094m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-048,scenario,cfads,MODERATE_UNMITIGATED,589.2920363238466,USD_millions,$589.292m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-049,scenario,cash_interest,MODERATE_UNMITIGATED,199.9647832552049,USD_millions,$199.965m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-050,scenario,scheduled_principal,MODERATE_UNMITIGATED,238.125,USD_millions,$238.125m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-051,scenario,ecf_sweep_realized,MODERATE_UNMITIGATED,0.0,USD_millions,$0.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-052,scenario,all_in_minimum_liquidity,MODERATE_UNMITIGATED,165.07840972377252,USD_millions,$165.078m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-053,scenario,maximum_quarterly_test_leverage,MODERATE_UNMITIGATED,4.489250193362221,turns,4.4893x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,maximum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-054,scenario,minimum_cash_interest_coverage,MODERATE_UNMITIGATED,3.2103738322565287,turns,3.2104x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-055,scenario,common_horizon_ending_funded_debt,MODERATE_UNMITIGATED,569.0671269662739,USD_millions,$569.067m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2029-07-31,point_in_time_total_funded_debt,Scenario output; no refinancing proceeds assumed.
P10M-056,scenario,unsupported_maturity_gap,MODERATE_UNMITIGATED,408.3752156813583,USD_millions,$408.375m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2031-01-31,point_in_time_bank_debt_maturity_gap,Scenario output; no refinancing proceeds assumed.
P10M-057,scenario,unpaid_obligations,MODERATE_UNMITIGATED,0.0,USD_millions,$0.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-002,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-058,scenario_event,first_warning,MODERATE_UNMITIGATED,2026-10-31,date_or_status,2026-10-31,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-002,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-059,scenario_event,first_breach,MODERATE_UNMITIGATED,2026-10-31,date_or_status,2026-10-31,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-002,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-060,scenario_event,first_liquidity_shortfall,MODERATE_UNMITIGATED,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-002,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-061,scenario_event,first_mandatory_payment_failure,MODERATE_UNMITIGATED,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-002,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-062,scenario,fy2026_post_closing_nine_month_lender_ebitda,MODERATE_MITIGATED,151.00008379701913,USD_millions,$151.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-02-01 through 2026-10-31,post_closing_nine_month_period,FY2026 post-closing nine-month EBITDA covers Q2-Q4 only; it is not an annual figure. Pre-closing Q1 is excluded from this metric.
P10M-063,scenario,modeled_operating_cash,MODERATE_MITIGATED,708.5867612336224,USD_millions,$708.587m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-064,scenario,cfads,MODERATE_MITIGATED,589.2920363238466,USD_millions,$589.292m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-065,scenario,cash_interest,MODERATE_MITIGATED,196.4721429497458,USD_millions,$196.472m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-066,scenario,scheduled_principal,MODERATE_MITIGATED,238.125,USD_millions,$238.125m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-067,scenario,ecf_sweep_realized,MODERATE_MITIGATED,11.825377938393897,USD_millions,$11.825m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-068,scenario,all_in_minimum_liquidity,MODERATE_MITIGATED,168.9369195595644,USD_millions,$168.937m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-069,scenario,maximum_quarterly_test_leverage,MODERATE_MITIGATED,4.467006108046972,turns,4.4670x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,maximum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-070,scenario,minimum_cash_interest_coverage,MODERATE_MITIGATED,3.2168340672059603,turns,3.2168x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-071,scenario,common_horizon_ending_funded_debt,MODERATE_MITIGATED,550.9111986261406,USD_millions,$550.911m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2029-07-31,point_in_time_total_funded_debt,Scenario output; no refinancing proceeds assumed.
P10M-072,scenario,unsupported_maturity_gap,MODERATE_MITIGATED,381.1325753758992,USD_millions,$381.133m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2031-01-31,point_in_time_bank_debt_maturity_gap,Scenario output; no refinancing proceeds assumed.
P10M-073,scenario,unpaid_obligations,MODERATE_MITIGATED,0.0,USD_millions,$0.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-003,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-074,scenario_event,first_warning,MODERATE_MITIGATED,2026-10-31,date_or_status,2026-10-31,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-004,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-075,scenario_event,first_breach,MODERATE_MITIGATED,2026-10-31,date_or_status,2026-10-31,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-004,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-076,scenario_event,first_liquidity_shortfall,MODERATE_MITIGATED,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-004,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-077,scenario_event,first_mandatory_payment_failure,MODERATE_MITIGATED,N/D,date_or_status,N/D,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-004,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
P10M-078,scenario,fy2026_post_closing_nine_month_lender_ebitda,SEVERE_UNMITIGATED,115.88908268321995,USD_millions,$115.889m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-02-01 through 2026-10-31,post_closing_nine_month_period,FY2026 post-closing nine-month EBITDA covers Q2-Q4 only; it is not an annual figure. Pre-closing Q1 is excluded from this metric.
P10M-079,scenario,modeled_operating_cash,SEVERE_UNMITIGATED,483.5621475601108,USD_millions,$483.562m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-080,scenario,cfads,SEVERE_UNMITIGATED,467.1005820300107,USD_millions,$467.101m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-081,scenario,cash_interest,SEVERE_UNMITIGATED,280.89647758140285,USD_millions,$280.896m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-082,scenario,scheduled_principal,SEVERE_UNMITIGATED,226.21875,USD_millions,$226.219m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-083,scenario,ecf_sweep_realized,SEVERE_UNMITIGATED,0.0,USD_millions,$0.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-084,scenario,all_in_minimum_liquidity,SEVERE_UNMITIGATED,0.0,USD_millions,$0.000m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-085,scenario,maximum_quarterly_test_leverage,SEVERE_UNMITIGATED,7.057401459649877,turns,7.0574x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,maximum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-086,scenario,minimum_cash_interest_coverage,SEVERE_UNMITIGATED,1.7819351378312898,turns,1.7819x,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-01-31 opening plus 2026-02-01 through 2031-01-31 forecast,minimum_over_forecast,Scenario output; no refinancing proceeds assumed.
P10M-087,scenario,common_horizon_ending_funded_debt,SEVERE_UNMITIGATED,741.4644683294869,USD_millions,$741.464m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2029-07-31,point_in_time_total_funded_debt,Scenario output; no refinancing proceeds assumed.
P10M-088,scenario,unsupported_maturity_gap,SEVERE_UNMITIGATED,604.2580066325875,USD_millions,$604.258m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2031-01-31,point_in_time_bank_debt_maturity_gap,Scenario output; no refinancing proceeds assumed.
P10M-089,scenario,unpaid_obligations,SEVERE_UNMITIGATED,9.830470417052908,USD_millions,$9.830m,approved_prior_phase_model_output,data/phase8/processed/SCENARIO_CAPTURE_RESULTS.csv,P8C-004,approved_upstream,2026-02-01 through 2031-01-31,cumulative_model_period,Scenario output; no refinancing proceeds assumed.
P10M-090,scenario_event,first_warning,SEVERE_UNMITIGATED,2026-04-30,date_or_status,2026-04-30,approved_prior_phase_model_output,data/phase7/processed/COVENANT_SUMMARY.csv,P7CS-003,approved_upstream,2026-02-01 through 2031-01-31,first_event_date_over_forecast,"N/D means no event in the selected modeled path or insufficient opening evidence, as applicable."
