condition_id,description,risk_addressed,responsible_party,evidence_required,timing,waivability,consequence_if_unmet,public_or_hypothetical_status,source_ids,owner_review_status,notes
CP-014,Hedge treatment,"Quantify survival, novation or break cost",Borrower/Treasury counterparties,"Hedge schedule, consents and termination quotes",Before final sources and uses,Only if no affected hedge exists,No closing or funded documented cost,private_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-015,Fee letters,"Establish pricing, OID, upfront, agency and unused fees",Arranger/New agent,Executed fee and engagement letters,Before commitment/close,Commercial terms require approval,No economic recommendation or closing,private_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-016,Sources-and-uses confirmation,Prevent hidden uses or balancing plugs,Borrower/Arranger,"Final funds flow tied to payoff, fees and cash",Closing,Not waivable,No funding,hypothetical_essential,,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-017,Financial projections,Test repayment and covenant capacity,Borrower/CFO,Approved integrated base/downside forecast,Before final approval,Not waivable for underwriting,No final structure approval,private_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-018,Quality-of-earnings and adjustment support,Validate material EBITDA adjustments and cash timing,Borrower/CFO/Advisors,"Adjustment schedules, invoices, accruals and realization evidence",Before final approval,Only explicit conservative treatment,Reduce EBITDA or resize structure,private_essential,SRC-001;SRC-002,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-019,Maintenance-capex schedule,Protect asset base and avoid overstated free cash flow,Borrower/Operations,"Maintenance, safety, integration and expansion split",Before Phase 5 approval,Not waivable without conservative floor,Use conservative capex or stop capacity conclusion,private_essential,SRC-001,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-020,Working-capital reporting,Resolve AP and other operating balance methods and seasonality,Borrower/CFO,"Monthly historical and projected AR, inventory, AP and other operating WC",Before Phase 5 approval and monthly thereafter,Not waivable without conservative method,No reliable liquidity/capacity conclusion,private_essential,SRC-001;SRC-021,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-021,Control-remediation plan,Address cash-flow reporting material weakness,Borrower/Audit committee,"Milestones, testing results, owners and reporting controls",Before close and monitored post-close,May allow monitored post-close milestones,"Enhanced reporting, reservation or no closing",private_essential,SRC-001,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-022,Full committed financing,Eliminate syndication and funding gap risk,Arranger/Lenders,Executed commitments totaling approved facilities,Before/at closing,Not waivable,No closing,hypothetical_essential,,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-023,No material adverse change,Protect against deterioration between approval and close,Borrower,Bring-down certificate under negotiated definition,Closing,Subject to agreed carve-outs and credit approval,No closing or waiver/escalation,hypothetical_negotiation,,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-024,Required consents,Avoid contractual or regulatory breach,Borrower/Counsel,"Third-party, lease, regulatory and corporate consents",Closing or bounded post-close only,Only immaterial exceptions approved by counsel/lenders,No closing or excluded obligation/asset,private_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
