bridge_id,case_id,sequence,item,opening_value,movement,closing_value,units,calculation,status,classification,source_ids,source_reference,owner_review_status,notes
CB-0027,CC-REF,1,Existing Term A principal at October 31,468.75,0,468.75,USD_millions,Approved October 31 principal,supported,reported_fact,SRC-001;SRC-002,SRC-001 Note 9; SRC-002 net-debt table,owner_reviewed_for_phase5_testing,
CB-0028,CC-REF,2,Pre-closing scheduled Term A amortization,468.75,0,468.75,USD_millions,Opening Term A less installment paid before close,sensitivity,timing_assumption,SRC-003,SRC-003 section 2.3,owner_reviewed_for_phase5_testing,Timing: at_closing_embedded_in_payoff
CB-0029,CC-REF,3,Scheduled amortization component embedded in payoff,,6.25,6.25,USD_millions,Disclosure only; included within total Term A payoff and never added again,sensitivity,timing_assumption,SRC-003,SRC-003 section 2.3,owner_reviewed_for_phase5_testing,Prevents double counting when the scheduled date coincides with closing.
CB-0030,CC-REF,4,Term A payoff,468.75,0,468.75,USD_millions,Opening principal less only a pre-closing installment,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_fact_and_assumption,SRC-001;SRC-003;SRC-021,Closing case input,owner_reviewed_for_phase5_testing,
CB-0031,CC-REF,5,Existing revolver borrowings,172.5,25,197.5,USD_millions,October 31 revolver plus owner-reviewed principal-balance sensitivity; historical FCF is calibration only,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_fact_and_assumption,SRC-001;SRC-002;SRC-021,SRC-001 Note 9; SRC-021 FY2025 Q1 cash evidence,owner_reviewed_for_phase5_testing,"The $25m revolver movement is a principal-balance sensitivity informed by, but not equal to or independently additive with, the observed $24.134m FY2025 Q1 FCF trough. It is not an October-to-January cash forecast. Accrued payoff interest and $10m total fees are separately identified closing-use sensitivities pending closing diligence."
CB-0032,CC-REF,6,Other bank-debt movement,0,0,0,USD_millions,Explicit sensitivity; no other public bank debt identified,pending_information,assumption,SRC-001,SRC-001 Note 9,owner_reviewed_for_phase5_testing,
CB-0033,CC-REF,7,Total bank principal payoff,641.25,25,666.25,USD_millions,Term A payoff + revolver payoff + other bank-debt movement,calculated,calculated,SRC-001;SRC-003;SRC-021,Calculated from closing inputs,owner_reviewed_for_phase5_testing,
CB-0034,CC-REF,8,Existing letters of credit,6.2,0,6.2,USD_millions,Replacement exposure under new revolver; zero when cash-collateralized as separate use,sensitivity,contingent_exposure,SRC-001;SRC-003,SRC-001 Note 9; SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,Treatment: replace_under_new_revolver_non_cash
CB-0035,CC-REF,9,Accrued interest,0,3.64771875,3.64771875,USD_millions,Bank payoff x 6.57% x 30/360; separate unpaid payoff-interest use,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_reported_rate,SRC-001,SRC-001 Note 9,owner_reviewed_for_phase5_testing,"Exact rate, reset and payment date require payoff letter. Phase 5 must reconcile this use with integrated cash interest and must not add it again through the historical FCF calibration reference."
CB-0036,CC-REF,10,Prepayment premium,0,0,0,USD_millions,Existing term/revolver prepayment has no premium; interest-period breakage stays separate,supported_with_diligence,reported_contract_term,SRC-003,SRC-003 sections 2.4 and 2.8,owner_reviewed_for_phase5_testing,
CB-0037,CC-REF,11,Hedge or interest-period break cost,0,0,0,USD_millions,Case sensitivity; not a public payoff amount,pending_information,sensitivity,SRC-003,"SRC-003 sections 2.4, 2.8 and 2.19(e)",owner_reviewed_for_phase5_testing,
CB-0038,CC-REF,12,Financing fees,0,7.5,7.5,USD_millions,Explicit fee sensitivity; not a lender quote,pending_information,sensitivity,,Case input,owner_reviewed_for_phase5_testing,
CB-0039,CC-REF,13,"Legal, advisory and administrative expenses",0,2.5,2.5,USD_millions,Explicit transaction-cost sensitivity,pending_information,sensitivity,,Case input,owner_reviewed_for_phase5_testing,
CB-0040,CC-REF,14,LC cash-collateralization use,0,0,0,USD_millions,Only a cash use in the collateralization case,owner_reviewed_sensitivity_pending_closing_diligence,sensitivity,SRC-001;SRC-003,SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,LC exposure is counted once and is not also a replacement LC deduction.
CB-0041,CC-REF,15,Restricted cash created by LC collateralization,0,0,0,USD_millions,Balance-sheet classification of funded LC collateral; disclosure only and not an additional use,owner_reviewed_sensitivity_pending_closing_diligence,restricted_asset_excluded_from_usable_liquidity,SRC-001;SRC-003,SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,The funded amount is restricted cash or another separately classified restricted asset and is excluded from operating cash and usable liquidity.
CB-0042,CC-REF,16,Approved borrower cash contribution,0,0,0,USD_millions,"Capped by identified accessible cash, which is conservatively zero pending diligence",pending_information,assumption,SRC-001;SRC-003,SRC-001 liquidity; SRC-003 cash-netting definition,owner_reviewed_for_phase5_testing,
CB-0043,CC-REF,17,Minimum operating cash,76.018,not_a_funding_source,25,USD_millions,Proposed reserve distinct from accessible closing cash,hypothetical,proposed_term,SRC-001,SRC-001 balance sheet,owner_reviewed_for_phase5_testing,Not a use and not an accessible funding source in Phase 4.
CB-0044,CC-REF,18,Closing cash,76.018,pending_information,,USD_millions,Actual January cash and legal accessibility unavailable at cutoff,pending_information,missing_value,SRC-001,SRC-001 balance sheet and liquidity,owner_reviewed_for_phase5_testing,
CB-0045,CC-REF,19,Retained finance leases and other debt,62.619,0,62.619,USD_millions,Retained outside bank payoff,supported,reported_fact,SRC-001;SRC-002,SRC-001 Note 9; SRC-002 net-debt table,owner_reviewed_for_phase5_testing,
CB-0046,CC-REF,20,Retained operating lease liabilities,160.905,0,160.905,USD_millions,Retained debt-like obligation; excluded from funded debt,supported,reported_fact,SRC-001,SRC-001 Note 6,owner_reviewed_for_phase5_testing,
CB-0047,CC-REF,21,Total closing uses,,,679.89771875,USD_millions,Bank payoff + accrued interest + premium + hedge + fees + legal/admin + LC cash collateral,calculated,calculated,SRC-001;SRC-003;SRC-021,Sources and uses,owner_reviewed_for_phase5_testing,
CB-0048,CC-REF,22,New term funding,0,650,650,USD_millions,Minimum of $650m cap and supported uses after approved cash,calculated_pending_approval,calculated_proposed_source,,Case architecture,owner_reviewed_for_phase5_testing,Not automatically funded at the cap.
CB-0049,CC-REF,23,Term-only funding gap,0,29.89771875,29.89771875,USD_millions,Uses less approved cash and capped term funding,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,
CB-0050,CC-REF,24,Opening new-revolver draw,0,29.89771875,29.89771875,USD_millions,"Explicit residual supported use after term and approved cash, capped by $300m less replacement LCs",calculated_pending_approval,calculated_proposed_source,,Case architecture,owner_reviewed_for_phase5_testing,"A transparent funding source, not an unexplained balancing plug."
CB-0051,CC-REF,25,Nominal remaining new-revolver availability,300,-36.09771875,263.90228125,USD_millions,$300m commitment less opening draw less replacement LCs,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,Not proof of Phase 5 seasonal sufficiency.
CB-0052,CC-REF,26,Residual funding gap after capped revolver,0,0,0,USD_millions,Term-only gap less permitted opening revolver draw,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,
CB-0053,CC-HIGH,1,Existing Term A principal at October 31,468.75,0,468.75,USD_millions,Approved October 31 principal,supported,reported_fact,SRC-001;SRC-002,SRC-001 Note 9; SRC-002 net-debt table,owner_reviewed_for_phase5_testing,
CB-0054,CC-HIGH,2,Pre-closing scheduled Term A amortization,468.75,0,468.75,USD_millions,Opening Term A less installment paid before close,sensitivity,timing_assumption,SRC-003,SRC-003 section 2.3,owner_reviewed_for_phase5_testing,Timing: after_closing_cancelled_by_payoff
CB-0055,CC-HIGH,3,Scheduled amortization component embedded in payoff,,0,0,USD_millions,Disclosure only; included within total Term A payoff and never added again,sensitivity,timing_assumption,SRC-003,SRC-003 section 2.3,owner_reviewed_for_phase5_testing,Prevents double counting when the scheduled date coincides with closing.
CB-0056,CC-HIGH,4,Term A payoff,468.75,0,468.75,USD_millions,Opening principal less only a pre-closing installment,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_fact_and_assumption,SRC-001;SRC-003;SRC-021,Closing case input,owner_reviewed_for_phase5_testing,
CB-0057,CC-HIGH,5,Existing revolver borrowings,172.5,50,222.5,USD_millions,October 31 revolver plus owner-reviewed principal-balance sensitivity; historical FCF is calibration only,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_fact_and_assumption,SRC-001;SRC-002;SRC-021,SRC-001 Note 9; SRC-021 FY2025 Q1 cash evidence,owner_reviewed_for_phase5_testing,"The $50m revolver movement is a principal-balance sensitivity informed by approximately twice the observed FY2025 Q1 FCF trough, not an October-to-January cash forecast or an independently additive FCF use. Accrued payoff interest, $10m hedge cost, $20m total fees, and $6.2m restricted-cash LC collateralization are separate closing-use sensitivities pending closing diligence."
CB-0058,CC-HIGH,6,Other bank-debt movement,0,0,0,USD_millions,Explicit sensitivity; no other public bank debt identified,pending_information,assumption,SRC-001,SRC-001 Note 9,owner_reviewed_for_phase5_testing,
CB-0059,CC-HIGH,7,Total bank principal payoff,641.25,50,691.25,USD_millions,Term A payoff + revolver payoff + other bank-debt movement,calculated,calculated,SRC-001;SRC-003;SRC-021,Calculated from closing inputs,owner_reviewed_for_phase5_testing,
CB-0060,CC-HIGH,8,Existing letters of credit,6.2,-6.2,0,USD_millions,Replacement exposure under new revolver; zero when cash-collateralized as separate use,sensitivity,contingent_exposure,SRC-001;SRC-003,SRC-001 Note 9; SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,Treatment: cash_collateralize_at_closing
CB-0061,CC-HIGH,9,Accrued interest,0,7.5691875,7.5691875,USD_millions,Bank payoff x 6.57% x 60/360; separate unpaid payoff-interest use,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_reported_rate,SRC-001,SRC-001 Note 9,owner_reviewed_for_phase5_testing,"Exact rate, reset and payment date require payoff letter. Phase 5 must reconcile this use with integrated cash interest and must not add it again through the historical FCF calibration reference."
CB-0062,CC-HIGH,10,Prepayment premium,0,0,0,USD_millions,Existing term/revolver prepayment has no premium; interest-period breakage stays separate,supported_with_diligence,reported_contract_term,SRC-003,SRC-003 sections 2.4 and 2.8,owner_reviewed_for_phase5_testing,
CB-0063,CC-HIGH,11,Hedge or interest-period break cost,0,10,10,USD_millions,Case sensitivity; not a public payoff amount,pending_information,sensitivity,SRC-003,"SRC-003 sections 2.4, 2.8 and 2.19(e)",owner_reviewed_for_phase5_testing,
CB-0064,CC-HIGH,12,Financing fees,0,15,15,USD_millions,Explicit fee sensitivity; not a lender quote,pending_information,sensitivity,,Case input,owner_reviewed_for_phase5_testing,
CB-0065,CC-HIGH,13,"Legal, advisory and administrative expenses",0,5,5,USD_millions,Explicit transaction-cost sensitivity,pending_information,sensitivity,,Case input,owner_reviewed_for_phase5_testing,
CB-0066,CC-HIGH,14,LC cash-collateralization use,0,6.2,6.2,USD_millions,Only a cash use in the collateralization case,owner_reviewed_sensitivity_pending_closing_diligence,sensitivity,SRC-001;SRC-003,SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,LC exposure is counted once and is not also a replacement LC deduction.
CB-0067,CC-HIGH,15,Restricted cash created by LC collateralization,0,6.2,6.2,USD_millions,Balance-sheet classification of funded LC collateral; disclosure only and not an additional use,owner_reviewed_sensitivity_pending_closing_diligence,restricted_asset_excluded_from_usable_liquidity,SRC-001;SRC-003,SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,The funded amount is restricted cash or another separately classified restricted asset and is excluded from operating cash and usable liquidity.
CB-0068,CC-HIGH,16,Approved borrower cash contribution,0,0,0,USD_millions,"Capped by identified accessible cash, which is conservatively zero pending diligence",pending_information,assumption,SRC-001;SRC-003,SRC-001 liquidity; SRC-003 cash-netting definition,owner_reviewed_for_phase5_testing,
CB-0069,CC-HIGH,17,Minimum operating cash,76.018,not_a_funding_source,25,USD_millions,Proposed reserve distinct from accessible closing cash,hypothetical,proposed_term,SRC-001,SRC-001 balance sheet,owner_reviewed_for_phase5_testing,Not a use and not an accessible funding source in Phase 4.
CB-0070,CC-HIGH,18,Closing cash,76.018,pending_information,,USD_millions,Actual January cash and legal accessibility unavailable at cutoff,pending_information,missing_value,SRC-001,SRC-001 balance sheet and liquidity,owner_reviewed_for_phase5_testing,
CB-0071,CC-HIGH,19,Retained finance leases and other debt,62.619,0,62.619,USD_millions,Retained outside bank payoff,supported,reported_fact,SRC-001;SRC-002,SRC-001 Note 9; SRC-002 net-debt table,owner_reviewed_for_phase5_testing,
CB-0072,CC-HIGH,20,Retained operating lease liabilities,160.905,0,160.905,USD_millions,Retained debt-like obligation; excluded from funded debt,supported,reported_fact,SRC-001,SRC-001 Note 6,owner_reviewed_for_phase5_testing,
CB-0073,CC-HIGH,21,Total closing uses,,,735.0191875,USD_millions,Bank payoff + accrued interest + premium + hedge + fees + legal/admin + LC cash collateral,calculated,calculated,SRC-001;SRC-003;SRC-021,Sources and uses,owner_reviewed_for_phase5_testing,
CB-0074,CC-HIGH,22,New term funding,0,650,650,USD_millions,Minimum of $650m cap and supported uses after approved cash,calculated_pending_approval,calculated_proposed_source,,Case architecture,owner_reviewed_for_phase5_testing,Not automatically funded at the cap.
CB-0075,CC-HIGH,23,Term-only funding gap,0,85.0191875,85.0191875,USD_millions,Uses less approved cash and capped term funding,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,
CB-0076,CC-HIGH,24,Opening new-revolver draw,0,85.0191875,85.0191875,USD_millions,"Explicit residual supported use after term and approved cash, capped by $300m less replacement LCs",calculated_pending_approval,calculated_proposed_source,,Case architecture,owner_reviewed_for_phase5_testing,"A transparent funding source, not an unexplained balancing plug."
CB-0077,CC-HIGH,25,Nominal remaining new-revolver availability,300,-85.0191875,214.9808125,USD_millions,$300m commitment less opening draw less replacement LCs,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,Not proof of Phase 5 seasonal sufficiency.
CB-0078,CC-HIGH,26,Residual funding gap after capped revolver,0,0,0,USD_millions,Term-only gap less permitted opening revolver draw,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,
