comparison_id,item,existing_value,proposed_reference_value,units,existing_source_ids,proposed_status,borrower_benefit,lender_protection,principal_risk,owner_review_status,notes
FC-017,Pricing basis and margin,Base Rate or Adjusted Term SOFR; SOFR/RFR +200-275 bps,Term SOFR +250-350 bps sensitivity,basis_points,SRC-003,owner_reviewed_for_phase5_testing_not_final,No interest-saving benefit assumed,Sensitivity can target risk-adjusted return,May increase cost; no lender quote,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-018,Unused commitment fee,0.150%-0.250% leverage-based,pending_information,percent,SRC-003,owner_reviewed_for_phase5_testing_not_final,Smaller commitment could reduce gross carry,Fee compensates undrawn liquidity,Proposed fee and actual unused balance unknown,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-019,Upfront and transaction costs,$11.040m unamortized prior fees are contra-debt; fee letters private,$10m reference sensitivity,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,None absent refinancing,Costs must be funded and disclosed,"Write-off, new fees, legal/admin and hedge costs may erode benefit",owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-020,Security,First-priority liens subject to permitted liens/exclusions; domestic real property excluded in 10-K description,Eligible domestic obligor personal property subject to confirmation,text,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Potential refresh of collateral diligence,Opportunity to confirm perfection and exclusions,Cannot assume broader coverage,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-021,Guarantees,Subsidiaries other than excluded subsidiaries; complete post-Tyman schedule unavailable,Eligible material domestic subsidiaries; exclusions explicit,text,SRC-003,owner_reviewed_for_phase5_testing_not_final,Potential clean-up of post-Tyman joinders,Defined guarantor coverage,Foreign and non-guarantor structural subordination remains,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-022,Maintenance covenants,3.25x max CNLR and 3.00x min interest coverage,"Initially test 3.25x net leverage, 3.00x cash-interest coverage and $50m usable liquidity",text,SRC-003;SRC-016,owner_reviewed_for_phase5_testing_not_final,Could reset definitions and add liquidity protection,More direct liquidity monitoring,Proposed definitions and cushion are not final,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-023,Restricted payments,Detailed baskets/conditions; certain actions use 2.75x and >$25m liquidity tests,No debt-funded buybacks; bounded distributions subject to pro forma tests,text,SRC-003,owner_reviewed_for_phase5_testing_not_final,Clearer policy discipline,Protects deleveraging,May reduce operating/shareholder flexibility,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-024,Additional debt and acquisitions,Permitted baskets and $310m/100% EBITDA uncommitted incremental capacity,Consent requirements or documented baskets,text,SRC-003,owner_reviewed_for_phase5_testing_not_final,Can tailor post-acquisition flexibility,Controls leverage and execution risk,Tighter restrictions may reduce strategic flexibility,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-025,Reporting burden,Annual within 120 days; quarterly within 60 days; certificates,Quarterly plus monthly liquidity/WC and annual audited reporting,text,SRC-003,owner_reviewed_for_phase5_testing_not_final,Earlier visibility may support relationship,Improves monitoring,Higher administrative burden,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-026,Refinancing dependency,Concentrated August 2029 maturity,Concentrated January 2031 balloon after scheduled amortization,text,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Defers maturity wall,More amortization lowers residual,Only about 18 months of extension,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-027,Borrower benefit,Retain $475m revolver and avoid new transaction costs,Term out revolver use and refresh maturity,text,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,"Benefit exists only if term-out, liquidity and maturity value exceed costs",N/A,A limited amendment/extension may be superior,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-028,Principal risks,Persistent revolver usage; 2029 maturity; existing covenant headroom unavailable,"Fees, smaller revolver, higher amortization, tighter terms and unproven opening balances",text,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Balanced alternative analysis,Conditions protect against uncertainty,Refinance must not be presumed preferable,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
