maturity_id,structure,case_id,amortization_case,fiscal_bucket,obligation_category,amount,units,measurement_basis,status,source_ids,owner_review_status,notes
MT-0027,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,revolver_unchanged_through_maturity_assumption,172.5,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0028,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,retained_finance_leases_and_other_debt_maturities,6.498,USD_millions,reported_undiscounted_contractual_payments_separate_from_funded_principal,supported,SRC-001,not_applicable_existing_fact,Shown separately from funded principal and at undiscounted contractual payment amounts.
MT-0029,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,term_principal_outstanding_at_beginning_of_period,400,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0030,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,revolver_principal_outstanding_at_beginning_of_period,172.5,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0031,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,total_funded_principal_outstanding_at_beginning_of_period,572.5,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0032,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,scheduled_term_principal_payments_during_period,25,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0033,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,final_scheduled_term_installment_due_on_maturity_date,0,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0034,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,post_installment_term_balloon,375,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0035,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,total_term_principal_due_on_maturity_date,375,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0036,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,revolver_principal_due_on_maturity_date,172.5,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0037,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,total_funded_principal_due_on_maturity_date,547.5,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0038,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,total_funded_principal_payments_during_period,572.5,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0039,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,revolver_unchanged_through_maturity_assumption,172.5,USD_millions,authoritative_principal_schedule; period_after_2028-08-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0040,existing,,EXISTING-EXECUTED,FINAL_12M_TO_2029-08-01,retained_finance_leases_and_other_debt_maturities,,USD_millions,reported_undiscounted_contractual_payments_separate_from_funded_principal,not_determinable_from_annual_maturity_buckets,SRC-001,not_applicable_existing_fact,The public annual maturity buckets do not support an exact allocation to this period.
MT-0041,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,term_principal_outstanding_at_beginning_of_period,488,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0042,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,revolver_principal_outstanding_at_beginning_of_period,0,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0043,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,total_funded_principal_outstanding_at_beginning_of_period,488,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0044,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,scheduled_term_principal_payments_during_period,8,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0045,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,final_scheduled_term_installment_due_on_maturity_date,8,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0046,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,post_installment_term_balloon,480,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0047,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,total_term_principal_due_on_maturity_date,488,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0048,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,revolver_principal_due_on_maturity_date,0,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0049,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,total_funded_principal_due_on_maturity_date,488,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0050,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,total_funded_principal_payments_during_period,488,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0051,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,revolver_unchanged_through_maturity_assumption,0,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0052,proposed,CC-LOW,AMORT-5,FY2031_maturity_reporting_year,retained_finance_leases_and_other_debt_maturities,,USD_millions,reported_undiscounted_contractual_payments_separate_from_funded_principal,not_determinable_from_annual_maturity_buckets,SRC-001,owner_reviewed_for_phase5_testing,The public annual maturity buckets do not support an exact allocation to this period.
MT-0053,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,term_principal_outstanding_at_beginning_of_period,512,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0054,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,revolver_principal_outstanding_at_beginning_of_period,0,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0055,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,total_funded_principal_outstanding_at_beginning_of_period,512,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0056,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,scheduled_term_principal_payments_during_period,32,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0057,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,final_scheduled_term_installment_due_on_maturity_date,8,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0058,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,post_installment_term_balloon,480,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0059,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,total_term_principal_due_on_maturity_date,488,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0060,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,revolver_principal_due_on_maturity_date,0,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0061,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,total_funded_principal_due_on_maturity_date,488,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0062,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,total_funded_principal_payments_during_period,512,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0063,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,revolver_unchanged_through_maturity_assumption,0,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0064,proposed,CC-LOW,AMORT-5,FINAL_12M_TO_2031-01-31,retained_finance_leases_and_other_debt_maturities,,USD_millions,reported_undiscounted_contractual_payments_separate_from_funded_principal,not_determinable_from_annual_maturity_buckets,SRC-001,owner_reviewed_for_phase5_testing,The public annual maturity buckets do not support an exact allocation to this period.
MT-0065,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,term_principal_outstanding_at_beginning_of_period,336,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0066,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,revolver_principal_outstanding_at_beginning_of_period,0,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0067,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,total_funded_principal_outstanding_at_beginning_of_period,336,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0068,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,scheduled_term_principal_payments_during_period,16,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0069,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,final_scheduled_term_installment_due_on_maturity_date,16,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0070,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,post_installment_term_balloon,320,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0071,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,total_term_principal_due_on_maturity_date,336,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0072,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,revolver_principal_due_on_maturity_date,0,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0073,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,total_funded_principal_due_on_maturity_date,336,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0074,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,total_funded_principal_payments_during_period,336,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0075,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,revolver_unchanged_through_maturity_assumption,0,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0076,proposed,CC-LOW,AMORT-10,FY2031_maturity_reporting_year,retained_finance_leases_and_other_debt_maturities,,USD_millions,reported_undiscounted_contractual_payments_separate_from_funded_principal,not_determinable_from_annual_maturity_buckets,SRC-001,owner_reviewed_for_phase5_testing,The public annual maturity buckets do not support an exact allocation to this period.
MT-0077,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,term_principal_outstanding_at_beginning_of_period,384,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0078,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,revolver_principal_outstanding_at_beginning_of_period,0,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0079,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,total_funded_principal_outstanding_at_beginning_of_period,384,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0080,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,scheduled_term_principal_payments_during_period,64,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0081,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,final_scheduled_term_installment_due_on_maturity_date,16,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0082,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,post_installment_term_balloon,320,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0083,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,total_term_principal_due_on_maturity_date,336,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0084,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,revolver_principal_due_on_maturity_date,0,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0085,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,total_funded_principal_due_on_maturity_date,336,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0086,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,total_funded_principal_payments_during_period,384,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0087,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,revolver_unchanged_through_maturity_assumption,0,USD_millions,authoritative_principal_schedule; period_after_2030-01-31_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0088,proposed,CC-LOW,AMORT-10,FINAL_12M_TO_2031-01-31,retained_finance_leases_and_other_debt_maturities,,USD_millions,reported_undiscounted_contractual_payments_separate_from_funded_principal,not_determinable_from_annual_maturity_buckets,SRC-001,owner_reviewed_for_phase5_testing,The public annual maturity buckets do not support an exact allocation to this period.
MT-0089,proposed,CC-LOW,AMORT-15,FY2031_maturity_reporting_year,term_principal_outstanding_at_beginning_of_period,184,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,
MT-0090,proposed,CC-LOW,AMORT-15,FY2031_maturity_reporting_year,revolver_principal_outstanding_at_beginning_of_period,0,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0091,proposed,CC-LOW,AMORT-15,FY2031_maturity_reporting_year,total_funded_principal_outstanding_at_beginning_of_period,184,USD_millions,authoritative_principal_schedule; period_after_2030-11-01_through_2031-01-31,hypothetical_calculation,,owner_reviewed_for_phase5_testing,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
