schedule_id,structure,case_id,amortization_case,annual_amortization_percent,installment_number,payment_date,fiscal_year,days_from_prior_date,period_treatment,original_principal,quarterly_amortization_percent,beginning_principal,scheduled_principal,balloon_principal,total_principal_due,ending_principal,units,classification,owner_review_status,notes
DS-0012,existing,,EXISTING-EXECUTED,5,12,2028-10-31,FY2028,92,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,400,6.25,0,6.25,393.75,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0013,existing,,EXISTING-EXECUTED,5,13,2029-01-31,FY2029,92,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,393.75,6.25,0,6.25,387.5,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0014,existing,,EXISTING-EXECUTED,5,14,2029-04-30,FY2029,89,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,387.5,6.25,0,6.25,381.25,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0015,existing,,EXISTING-EXECUTED,5,15,2029-07-31,FY2029,92,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,381.25,6.25,0,6.25,375,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0016,existing,,EXISTING-EXECUTED,5,16,2029-08-01,FY2029,1,contractual_maturity_after_last_quarterly_installment,500,1.25,375,0,375,375,0,USD_millions,executed_contract_term_maturity,not_applicable_existing_fact,"The July 31, 2029 quarterly installment precedes the August 1, 2029 maturity; no separate quarterly installment is modeled on the maturity date."
DS-0017,proposed,CC-LOW,AMORT-5,5,1,2026-04-30,FY2026,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,640,8,0,8,632,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0018,proposed,CC-LOW,AMORT-5,5,2,2026-07-31,FY2026,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,632,8,0,8,624,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0019,proposed,CC-LOW,AMORT-5,5,3,2026-10-31,FY2026,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,624,8,0,8,616,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0020,proposed,CC-LOW,AMORT-5,5,4,2027-01-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,616,8,0,8,608,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0021,proposed,CC-LOW,AMORT-5,5,5,2027-04-30,FY2027,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,608,8,0,8,600,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0022,proposed,CC-LOW,AMORT-5,5,6,2027-07-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,600,8,0,8,592,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0023,proposed,CC-LOW,AMORT-5,5,7,2027-10-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,592,8,0,8,584,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0024,proposed,CC-LOW,AMORT-5,5,8,2028-01-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,584,8,0,8,576,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0025,proposed,CC-LOW,AMORT-5,5,9,2028-04-30,FY2028,90,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,576,8,0,8,568,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0026,proposed,CC-LOW,AMORT-5,5,10,2028-07-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,568,8,0,8,560,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0027,proposed,CC-LOW,AMORT-5,5,11,2028-10-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,560,8,0,8,552,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0028,proposed,CC-LOW,AMORT-5,5,12,2029-01-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,552,8,0,8,544,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0029,proposed,CC-LOW,AMORT-5,5,13,2029-04-30,FY2029,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,544,8,0,8,536,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0030,proposed,CC-LOW,AMORT-5,5,14,2029-07-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,536,8,0,8,528,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0031,proposed,CC-LOW,AMORT-5,5,15,2029-10-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,528,8,0,8,520,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0032,proposed,CC-LOW,AMORT-5,5,16,2030-01-31,FY2030,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,520,8,0,8,512,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0033,proposed,CC-LOW,AMORT-5,5,17,2030-04-30,FY2030,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,512,8,0,8,504,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0034,proposed,CC-LOW,AMORT-5,5,18,2030-07-31,FY2030,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,504,8,0,8,496,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0035,proposed,CC-LOW,AMORT-5,5,19,2030-10-31,FY2030,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,496,8,0,8,488,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0036,proposed,CC-LOW,AMORT-5,5,20,2031-01-31,FY2031,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,1.25,488,8,480,488,0,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0037,proposed,CC-LOW,AMORT-10,10,1,2026-04-30,FY2026,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,640,16,0,16,624,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0038,proposed,CC-LOW,AMORT-10,10,2,2026-07-31,FY2026,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,624,16,0,16,608,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0039,proposed,CC-LOW,AMORT-10,10,3,2026-10-31,FY2026,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,608,16,0,16,592,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0040,proposed,CC-LOW,AMORT-10,10,4,2027-01-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,592,16,0,16,576,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0041,proposed,CC-LOW,AMORT-10,10,5,2027-04-30,FY2027,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,576,16,0,16,560,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0042,proposed,CC-LOW,AMORT-10,10,6,2027-07-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,560,16,0,16,544,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0043,proposed,CC-LOW,AMORT-10,10,7,2027-10-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,544,16,0,16,528,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0044,proposed,CC-LOW,AMORT-10,10,8,2028-01-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,528,16,0,16,512,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0045,proposed,CC-LOW,AMORT-10,10,9,2028-04-30,FY2028,90,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,512,16,0,16,496,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0046,proposed,CC-LOW,AMORT-10,10,10,2028-07-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,496,16,0,16,480,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0047,proposed,CC-LOW,AMORT-10,10,11,2028-10-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,480,16,0,16,464,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0048,proposed,CC-LOW,AMORT-10,10,12,2029-01-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,464,16,0,16,448,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0049,proposed,CC-LOW,AMORT-10,10,13,2029-04-30,FY2029,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,448,16,0,16,432,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0050,proposed,CC-LOW,AMORT-10,10,14,2029-07-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,432,16,0,16,416,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0051,proposed,CC-LOW,AMORT-10,10,15,2029-10-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,416,16,0,16,400,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0052,proposed,CC-LOW,AMORT-10,10,16,2030-01-31,FY2030,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,400,16,0,16,384,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0053,proposed,CC-LOW,AMORT-10,10,17,2030-04-30,FY2030,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,384,16,0,16,368,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0054,proposed,CC-LOW,AMORT-10,10,18,2030-07-31,FY2030,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,368,16,0,16,352,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0055,proposed,CC-LOW,AMORT-10,10,19,2030-10-31,FY2030,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,352,16,0,16,336,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0056,proposed,CC-LOW,AMORT-10,10,20,2031-01-31,FY2031,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,2.5,336,16,320,336,0,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0057,proposed,CC-LOW,AMORT-15,15,1,2026-04-30,FY2026,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,640,24,0,24,616,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0058,proposed,CC-LOW,AMORT-15,15,2,2026-07-31,FY2026,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,616,24,0,24,592,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0059,proposed,CC-LOW,AMORT-15,15,3,2026-10-31,FY2026,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,592,24,0,24,568,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0060,proposed,CC-LOW,AMORT-15,15,4,2027-01-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,568,24,0,24,544,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0061,proposed,CC-LOW,AMORT-15,15,5,2027-04-30,FY2027,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,544,24,0,24,520,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0062,proposed,CC-LOW,AMORT-15,15,6,2027-07-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,520,24,0,24,496,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0063,proposed,CC-LOW,AMORT-15,15,7,2027-10-31,FY2027,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,496,24,0,24,472,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0064,proposed,CC-LOW,AMORT-15,15,8,2028-01-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,472,24,0,24,448,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0065,proposed,CC-LOW,AMORT-15,15,9,2028-04-30,FY2028,90,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,448,24,0,24,424,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0066,proposed,CC-LOW,AMORT-15,15,10,2028-07-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,424,24,0,24,400,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0067,proposed,CC-LOW,AMORT-15,15,11,2028-10-31,FY2028,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,400,24,0,24,376,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0068,proposed,CC-LOW,AMORT-15,15,12,2029-01-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,376,24,0,24,352,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0069,proposed,CC-LOW,AMORT-15,15,13,2029-04-30,FY2029,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,352,24,0,24,328,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0070,proposed,CC-LOW,AMORT-15,15,14,2029-07-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,328,24,0,24,304,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0071,proposed,CC-LOW,AMORT-15,15,15,2029-10-31,FY2029,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,304,24,0,24,280,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0072,proposed,CC-LOW,AMORT-15,15,16,2030-01-31,FY2030,92,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,280,24,0,24,256,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
DS-0073,proposed,CC-LOW,AMORT-15,15,17,2030-04-30,FY2030,89,full_quarter_no_proration; calendar anchor subject to business-day convention,640,3.75,256,24,0,24,232,USD_millions,hypothetical_principal_only_schedule,owner_reviewed_for_phase5_testing,"No cash sweep, voluntary repayment, revolver movement, or interest projection is included. The first modeled payment is 2026-04-30; actual business-day mechanics require final documents."
