economics_id,analysis_type,principal_base,existing_margin_bps,proposed_margin_bps,annual_spread_savings_or_cost,upfront_fee_sensitivity,break_even_years,within_five_year_tenor,units,classification,source_ids,owner_review_status,notes
RE-0011,spread_and_upfront_fee_break_even,650,225,250,-1.625,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0012,spread_and_upfront_fee_break_even,650,225,250,-1.625,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0013,spread_and_upfront_fee_break_even,650,225,300,-4.875,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0014,spread_and_upfront_fee_break_even,650,225,300,-4.875,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0015,spread_and_upfront_fee_break_even,650,225,300,-4.875,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0016,spread_and_upfront_fee_break_even,650,225,350,-8.125,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0017,spread_and_upfront_fee_break_even,650,225,350,-8.125,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0018,spread_and_upfront_fee_break_even,650,225,350,-8.125,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0019,spread_and_upfront_fee_break_even,650,250,250,0,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0020,spread_and_upfront_fee_break_even,650,250,250,0,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0021,spread_and_upfront_fee_break_even,650,250,250,0,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0022,spread_and_upfront_fee_break_even,650,250,300,-3.25,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0023,spread_and_upfront_fee_break_even,650,250,300,-3.25,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0024,spread_and_upfront_fee_break_even,650,250,300,-3.25,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0025,spread_and_upfront_fee_break_even,650,250,350,-6.5,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0026,spread_and_upfront_fee_break_even,650,250,350,-6.5,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0027,spread_and_upfront_fee_break_even,650,250,350,-6.5,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0028,spread_and_upfront_fee_break_even,650,275,250,1.625,5,3.076923076923076923076923077,yes,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0029,spread_and_upfront_fee_break_even,650,275,250,1.625,10,6.153846153846153846153846154,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0030,spread_and_upfront_fee_break_even,650,275,250,1.625,20,12.30769230769230769230769231,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0031,spread_and_upfront_fee_break_even,650,275,300,-1.625,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0032,spread_and_upfront_fee_break_even,650,275,300,-1.625,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0033,spread_and_upfront_fee_break_even,650,275,300,-1.625,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0034,spread_and_upfront_fee_break_even,650,275,350,-4.875,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0035,spread_and_upfront_fee_break_even,650,275,350,-4.875,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0036,spread_and_upfront_fee_break_even,650,275,350,-4.875,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0037,existing_unused_commitment_fee_diagnostic,296.3,15,,-0.44445,,N/M,no,USD_millions,calculated_from_existing_fact,SRC-001;SRC-003,not_applicable_existing_fact,"Existing annual unused-fee run-rate on October 31 reported availability; actual average unused commitment differs. Proposed fee is pending, so no savings claim is made. Existing and limited amendment/extension alternatives remain live."
RE-0038,existing_unused_commitment_fee_diagnostic,296.3,25,,-0.74075,,N/M,no,USD_millions,calculated_from_existing_fact,SRC-001;SRC-003,not_applicable_existing_fact,"Existing annual unused-fee run-rate on October 31 reported availability; actual average unused commitment differs. Proposed fee is pending, so no savings claim is made. Existing and limited amendment/extension alternatives remain live."
