term_id,category,term_name,proposed_value,units,purpose,risk_addressed,source_or_hypothetical_status,source_ids,open_negotiation_issue,final_approval_phase,owner_review_status,notes
PT-011,pricing,term_and_drawn_revolver_margin,Term SOFR + 250-350 bps,basis_points,Bound pricing sensitivity without implying a quote.,Floating-rate and return risk,hypothetical_owner_reviewed_for_phase5_testing,,No market quote; benchmark floor and pricing grid remain open,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed sensitivity for Phase 5 testing only; no spread is a lender quote, commitment, borrower-approved final term, or closing fact."
PT-012,pricing,unused_commitment_fee,pending_information,percent,Compensate undrawn commitment.,Revolver carry cost,pending_information,,Requires lender proposal,Phase 6,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-013,pricing,letter_of_credit_fee,pending_information,percent,Compensate LC exposure.,Contingent credit exposure,pending_information,,LC pricing and fronting fee require proposal,Phase 6,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-014,maturity,term_and_revolver_maturity,2031-01-31,date,Provide a common five-year maturity.,Refinancing risk,hypothetical_owner_reviewed_for_phase5_testing,,Subject to negotiation and Phase 5-6 model results,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-015,security,collateral,"Eligible domestic obligor personal property, subject to legal confirmation and permitted liens",text,Preserve a first-priority domestic collateral package.,Loss severity,hypothetical_owner_reviewed_for_phase5_testing,,"Exact collateral, exclusions, perfection, real-property treatment and foreign assets",Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed for Phase 5 testing only and subject to post-Tyman joinders, exclusions, perfection, control, foreign-equity limits, permitted liens and legal opinions; no confirmed legal coverage is asserted."
PT-016,guarantees,guarantors,"Eligible material domestic subsidiaries, with exclusions explicit",text,Capture material domestic enterprise support.,Structural subordination,hypothetical_owner_reviewed_for_phase5_testing,,Post-Tyman legal-entity and guarantor schedule,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed for Phase 5 testing only and subject to post-Tyman joinders, exclusions, perfection, control, foreign-equity limits, permitted liens and legal opinions; no confirmed legal coverage is asserted."
PT-017,mandatory_prepayment,excess_cash_flow_sweep,50,percent_of_defined_excess_cash_flow,Accelerate repayment while safeguarding operations.,Deleveraging and cash leakage,hypothetical_owner_reviewed_for_phase5_testing,,"Definition, thresholds, step-downs, deductions, timing and liquidity safeguards",Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-018,covenants,net_leverage_covenant,3.25x maximum; initially test step to 3.00x from FY2028,turns,Set an early-warning maintenance test.,Leverage deterioration,hypothetical_initial_analytical_test_threshold,,"Definition, cash netting, cure rights, cushions and step date",Phase 7,owner_reviewed_initial_analytical_threshold,Initial analytical test threshold for Phase 5 only; not an approved final covenant or official compliance calculation.
PT-019,covenants,cash_interest_coverage_covenant,3.00x minimum,turns,Protect cash debt-service capacity.,Interest burden,hypothetical_initial_analytical_test_threshold,,Numerator and denominator definitions,Phase 7,owner_reviewed_initial_analytical_threshold,Initial analytical test threshold for Phase 5 only; not an approved final covenant or official compliance calculation.
PT-020,covenants,usable_liquidity_covenant,50,USD_millions,Preserve funded liquidity capacity.,Seasonal cash shortfall,hypothetical_initial_analytical_test_threshold,,"Accessible cash, revolver availability and test frequency",Phase 7,owner_reviewed_initial_analytical_threshold,Initial analytical test threshold for Phase 5 only; not an approved final covenant or official compliance calculation.
PT-021,liquidity,operating_cash_floor,25,USD_millions,Reserve operating cash in the model.,Cash over-sweep,hypothetical_owner_reviewed_for_phase5_testing,,Entity-level accessible and trapped cash analysis in Phase 5,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-022,distributions,restricted_payments,No debt-funded buybacks; bounded distributions subject to pro forma tests,text,Protect deleveraging while retaining tested flexibility.,Cash leakage,hypothetical_owner_reviewed_for_phase5_testing,,"Baskets, leverage/liquidity tests and Board policy",Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-023,negative_covenants,additional_debt_and_acquisitions,Consent requirements or documented baskets,text,Limit incremental leverage and integration risk.,Debt layering and acquisition execution,hypothetical_proposed_term,,"Baskets, ratios, permitted liens and acquisition conditions",Phase 6,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-024,reporting,reporting_package,Quarterly financials/certificates; monthly liquidity and working-capital reporting; annual audited statements,text,Make liquidity and operating risks observable.,Monitoring delay,hypothetical_owner_reviewed_for_phase5_testing,,"Delivery deadlines, detail, audit qualification and control remediation",Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-025,prepayment,voluntary_prepayment,pending_information,text,Allow optional deleveraging or refinancing.,Call protection and flexibility,pending_information,,"Premium, soft-call, notice and breakage",Phase 6,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-026,prepayment,mandatory_prepayment_other,pending_information,text,"Capture asset sale, debt issuance and insurance proceeds.",Leakage and collateral erosion,pending_information,,"Thresholds, reinvestment and application order",Phase 6,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-027,rates,default_rate_increment,pending_information,basis_points,Compensate default exposure.,Default risk,pending_information,,Requires lender proposal,Phase 6,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-028,letters_of_credit,lc_sublimit_and_transition,pending_information,USD_millions,Ensure existing $6.2m LCs are replaced or collateralized once.,Operational continuity and double counting,pending_information,SRC-001;SRC-003,"Issuer consent, sublimit, fronting, replacement and collateral mechanics",Phase 6,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
