record_id,artifact_path,record_type,source_or_assumption_id,source_type,source_date,forecast_period,units,original_value,normalized_value,classification,review_status,formula_or_transformation,upstream_artifact,source_ids,limitation_or_rationale
LED-A-P5A-040,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-040,upstream_fact_or_explicit_modeling_assumption,,2026-01-31,USD_millions,10,10,inherited_reference_case,inherited_owner_reviewed,Included once in Phase 4 reference closing uses and funded debt.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,Not subtracted again from the post-closing cash waterfall.
LED-A-P5A-041,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-041,upstream_fact_or_explicit_modeling_assumption,,FY2026-FY2031,days,365,365,new_modeling_assumption,owner_reviewed_for_phase5_testing,Trailing-12-month revenue and cost-of-sales denominators use 365 days.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,,Leap-year day differences are immaterial to this annualized public-information proxy.
LED-A-P5A-042,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-042,upstream_fact_or_explicit_modeling_assumption,2024-06-13,modeled_term,USD_millions,,,missing_input,pending_information,"Recurring commitment, LC, fronting, administrative and other financing fees are not fully determinable.",data/phase4/processed/PHASE5_OPENING_INPUTS.csv,SRC-003,Excluded rather than entered as zero; modeled cash flow and liquidity are before these fees.
LED-O-OP-0001,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0001,formula_calculated_forecast_output,,FY2026,,,400.0339989,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0002,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0002,formula_calculated_forecast_output,,FY2026,,,452.46668805,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0003,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0003,formula_calculated_forecast_output,,FY2026,,,495.260618175,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0004,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0004,formula_calculated_forecast_output,,FY2026,,,489.83375385,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0005,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0005,formula_calculated_forecast_output,,FY2027,,,400.0239980500275,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0006,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0006,formula_calculated_forecast_output,,FY2027,,,452.45537638279875,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0007,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0007,formula_calculated_forecast_output,,FY2027,,,495.248236659545625,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0008,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0008,formula_calculated_forecast_output,,FY2027,,,489.82150800615375,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0009,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0009,formula_calculated_forecast_output,,FY2028,,,400.0139974500762493125,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0010,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0010,formula_calculated_forecast_output,,FY2028,,,452.44406499838918003125,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0011,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0011,formula_calculated_forecast_output,,FY2028,,,495.235855453629136359375,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0012,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0012,formula_calculated_forecast_output,,FY2028,,,489.80926246845359615625,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0013,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0013,formula_calculated_forecast_output,,FY2029,,,400.0039971001399974062671875,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0014,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0014,formula_calculated_forecast_output,,FY2029,,,452.4327538967642203017492188,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0015,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0015,formula_calculated_forecast_output,,FY2029,,,495.2234745572427956309660156,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0016,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0016,formula_calculated_forecast_output,,FY2029,,,489.7970172368918848163460938,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0017,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0017,formula_calculated_forecast_output,,FY2030,,,399.9939970002124939063320308,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
LED-O-OP-0018,data/phase5/processed/QUARTERLY_OPERATING_FORECAST.csv,operating_forecast,OP-0018,formula_calculated_forecast_output,,FY2030,,,452.4214430779168011962416751,formula_calculated_forecast,contains_owner_reviewed_phase5_testing_assumptions,"Revenue uses volume and price/mix; gross profit uses quarterly seasonal margin; EBITDA subtracts cash operating expense; TTM balance drivers determine working capital; CFADS subtracts taxes, capex, working-capital investment and identified cash uses.",data/phase5/raw/MODEL_ASSUMPTIONS.csv,SRC-001;SRC-002;SRC-016;SRC-021;SRC-022,
