distress_event_id,scenario_id,structure,event_type,event_date,status,observed_value,threshold_or_rule,failed_obligation_type,amount_due,amount_paid,unpaid_amount,revolver_capacity_already_exhausted,drawability_shutoff_active,cash_available_before_payment,cash_remaining_after_payment,scenario_timing_convention,interim_failure_or_maturity_shortfall,sequence_number,classification,source_ids,upstream_ids,notes
P6E-0018,BASE,proposed,PROPOSED_MATURITY_SHORTFALL,2031-01-31,MATURITY_SHORTFALL,340.9478312215931607465924833,unfunded at proposed maturity,MATURITY_PRINCIPAL,340.9478312215931607465924833,0,340.9478312215931607465924833,no,no,,,equal_neutral,maturity_shortfall,5,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0060,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0019,BASE,existing,OPENING_REVOLVER_EXPOSURE,OPENING_POSITION,WARNING,207.39771875,opening balance,,,,,,,,,equal_neutral,,1,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0020,BASE,existing,FIRST_INCREMENTAL_POST_CLOSING_DRAW,2026-11-30,WARNING,0.42278627057669671149276322,>0 incremental draw,,,,,no,no,,,equal_neutral,,3,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-E-0010,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0021,BASE,existing,FIRST_REVOLVER_REPAYMENT,2026-02-28,WARNING,6.41161398900467774864447235,>0 repayment,,,,,no,no,,,equal_neutral,,2,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-E-0001,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0022,BASE,existing,PEAK_SUBSEQUENT_PERIOD_END_REVOLVER,2026-02-28,WARNING,200.9861047609953222513555276,maximum modeled month-end balance after opening,,,,,no,no,,,equal_neutral,,2,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-E-0001,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0023,BASE,existing,PEAK_REVOLVER_INCLUDING_OPENING,OPENING_POSITION,WARNING,207.39771875,maximum of opening and subsequent month-end balances,,,,,,,,,equal_neutral,,1,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0024,BASE,existing,FIRST_LIQUIDITY_WARNING,,PASS,,usable liquidity <50,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0025,BASE,existing,FIRST_CASH_FLOOR_FAILURE,,PASS,,cash-floor shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0026,BASE,existing,FIRST_ANALYTICAL_LEVERAGE_FAILURE,,PASS,,above analytical threshold,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0027,BASE,existing,FIRST_ANALYTICAL_COVERAGE_FAILURE,,PASS,,below 3.00x,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0028,BASE,existing,FIRST_NO_WAIVER_DRAWABILITY_SHUTOFF,,NOT_APPLICABLE,,new draws unavailable,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0029,BASE,existing,FIRST_REVOLVER_CAPACITY_EXHAUSTION,,PASS,,nominal revolver availability <=0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0030,BASE,existing,FIRST_MANDATORY_PAYMENT_FAILURE,,PASS,,"unpaid cash interest, scheduled term principal or retained mandatory obligation",,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0031,BASE,existing,FIRST_SCHEDULED_INTEREST_FAILURE,,PASS,,cash-interest shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0032,BASE,existing,FIRST_SCHEDULED_PRINCIPAL_FAILURE,,PASS,,scheduled-term-principal shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0033,BASE,existing,FIRST_RETAINED_OBLIGATION_FAILURE,,PASS,,retained-obligation shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0034,BASE,existing,FIRST_DISTRIBUTION_RESTRICTION_FLAG,,PASS,,narrow or broad analytical flag; not a payment default,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0035,BASE,existing,EXISTING_MATURITY_SHORTFALL,2029-07-31,MATURITY_SHORTFALL,432.7492812067100176549274129,unfunded at existing maturity,MATURITY_PRINCIPAL,432.7492812067100176549274129,0,432.7492812067100176549274129,no,no,,,equal_neutral,maturity_shortfall,4,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-E-0042,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0036,BASE,existing,PROPOSED_MATURITY_SHORTFALL,,NOT_APPLICABLE,,unfunded at proposed maturity,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0037,MODERATE_UNMITIGATED,proposed,OPENING_REVOLVER_EXPOSURE,OPENING_POSITION,WARNING,29.89771875,opening balance,,,,,,,,,adverse_conservative,,1,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0038,MODERATE_UNMITIGATED,proposed,FIRST_INCREMENTAL_POST_CLOSING_DRAW,2026-02-28,WARNING,15.96388007822948952786475914,>0 incremental draw,,,,,no,no,,,adverse_conservative,,2,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0001,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0039,MODERATE_UNMITIGATED,proposed,FIRST_REVOLVER_REPAYMENT,2026-06-30,WARNING,2.28272567264091338950081445,>0 repayment,,,,,no,no,,,adverse_conservative,,3,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0005,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0040,MODERATE_UNMITIGATED,proposed,PEAK_SUBSEQUENT_PERIOD_END_REVOLVER,2027-01-31,WARNING,147.27617834698350911877153,maximum modeled month-end balance after opening,,,,,no,no,,,adverse_conservative,,5,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0012,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0041,MODERATE_UNMITIGATED,proposed,PEAK_REVOLVER_INCLUDING_OPENING,2027-01-31,WARNING,147.27617834698350911877153,maximum of opening and subsequent month-end balances,,,,,no,no,,,adverse_conservative,,5,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0012,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0042,MODERATE_UNMITIGATED,proposed,FIRST_LIQUIDITY_WARNING,,PASS,,usable liquidity <50,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0043,MODERATE_UNMITIGATED,proposed,FIRST_CASH_FLOOR_FAILURE,,PASS,,cash-floor shortfall >0,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0044,MODERATE_UNMITIGATED,proposed,FIRST_ANALYTICAL_LEVERAGE_FAILURE,2026-10-31,BREACHED_ANALYTICAL_THRESHOLD,3.95962260452227256913022908,above analytical threshold,,,,,no,no,,,adverse_conservative,,4,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0009,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0045,MODERATE_UNMITIGATED,proposed,FIRST_ANALYTICAL_COVERAGE_FAILURE,,PASS,,below 3.00x,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0046,MODERATE_UNMITIGATED,proposed,FIRST_NO_WAIVER_DRAWABILITY_SHUTOFF,,NOT_APPLICABLE,,new draws unavailable,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0047,MODERATE_UNMITIGATED,proposed,FIRST_REVOLVER_CAPACITY_EXHAUSTION,,PASS,,nominal revolver availability <=0,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0048,MODERATE_UNMITIGATED,proposed,FIRST_MANDATORY_PAYMENT_FAILURE,,PASS,,"unpaid cash interest, scheduled term principal or retained mandatory obligation",,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0049,MODERATE_UNMITIGATED,proposed,FIRST_SCHEDULED_INTEREST_FAILURE,,PASS,,cash-interest shortfall >0,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0050,MODERATE_UNMITIGATED,proposed,FIRST_SCHEDULED_PRINCIPAL_FAILURE,,PASS,,scheduled-term-principal shortfall >0,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0051,MODERATE_UNMITIGATED,proposed,FIRST_RETAINED_OBLIGATION_FAILURE,,PASS,,retained-obligation shortfall >0,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0052,MODERATE_UNMITIGATED,proposed,FIRST_DISTRIBUTION_RESTRICTION_FLAG,2026-02-28,WARNING,0.4166666666666666666666666667,narrow or broad analytical flag; not a payment default,,,,,no,no,,,adverse_conservative,,2,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0001,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0053,MODERATE_UNMITIGATED,proposed,EXISTING_MATURITY_SHORTFALL,,NOT_APPLICABLE,,unfunded at existing maturity,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0054,MODERATE_UNMITIGATED,proposed,PROPOSED_MATURITY_SHORTFALL,2031-01-31,MATURITY_SHORTFALL,429.4873934816684656788537555,unfunded at proposed maturity,MATURITY_PRINCIPAL,429.4873934816684656788537555,0,429.4873934816684656788537555,no,no,,,adverse_conservative,maturity_shortfall,6,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0060,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0055,MODERATE_UNMITIGATED,existing,OPENING_REVOLVER_EXPOSURE,OPENING_POSITION,WARNING,207.39771875,opening balance,,,,,,,,,adverse_conservative,,1,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0056,MODERATE_UNMITIGATED,existing,FIRST_INCREMENTAL_POST_CLOSING_DRAW,2026-02-28,WARNING,15.90059713996170328086272145,>0 incremental draw,,,,,no,no,,,adverse_conservative,,2,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-E-0001,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0057,MODERATE_UNMITIGATED,existing,FIRST_REVOLVER_REPAYMENT,2026-06-30,WARNING,2.34762577313788104657730217,>0 repayment,,,,,no,no,,,adverse_conservative,,3,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-E-0005,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0058,MODERATE_UNMITIGATED,existing,PEAK_SUBSEQUENT_PERIOD_END_REVOLVER,2027-01-31,WARNING,283.9897862998153578570090639,maximum modeled month-end balance after opening,,,,,no,no,,,adverse_conservative,,5,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-E-0012,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0059,MODERATE_UNMITIGATED,existing,PEAK_REVOLVER_INCLUDING_OPENING,2027-01-31,WARNING,283.9897862998153578570090639,maximum of opening and subsequent month-end balances,,,,,no,no,,,adverse_conservative,,5,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-E-0012,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0060,MODERATE_UNMITIGATED,existing,FIRST_LIQUIDITY_WARNING,,PASS,,usable liquidity <50,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0061,MODERATE_UNMITIGATED,existing,FIRST_CASH_FLOOR_FAILURE,,PASS,,cash-floor shortfall >0,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0062,MODERATE_UNMITIGATED,existing,FIRST_ANALYTICAL_LEVERAGE_FAILURE,2026-10-31,BREACHED_ANALYTICAL_THRESHOLD,3.90179349826892650522744099,above analytical threshold,,,,,no,no,,,adverse_conservative,,4,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-E-0009,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0063,MODERATE_UNMITIGATED,existing,FIRST_ANALYTICAL_COVERAGE_FAILURE,,PASS,,below 3.00x,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0064,MODERATE_UNMITIGATED,existing,FIRST_NO_WAIVER_DRAWABILITY_SHUTOFF,,NOT_APPLICABLE,,new draws unavailable,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0065,MODERATE_UNMITIGATED,existing,FIRST_REVOLVER_CAPACITY_EXHAUSTION,,PASS,,nominal revolver availability <=0,,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0066,MODERATE_UNMITIGATED,existing,FIRST_MANDATORY_PAYMENT_FAILURE,,PASS,,"unpaid cash interest, scheduled term principal or retained mandatory obligation",,,,,,,,,adverse_conservative,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
