grid_point_id,grid_name,structure,x_dimension,x_value,x_units,y_dimension,y_value,y_units,minimum_usable_liquidity,opening_revolver_balance,peak_subsequent_period_end_revolver,peak_revolver_including_opening,peak_revolver_date,first_distress_date,maturity_gap,minimum_interest_coverage,no_waiver_shortfall,classification,review_status,source_ids,upstream_ids,limitations
P6G-0011,dso_vs_dio,proposed,dso_increase,5,days,dio_increase,20,days,134.7209255222829061914039287,29.89771875,159.0790744777170938085960713,159.0790744777170938085960713,2030-02-28,2026-10-31,478.7203307380329853830339509,4.575434666752874217550315943,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0012,dso_vs_dio,proposed,dso_increase,5,days,dio_increase,30,days,87.2008294657789185029648131,29.89771875,206.5991705342210814970351869,206.5991705342210814970351869,2030-02-28,2026-10-31,529.1893439753766122283664039,4.357577878442933538427214833,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0013,dso_vs_dio,proposed,dso_increase,10,days,dio_increase,10,days,148.9893006094551876299419985,29.89771875,144.8106993905448123700580015,144.8106993905448123700580015,2029-02-28,2026-11-30,462.8201709264489310436629687,4.648586417278470387688062399,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0014,dso_vs_dio,proposed,dso_increase,10,days,dio_increase,20,days,102.1719390688638411193419485,29.89771875,191.6280609311361588806580515,191.6280609311361588806580515,2030-02-28,2026-10-31,513.2891841637925578889954219,4.42387884165271538549499337,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0015,dso_vs_dio,proposed,dso_increase,10,days,dio_increase,30,days,54.6518430123561794325442353,29.89771875,239.1481569876438205674557647,239.1481569876438205674557647,2030-02-28,2026-10-31,563.7581974011400867985095564,4.217754541999241408559553797,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0016,dso_vs_dio,proposed,dso_increase,15,days,dio_increase,10,days,117.1430486719487637357190844,29.89771875,176.6569513280512362642809156,176.6569513280512362642809156,2030-02-28,2026-10-31,497.3890243522085035496244397,4.492228527333396556686405244,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0017,dso_vs_dio,proposed,dso_increase,15,days,dio_increase,20,days,69.6229526154447760472799686,29.89771875,224.1770473845552239527200314,224.1770473845552239527200314,2030-02-28,2026-10-31,547.858037589552130394956893,4.281902008910428400294337138,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0018,dso_vs_dio,proposed,dso_increase,15,days,dio_increase,30,days,22.1028565589366110496365377,29.89771875,273.3270508269001938586628468,273.3270508269001938586628468,2031-01-31,2026-10-31,598.3270508269001938586628468,4.084572128023239068410518293,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0019,rate_vs_gross_margin,proposed,rate_increase,100,basis_points,gross_margin_decline,150,basis_points,128.4711831399971331668000954,29.89771875,179.660035955205277944003095,179.660035955205277944003095,2031-01-31,2026-11-30,504.660035955205277944003095,3.872123184361327154067135099,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0020,rate_vs_gross_margin,proposed,rate_increase,100,basis_points,gross_margin_decline,300,basis_points,0,29.89771875,293.8,293.8,2030-12-31,2026-10-31,618.8,3.26874428807436988992706706,18.66439516467984883367193508,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0021,rate_vs_gross_margin,proposed,rate_increase,100,basis_points,gross_margin_decline,450,basis_points,0,29.89771875,293.8,293.8,2029-04-30,2026-10-31,680.5896918011552902865495034,2.524358753296197603494979954,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0022,rate_vs_gross_margin,proposed,rate_increase,200,basis_points,gross_margin_decline,150,basis_points,91.4683081008850241148603886,29.89771875,217.3509796942105676434362069,217.3509796942105676434362069,2031-01-31,2026-11-30,542.3509796942105676434362069,3.402622983077024756014435474,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0023,rate_vs_gross_margin,proposed,rate_increase,200,basis_points,gross_margin_decline,300,basis_points,0,29.89771875,293.8,293.8,2030-02-28,2026-10-31,636.5857666020962722004400196,2.860398332400161191051188231,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0024,rate_vs_gross_margin,proposed,rate_increase,200,basis_points,gross_margin_decline,450,basis_points,0,29.89771875,293.8,293.8,2029-01-31,2026-10-31,695.2009660240409028249748937,2.186472706230416270200418567,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0025,rate_vs_gross_margin,proposed,rate_increase,300,basis_points,gross_margin_decline,150,basis_points,52.396374414150174455584446,29.89771875,257.1900429276618462857278275,257.1900429276618462857278275,2031-01-31,2026-10-31,582.1900429276618462857278275,3.031298103991150528288880398,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0026,rate_vs_gross_margin,proposed,rate_increase,300,basis_points,gross_margin_decline,300,basis_points,0,29.89771875,293.8,293.8,2029-11-30,2026-10-31,653.1329439789247738030233336,2.475242486993838146564500129,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0027,rate_vs_gross_margin,proposed,rate_increase,300,basis_points,gross_margin_decline,450,basis_points,0,29.89771875,293.8,293.8,2028-11-30,2026-10-31,715.4885276279633559496510984,1.915249794956476629008652185,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0028,volume_vs_gross_margin,existing,volume_decline,5,percent,gross_margin_decline,150,basis_points,258.7146003443542655149084737,207.39771875,210.0853996556457344850915263,210.0853996556457344850915263,2026-02-28,2026-11-30,524.1461388985394253223830311,4.352091794064748098114477168,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0029,volume_vs_gross_margin,existing,volume_decline,5,percent,gross_margin_decline,300,basis_points,228.9385268336611910034272667,207.39771875,239.8614731663388089965727333,239.8614731663388089965727333,2029-02-28,2026-10-31,606.7249960515359165816356985,3.675608439422283578369418024,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0030,volume_vs_gross_margin,existing,volume_decline,5,percent,gross_margin_decline,450,basis_points,151.3392708950164405965161311,207.39771875,317.4607291049835594034838689,317.4607291049835594034838689,2029-06-30,2026-10-31,692.0786977340311223821614668,2.920390927006291975158654841,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0031,volume_vs_gross_margin,existing,volume_decline,10,percent,gross_margin_decline,150,basis_points,258.8858024049441406774719865,207.39771875,209.9141975950558593225280135,209.9141975950558593225280135,2026-02-28,2026-10-31,529.1417353192214092835028142,4.146026598425996092477801817,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0032,volume_vs_gross_margin,existing,volume_decline,10,percent,gross_margin_decline,300,basis_points,230.8175595317690448542631799,207.39771875,237.9824404682309551457368201,237.9824404682309551457368201,2029-02-28,2026-10-31,607.3743368325865062659527096,3.504255506336759318507178807,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0033,volume_vs_gross_margin,existing,volume_decline,10,percent,gross_margin_decline,450,basis_points,155.8229002411800019005530956,207.39771875,313.2357384265293328138192266,313.2357384265293328138192266,2029-07-31,2026-10-31,688.2357384265293328138192266,2.79005981035203057337735446,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0034,volume_vs_gross_margin,existing,volume_decline,15,percent,gross_margin_decline,150,basis_points,259.0570044655340158400354993,207.39771875,209.7429955344659841599645007,209.7429955344659841599645007,2026-02-28,2026-10-31,534.1373317399033932446225976,3.937650252820405471648175243,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0035,volume_vs_gross_margin,existing,volume_decline,15,percent,gross_margin_decline,300,basis_points,232.6965922298768987050990932,207.39771875,236.1034077701231012949009068,236.1034077701231012949009068,2029-02-28,2026-10-31,608.0236776136358666207844628,3.330713634620575263949024152,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0036,volume_vs_gross_margin,existing,volume_decline,15,percent,gross_margin_decline,450,basis_points,160.3065295873435632045900602,207.39771875,309.3927791190275432454769865,309.3927791190275432454769865,2029-07-31,2026-10-31,684.3927791190275432454769865,2.65750779002105270401346752,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0037,dso_vs_dio,existing,dso_increase,5,days,dio_increase,10,days,209.6483216118066890872524373,207.39771875,259.1516783881933109127475627,259.1516783881933109127475627,2026-05-31,,511.3631864449247585253025998,4.885265895887045525098646033,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0038,dso_vs_dio,existing,dso_increase,5,days,dio_increase,20,days,172.5443176034463178263696816,207.39771875,296.2556823965536821736303184,296.2556823965536821736303184,2026-05-31,2026-11-30,557.0969935977583460434079383,4.641023127793304433393016762,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0039,dso_vs_dio,existing,dso_increase,5,days,dio_increase,30,days,135.4403135950878455903024818,207.39771875,333.3596864049121544096975182,333.3596864049121544096975182,2026-05-31,2026-10-31,602.8308007505895953390277382,4.417028542907108211512440841,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0040,dso_vs_dio,existing,dso_increase,10,days,dio_increase,10,days,184.2050076564708747134461335,207.39771875,284.5949923435291252865538665,284.5949923435291252865538665,2026-05-31,2026-11-30,542.688645668395521269078685,4.716304411704927595046984184,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0041,dso_vs_dio,existing,dso_increase,10,days,dio_increase,20,days,147.1010036481124024773789337,207.39771875,321.6989963518875975226210663,321.6989963518875975226210663,2026-05-31,2026-10-31,588.4224528212267705646984855,4.485165085778704267274915199,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0042,dso_vs_dio,existing,dso_increase,10,days,dio_increase,30,days,109.99699963975106709553973,207.39771875,358.80300036024893290446027,358.80300036024893290446027,2026-05-31,2026-10-31,634.1562599740615451811927855,4.273736772183065064564622955,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0043,dso_vs_dio,existing,dso_increase,15,days,dio_increase,10,days,158.7616937011369593644553857,207.39771875,310.0383062988630406355446143,310.0383062988630406355446143,2026-05-31,2026-10-31,574.0141048918639457903692318,4.555436695915458867724192332,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0044,dso_vs_dio,existing,dso_increase,15,days,dio_increase,20,days,121.6576896927784871283881857,207.39771875,347.1423103072215128716118143,347.1423103072215128716118143,2026-05-31,2026-10-31,619.7479120446951950859890323,4.339435178441910870613171285,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0045,dso_vs_dio,existing,dso_increase,15,days,dio_increase,30,days,84.5536856844167583444083429,207.39771875,384.2463143155832416555916571,384.2463143155832416555916571,2026-05-31,2026-10-31,665.4817191975304540888502545,4.137052722920117364087095338,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0046,rate_vs_gross_margin,existing,rate_increase,100,basis_points,gross_margin_decline,150,basis_points,257.9821888354358151902719029,207.39771875,210.8178111645641848097280971,210.8178111645641848097280971,2026-02-28,2026-11-30,543.3997209956836182382810392,3.933640407047829408611498139,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0047,rate_vs_gross_margin,existing,rate_increase,100,basis_points,gross_margin_decline,300,basis_points,204.5555666061991034943997888,207.39771875,264.2444333938008965056002112,264.2444333938008965056002112,2029-02-28,2026-10-31,631.9227747903912767687397067,3.319799218375530898800854079,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0048,rate_vs_gross_margin,existing,rate_increase,100,basis_points,gross_margin_decline,450,basis_points,120.1167017727669406479157067,207.39771875,348.6832982272330593520842933,348.6832982272330593520842933,2029-06-30,2026-10-31,723.4146182785194602327879478,2.563654899096894666504546619,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0049,rate_vs_gross_margin,existing,rate_increase,200,basis_points,gross_margin_decline,150,basis_points,252.5074406087695349602928412,207.39771875,216.2925593912304650397071588,216.2925593912304650397071588,2027-02-28,2026-11-30,568.579322839868112426170196,3.456674927040608520319929475,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0050,rate_vs_gross_margin,existing,rate_increase,200,basis_points,gross_margin_decline,300,basis_points,181.2624489599105772805029127,207.39771875,287.5375510400894227194970873,287.5375510400894227194970873,2029-03-31,2026-10-31,658.7390151404201667829817597,2.908331413692444863762464837,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0051,rate_vs_gross_margin,existing,rate_increase,200,basis_points,gross_margin_decline,450,basis_points,92.4211672969411427078391192,207.39771875,376.9163855846687297761884761,376.9163855846687297761884761,2029-07-31,2026-10-31,751.9163855846687297761884761,2.194260401536283980479055368,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0052,rate_vs_gross_margin,existing,rate_increase,300,basis_points,gross_margin_decline,150,basis_points,235.6275047448087248492184542,207.39771875,233.1724952551912751507815458,233.1724952551912751507815458,2029-02-28,2026-11-30,594.7237154247873624582566926,3.079445861568174915200840632,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0053,rate_vs_gross_margin,existing,rate_increase,300,basis_points,gross_margin_decline,300,basis_points,154.2781702981994581481918079,207.39771875,314.5218297018005418518081921,314.5218297018005418518081921,2029-06-30,2026-10-31,686.559785994310857550903255,2.532787165198920407219190595,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0054,rate_vs_gross_margin,existing,rate_increase,300,basis_points,gross_margin_decline,450,basis_points,63.7353001851313682537898247,207.39771875,406.4634336199128412891996947,406.4634336199128412891996947,2029-07-31,2026-10-31,781.4634336199128412891996947,1.904091300122819307669059874,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0055,amortization_vs_operating_stress,proposed,annual_amortization,5,percent,operating_stress,1,ordinal_base_1_moderate_2_severe_3,270.2589949494620632584278036,29.89771875,23.54100505053793674157219635,29.89771875,OPENING_POSITION,,350.2855351863197552713999928,5.247927605687555147590871658,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0056,amortization_vs_operating_stress,proposed,annual_amortization,5,percent,operating_stress,2,ordinal_base_1_moderate_2_severe_3,179.0238216530138919710110457,29.89771875,114.7761783469861080289889543,114.7761783469861080289889543,2027-01-31,2026-10-31,432.110823823170741685362735,3.141784386084547185083519967,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0057,amortization_vs_operating_stress,proposed,annual_amortization,5,percent,operating_stress,3,ordinal_base_1_moderate_2_severe_3,0,29.89771875,293.8,293.8,2027-11-30,2026-10-31,645.0337977688998875669007651,1.73183694327463423211700877,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0058,amortization_vs_operating_stress,proposed,annual_amortization,10,percent,operating_stress,1,ordinal_base_1_moderate_2_severe_3,253.8458349441112245272416091,29.89771875,39.95416505588877547275839092,39.95416505588877547275839092,2028-01-31,,340.9478312215931607465924833,5.2562244250611265044967035,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0059,amortization_vs_operating_stress,proposed,annual_amortization,10,percent,operating_stress,2,ordinal_base_1_moderate_2_severe_3,146.52382165301649088122847,29.89771875,147.27617834698350911877153,147.27617834698350911877153,2027-01-31,2026-10-31,429.4873934816684656788537555,3.141784386084695075138715338,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
