reverse_stress_id,structure,test_name,shock_dimension,lower_bound,upper_bound,result_value,units,search_tolerance,search_iterations,threshold,threshold_status,first_failure_date,resulting_metric,opening_revolver_balance,peak_subsequent_period_end_revolver,peak_revolver_including_opening,peak_revolver_date,classification,review_status,source_ids,upstream_ids,limitations
P6RS-011,proposed,combined operating scale to first no-waiver liquidity failure,severe_combined_scale,0,3,0.13,multiple_of_severe_case,0.01,9,cash-floor failure after proposed analytical shutoff,approximated_first_failure,2027-01-31,25,29.89771875,54.74861599093712040314254113,54.74861599093712040314254113,2026-12-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-012,proposed,annual CFADS increment to eliminate unsupported maturity gap,sustainable_annual_cfads_increment,0,300,63,USD_millions_per_year,1,9,unsupported maturity gap <= $0,approximated_first_failure,2031-01-31,0,29.89771875,30.65334328723337405186026265,30.65334328723337405186026265,2026-02-28,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-013,existing,volume decline to first $50m liquidity warning,volume_decline,0,60,,percent,0.01,0,usable liquidity < $50m,not_reached_within_bounds,,260.8293571391403368336486557,207.39771875,207.9706428608596631663513443,207.9706428608596631663513443,2026-02-28,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-014,existing,gross-margin decline to first $50m liquidity warning,gross_margin_decline,0,1500,620,basis_points,1,11,usable liquidity < $50m,approximated_first_failure,2029-06-30,49.6790916935146103299795663,207.39771875,422.7471257153901765046304049,422.7471257153901765046304049,2029-07-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-015,existing,combined volume-margin scale to commitment exhaustion,severe_combined_scale,0,3,0.89,multiple_of_severe_case,0.01,9,nominal revolver availability <= 0,approximated_first_failure,2029-05-31,0,207.39771875,468.8,468.8,2029-05-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-016,existing,DSO increase to commitment exhaustion,dso_increase,0,150,53.6,days,0.1,11,nominal revolver availability <= 0,approximated_first_failure,2026-05-31,0,207.39771875,468.8,468.8,2026-05-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-017,existing,DIO increase to commitment exhaustion,dio_increase,0,200,73.5,days,0.1,11,nominal revolver availability <= 0,approximated_first_failure,2026-05-31,0,207.39771875,468.8,468.8,2026-05-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-018,existing,rate increase to cash-interest coverage below 3.00x,rate_increase,0,1000,474,basis_points,1,10,EBITDA/cash interest < 3.00x,approximated_first_failure,2027-01-31,2.998606595965589417759473691,207.39771875,212.3409155691354353924545035,212.3409155691354353924545035,2026-02-28,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-019,existing,gross-margin decline to leverage above 3.25x,gross_margin_decline,0,1000,113,basis_points,1,10,analytical bank leverage > 3.25x before FY2028,approximated_first_failure,2026-12-31,3.255142266919631201071551617,207.39771875,210.1138223371188521871544222,210.1138223371188521871544222,2026-02-28,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-020,existing,gross-margin decline to leverage above 3.00x after FY2028,gross_margin_decline,0,1000,134,basis_points,1,10,analytical bank leverage > 3.00x beginning FY2028,approximated_first_failure,2027-12-31,3.003378963625558383447963789,207.39771875,210.1948592820229577728439616,210.1948592820229577728439616,2026-02-28,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-021,existing,combined operating scale to scheduled debt-service failure,severe_combined_scale,0,5,0.96,multiple_of_severe_case,0.01,9,"interest, scheduled principal or retained-obligation shortfall > 0",approximated_first_failure,2029-05-31,1.071481576670016951819505671,207.39771875,468.8,468.8,2028-12-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-022,existing,combined operating scale to eliminate monthly cash available for distributions,severe_combined_scale,0,5,0.96,multiple_of_severe_case,0.01,9,no planned dividend or repurchase can be paid in a month,approximated_first_failure,2029-05-31,0,207.39771875,468.8,468.8,2028-12-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-023,existing,combined operating scale to first no-waiver liquidity failure,severe_combined_scale,0,3,,multiple_of_severe_case,0.01,0,cash-floor failure after proposed analytical shutoff,not_applicable_existing_analytical_warning_only,,,,,,,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-024,existing,annual CFADS increment to eliminate unsupported maturity gap,sustainable_annual_cfads_increment,0,300,115,USD_millions_per_year,1,9,unsupported maturity gap <= $0,approximated_first_failure,2029-07-31,0,207.39771875,206.7948744788706894743071682,207.39771875,OPENING_POSITION,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
