record_id,category,metric_name,fiscal_year,period_start,period_end,period_type,original_value,original_units,normalized_value,normalized_units,source_id,source_reference,classification,notes
S2R-0014,balance_sheet,total_liabilities,FY2025,,2025-10-31,instant,1242054,USD_thousands,1242.054,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Balance Sheets, p. 42",reported_supplemental_extract,
S2R-0015,balance_sheet,shareholders_equity,FY2025,,2025-10-31,instant,726179,USD_thousands,726.179,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Balance Sheets, p. 42",reported_supplemental_extract,
S2R-0016,cash_flow_bridge,cash_flow_depreciation_and_amortization,FY2021,2020-11-01,2021-10-31,duration,42732,USD_thousands,42.732,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0017,cash_flow_bridge,gain_loss_on_disposition_noncash,FY2021,2020-11-01,2021-10-31,duration,3039,USD_thousands,3.039,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0018,cash_flow_bridge,stock_based_compensation,FY2021,2020-11-01,2021-10-31,duration,1970,USD_thousands,1.97,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0019,cash_flow_bridge,deferred_income_taxes,FY2021,2020-11-01,2021-10-31,duration,1785,USD_thousands,1.785,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0020,cash_flow_bridge,deferred_loan_costs_charge,FY2021,2020-11-01,2021-10-31,duration,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0021,cash_flow_bridge,goodwill_impairment_noncash,FY2021,2020-11-01,2021-10-31,duration,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0022,cash_flow_bridge,fx_forward_gain_noncash,FY2021,2020-11-01,2021-10-31,duration,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0023,cash_flow_bridge,other_noncash_operating,FY2021,2020-11-01,2021-10-31,duration,2126,USD_thousands,2.126,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0024,cash_flow_bridge,change_accounts_receivable,FY2021,2020-11-01,2021-10-31,duration,-19017,USD_thousands,-19.017,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0025,cash_flow_bridge,change_inventory,FY2021,2020-11-01,2021-10-31,duration,-31382,USD_thousands,-31.382,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0026,cash_flow_bridge,change_other_current_assets,FY2021,2020-11-01,2021-10-31,duration,-1817,USD_thousands,-1.817,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0027,cash_flow_bridge,change_accounts_payable,FY2021,2020-11-01,2021-10-31,duration,7097,USD_thousands,7.097,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0028,cash_flow_bridge,change_accrued_liabilities,FY2021,2020-11-01,2021-10-31,duration,16212,USD_thousands,16.212,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0029,cash_flow_bridge,change_income_taxes_payable,FY2021,2020-11-01,2021-10-31,duration,-378,USD_thousands,-0.378,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0030,cash_flow_bridge,change_deferred_pension,FY2021,2020-11-01,2021-10-31,duration,-708,USD_thousands,-0.708,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0031,cash_flow_bridge,change_other_long_term_liabilities,FY2021,2020-11-01,2021-10-31,duration,477,USD_thousands,0.477,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0032,cash_flow_bridge,other_operating_changes,FY2021,2020-11-01,2021-10-31,duration,-528,USD_thousands,-0.528,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0033,cash_flow_bridge,cash_flow_depreciation_and_amortization,FY2022,2021-11-01,2022-10-31,duration,40109,USD_thousands,40.109,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0034,cash_flow_bridge,gain_loss_on_disposition_noncash,FY2022,2021-11-01,2022-10-31,duration,109,USD_thousands,0.109,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0035,cash_flow_bridge,stock_based_compensation,FY2022,2021-11-01,2022-10-31,duration,2291,USD_thousands,2.291,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0036,cash_flow_bridge,deferred_income_taxes,FY2022,2021-11-01,2022-10-31,duration,2097,USD_thousands,2.097,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0037,cash_flow_bridge,deferred_loan_costs_charge,FY2022,2021-11-01,2022-10-31,duration,0,USD_thousands,0,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0038,cash_flow_bridge,goodwill_impairment_noncash,FY2022,2021-11-01,2022-10-31,duration,0,USD_thousands,0,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0039,cash_flow_bridge,fx_forward_gain_noncash,FY2022,2021-11-01,2022-10-31,duration,0,USD_thousands,0,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0040,cash_flow_bridge,other_noncash_operating,FY2022,2021-11-01,2022-10-31,duration,1905,USD_thousands,1.905,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0041,cash_flow_bridge,change_accounts_receivable,FY2022,2021-11-01,2022-10-31,duration,6945,USD_thousands,6.945,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0042,cash_flow_bridge,change_inventory,FY2022,2021-11-01,2022-10-31,duration,-32035,USD_thousands,-32.035,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0043,cash_flow_bridge,change_other_current_assets,FY2022,2021-11-01,2022-10-31,duration,-970,USD_thousands,-0.97,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0044,cash_flow_bridge,change_accounts_payable,FY2022,2021-11-01,2022-10-31,duration,-3047,USD_thousands,-3.047,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0045,cash_flow_bridge,change_accrued_liabilities,FY2022,2021-11-01,2022-10-31,duration,-3159,USD_thousands,-3.159,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0046,cash_flow_bridge,change_income_taxes_payable,FY2022,2021-11-01,2022-10-31,duration,-5192,USD_thousands,-5.192,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0047,cash_flow_bridge,change_deferred_pension,FY2022,2021-11-01,2022-10-31,duration,77,USD_thousands,0.077,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0048,cash_flow_bridge,change_other_long_term_liabilities,FY2022,2021-11-01,2022-10-31,duration,305,USD_thousands,0.305,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0049,cash_flow_bridge,other_operating_changes,FY2022,2021-11-01,2022-10-31,duration,194,USD_thousands,0.194,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0050,cash_flow_bridge,cash_flow_depreciation_and_amortization,FY2023,2022-11-01,2023-10-31,duration,42866,USD_thousands,42.866,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0051,cash_flow_bridge,gain_loss_on_disposition_noncash,FY2023,2022-11-01,2023-10-31,duration,278,USD_thousands,0.278,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0052,cash_flow_bridge,stock_based_compensation,FY2023,2022-11-01,2023-10-31,duration,2521,USD_thousands,2.521,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0053,cash_flow_bridge,deferred_income_taxes,FY2023,2022-11-01,2023-10-31,duration,5147,USD_thousands,5.147,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0054,cash_flow_bridge,deferred_loan_costs_charge,FY2023,2022-11-01,2023-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0055,cash_flow_bridge,goodwill_impairment_noncash,FY2023,2022-11-01,2023-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0056,cash_flow_bridge,fx_forward_gain_noncash,FY2023,2022-11-01,2023-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0057,cash_flow_bridge,noncash_restructuring,FY2023,2022-11-01,2023-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0058,cash_flow_bridge,other_noncash_operating,FY2023,2022-11-01,2023-10-31,duration,1529,USD_thousands,1.529,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0059,cash_flow_bridge,change_accounts_receivable,FY2023,2022-11-01,2023-10-31,duration,6969,USD_thousands,6.969,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0060,cash_flow_bridge,change_inventory,FY2023,2022-11-01,2023-10-31,duration,30024,USD_thousands,30.024,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0061,cash_flow_bridge,change_other_current_assets,FY2023,2022-11-01,2023-10-31,duration,-1880,USD_thousands,-1.88,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0062,cash_flow_bridge,change_accounts_payable,FY2023,2022-11-01,2023-10-31,duration,-11611,USD_thousands,-11.611,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0063,cash_flow_bridge,change_accrued_liabilities,FY2023,2022-11-01,2023-10-31,duration,-4249,USD_thousands,-4.249,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0064,cash_flow_bridge,change_income_taxes_payable,FY2023,2022-11-01,2023-10-31,duration,-9009,USD_thousands,-9.009,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0065,cash_flow_bridge,change_other_long_term_liabilities,FY2023,2022-11-01,2023-10-31,duration,683,USD_thousands,0.683,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0066,cash_flow_bridge,other_operating_changes,FY2023,2022-11-01,2023-10-31,duration,1283,USD_thousands,1.283,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0067,cash_flow_bridge,cash_flow_depreciation_and_amortization,FY2024,2023-11-01,2024-10-31,duration,60328,USD_thousands,60.328,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0068,cash_flow_bridge,gain_loss_on_disposition_noncash,FY2024,2023-11-01,2024-10-31,duration,-5218,USD_thousands,-5.218,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0069,cash_flow_bridge,stock_based_compensation,FY2024,2023-11-01,2024-10-31,duration,2952,USD_thousands,2.952,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0070,cash_flow_bridge,deferred_income_taxes,FY2024,2023-11-01,2024-10-31,duration,-15336,USD_thousands,-15.336,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0071,cash_flow_bridge,deferred_loan_costs_charge,FY2024,2023-11-01,2024-10-31,duration,3469,USD_thousands,3.469,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0072,cash_flow_bridge,goodwill_impairment_noncash,FY2024,2023-11-01,2024-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0073,cash_flow_bridge,fx_forward_gain_noncash,FY2024,2023-11-01,2024-10-31,duration,-6512,USD_thousands,-6.512,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0074,cash_flow_bridge,noncash_restructuring,FY2024,2023-11-01,2024-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0075,cash_flow_bridge,other_noncash_operating,FY2024,2023-11-01,2024-10-31,duration,4495,USD_thousands,4.495,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0076,cash_flow_bridge,change_accounts_receivable,FY2024,2023-11-01,2024-10-31,duration,973,USD_thousands,0.973,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0077,cash_flow_bridge,change_inventory,FY2024,2023-11-01,2024-10-31,duration,33484,USD_thousands,33.484,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0078,cash_flow_bridge,change_other_current_assets,FY2024,2023-11-01,2024-10-31,duration,4297,USD_thousands,4.297,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0079,cash_flow_bridge,change_accounts_payable,FY2024,2023-11-01,2024-10-31,duration,-35824,USD_thousands,-35.824,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0080,cash_flow_bridge,change_accrued_liabilities,FY2024,2023-11-01,2024-10-31,duration,6250,USD_thousands,6.25,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0081,cash_flow_bridge,change_income_taxes_payable,FY2024,2023-11-01,2024-10-31,duration,9139,USD_thousands,9.139,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0082,cash_flow_bridge,change_other_long_term_liabilities,FY2024,2023-11-01,2024-10-31,duration,-7155,USD_thousands,-7.155,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0083,cash_flow_bridge,other_operating_changes,FY2024,2023-11-01,2024-10-31,duration,411,USD_thousands,0.411,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0084,cash_flow_bridge,cash_flow_depreciation_and_amortization,FY2025,2024-11-01,2025-10-31,duration,103444,USD_thousands,103.444,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0085,cash_flow_bridge,gain_loss_on_disposition_noncash,FY2025,2024-11-01,2025-10-31,duration,613,USD_thousands,0.613,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0086,cash_flow_bridge,stock_based_compensation,FY2025,2024-11-01,2025-10-31,duration,3685,USD_thousands,3.685,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0087,cash_flow_bridge,deferred_income_taxes,FY2025,2024-11-01,2025-10-31,duration,-18535,USD_thousands,-18.535,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0088,cash_flow_bridge,deferred_loan_costs_charge,FY2025,2024-11-01,2025-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0089,cash_flow_bridge,goodwill_impairment_noncash,FY2025,2024-11-01,2025-10-31,duration,302284,USD_thousands,302.284,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0090,cash_flow_bridge,fx_forward_gain_noncash,FY2025,2024-11-01,2025-10-31,duration,0,USD_thousands,0,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0091,cash_flow_bridge,noncash_restructuring,FY2025,2024-11-01,2025-10-31,duration,4561,USD_thousands,4.561,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0092,cash_flow_bridge,other_noncash_operating,FY2025,2024-11-01,2025-10-31,duration,7114,USD_thousands,7.114,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0093,cash_flow_bridge,change_accounts_receivable,FY2025,2024-11-01,2025-10-31,duration,-6878,USD_thousands,-6.878,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0094,cash_flow_bridge,change_inventory,FY2025,2024-11-01,2025-10-31,duration,23553,USD_thousands,23.553,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0095,cash_flow_bridge,change_other_current_assets,FY2025,2024-11-01,2025-10-31,duration,-3653,USD_thousands,-3.653,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0096,cash_flow_bridge,change_accounts_payable,FY2025,2024-11-01,2025-10-31,duration,3313,USD_thousands,3.313,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0097,cash_flow_bridge,change_accrued_liabilities,FY2025,2024-11-01,2025-10-31,duration,-9657,USD_thousands,-9.657,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0098,cash_flow_bridge,change_income_taxes_payable,FY2025,2024-11-01,2025-10-31,duration,11108,USD_thousands,11.108,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0099,cash_flow_bridge,change_other_long_term_liabilities,FY2025,2024-11-01,2025-10-31,duration,-4693,USD_thousands,-4.693,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0100,cash_flow_bridge,other_operating_changes,FY2025,2024-11-01,2025-10-31,duration,-556,USD_thousands,-0.556,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Statements of Cash Flow, p. 46",reported_supplemental_extract,
S2R-0101,cash_flow_summary,investing_cash_flow_total,FY2021,2020-11-01,2021-10-31,duration,-18708,USD_thousands,-18.708,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0102,cash_flow_summary,credit_facility_borrowings,FY2021,2020-11-01,2021-10-31,duration,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0103,cash_flow_summary,credit_facility_repayments,FY2021,2020-11-01,2021-10-31,duration,-65000,USD_thousands,-65,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0104,cash_flow_summary,debt_issuance_costs,FY2021,2020-11-01,2021-10-31,duration,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0105,cash_flow_summary,other_long_term_debt_repayments,FY2021,2020-11-01,2021-10-31,duration,-680,USD_thousands,-0.68,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0106,cash_flow_summary,common_stock_issuance,FY2021,2020-11-01,2021-10-31,duration,16272,USD_thousands,16.272,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0107,cash_flow_summary,hedge_contract_proceeds,FY2021,2020-11-01,2021-10-31,duration,0,USD_thousands,0,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0108,cash_flow_summary,payroll_tax_stock_vesting,FY2021,2020-11-01,2021-10-31,duration,-492,USD_thousands,-0.492,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0109,cash_flow_summary,financing_cash_flow_total,FY2021,2020-11-01,2021-10-31,duration,-71861,USD_thousands,-71.861,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0110,cash_flow_summary,fx_effect_on_cash,FY2021,2020-11-01,2021-10-31,duration,421,USD_thousands,0.421,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0111,cash_flow_summary,net_change_cash_reported,FY2021,2020-11-01,2021-10-31,duration,-11560,USD_thousands,-11.56,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0112,cash_flow_summary,cash_begin_total,FY2021,2020-11-01,2021-10-31,duration,51621,USD_thousands,51.621,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0113,cash_flow_summary,cash_end_total,FY2021,2020-11-01,2021-10-31,duration,40061,USD_thousands,40.061,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Statements of Cash Flow, p. 39",reported_supplemental_extract,
S2R-0114,cash_flow_summary,investing_cash_flow_total,FY2022,2021-11-01,2022-10-31,duration,-32962,USD_thousands,-32.962,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
S2R-0115,cash_flow_summary,credit_facility_borrowings,FY2022,2021-11-01,2022-10-31,duration,70500,USD_thousands,70.5,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Statements of Cash Flow, p. 44",reported_supplemental_extract,
