record_id,output_file,layer,metric_or_item,value,units,source_ids,document_titles,source_urls,publication_dates,source_reference,classification,owner_review_status,notes
PT-008,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,term_funding_formula,Supported closing uses less approved cash contribution; capped at $650m,formula,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-009,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,base_annual_amortization,10,percent_of_original_principal,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-010,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,annual_amortization_sensitivities,5;10;15,percent_of_original_principal,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-011,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,term_and_drawn_revolver_margin,Term SOFR + 250-350 bps,basis_points,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed sensitivity for Phase 5 testing only; no spread is a lender quote, commitment, borrower-approved final term, or closing fact."
PT-012,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,unused_commitment_fee,pending_information,percent,,,,,,pending_information,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-013,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,letter_of_credit_fee,pending_information,percent,,,,,,pending_information,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-014,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,term_and_revolver_maturity,2031-01-31,date,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-015,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,collateral,"Eligible domestic obligor personal property, subject to legal confirmation and permitted liens",text,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed for Phase 5 testing only and subject to post-Tyman joinders, exclusions, perfection, control, foreign-equity limits, permitted liens and legal opinions; no confirmed legal coverage is asserted."
PT-016,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,guarantors,"Eligible material domestic subsidiaries, with exclusions explicit",text,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed for Phase 5 testing only and subject to post-Tyman joinders, exclusions, perfection, control, foreign-equity limits, permitted liens and legal opinions; no confirmed legal coverage is asserted."
PT-017,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,excess_cash_flow_sweep,50,percent_of_defined_excess_cash_flow,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-018,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,net_leverage_covenant,3.25x maximum; initially test step to 3.00x from FY2028,turns,,,,,,hypothetical_initial_analytical_test_threshold,owner_reviewed_initial_analytical_threshold,Initial analytical test threshold for Phase 5 only; not an approved final covenant or official compliance calculation.
PT-019,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,cash_interest_coverage_covenant,3.00x minimum,turns,,,,,,hypothetical_initial_analytical_test_threshold,owner_reviewed_initial_analytical_threshold,Initial analytical test threshold for Phase 5 only; not an approved final covenant or official compliance calculation.
PT-020,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,usable_liquidity_covenant,50,USD_millions,,,,,,hypothetical_initial_analytical_test_threshold,owner_reviewed_initial_analytical_threshold,Initial analytical test threshold for Phase 5 only; not an approved final covenant or official compliance calculation.
PT-021,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,operating_cash_floor,25,USD_millions,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-022,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,restricted_payments,No debt-funded buybacks; bounded distributions subject to pro forma tests,text,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-023,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,additional_debt_and_acquisitions,Consent requirements or documented baskets,text,,,,,,hypothetical_proposed_term,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-024,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,reporting_package,Quarterly financials/certificates; monthly liquidity and working-capital reporting; annual audited statements,text,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-025,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,voluntary_prepayment,pending_information,text,,,,,,pending_information,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-026,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,mandatory_prepayment_other,pending_information,text,,,,,,pending_information,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-027,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,default_rate_increment,pending_information,basis_points,,,,,,pending_information,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-028,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,lc_sublimit_and_transition,pending_information,USD_millions,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,,pending_information,pending_owner_approval,No lender commitment or borrower-approved final term sheet supports this proposal.
EX-TERM-A,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Existing Term Loan A,468.75,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,"SRC-003 sections 2.3-2.4, 2.14, 7.1-7.2, 8.11; SRC-001 Note 9",partially_determinable,not_applicable_existing_fact,Principal is gross amount owed. The $11.040m unamortized financing-cost balance is not allocated by instrument.
EX-REVOLVER,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Existing Revolving Credit Facility,172.5,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,"SRC-003 sections 2.5, 2.8-2.10, 2.15-2.16 and Schedule 1; SRC-001 Note 9",partially_determinable,not_applicable_existing_fact,"$100m alternative-currency, $30m LC, and $15m swingline limits are sublimits, not incremental commitments."
EX-LC,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Outstanding letters of credit,0,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-003 sections 2.15 and 2.9; SRC-001 Note 9,reported_exposure_transition_pending,pending_owner_approval,The $6.2m is counted once as contingent exposure.
EX-FIN-LEASE,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Finance lease obligations,60.733,text,SRC-001,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,SRC-001 Note 6 and Note 9,reported_aggregate_private_instruments,pending_owner_approval,$4.477m current plus $56.256m noncurrent lease liabilities. The combined $62.619m finance leases and other debt includes $1.886m residual other debt.
EX-OTHER-DEBT,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Other debt residual,1.886,text,SRC-001;SRC-002,Quanex FY2025 Form 10-K;Quanex Q4 and FY2025 results release,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000117184325007891/exh_991.htm,2025-12-12;2025-12-11,Calculated: $62.619m combined less $60.733m finance lease liabilities from SRC-001 Notes 6 and 9,calculated_residual_components_not_public,pending_owner_approval,Residual is not assumed refinanced and must not be duplicated with finance leases.
EX-OPERATING-LEASE,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Operating lease liabilities,not_applicable,text,SRC-001,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,SRC-001 Note 6,reported_aggregate_private_instruments,pending_owner_approval,$15.446m current plus $145.459m noncurrent; kept separate from finance leases and funded debt.
EX-DEFERRED-FEES,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Unamortized deferred financing fees,0,text,SRC-001,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,SRC-001 Note 9,reported_aggregate,pending_owner_approval,Contra-debt reduces the $703.869m gross funded principal to $692.829m carrying debt.
EX-ACCRUED-INTEREST,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Accrued interest and agent payoff items,0,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-001 Note 9; SRC-003 sections 2.3-2.4 and 2.8,pending_information,pending_owner_approval,Sensitivity is not an actual January accrued-interest balance.
NEW-TERM,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Proposed five-year term loan,varies_by_closing_case,text,,,,,Case architecture; no executed term sheet,hypothetical,owner_reviewed_for_phase5_testing,"Owner-reviewed only as a Phase 5 test structure; no commitment exists, and size remains subject to final capacity, payoff and funds flow."
NEW-REV,data/phase4/processed/DEBT_INSTRUMENT_REGISTER.csv,debt_instruments,Proposed five-year revolving facility,varies_by_closing_case,text,,,,,Case architecture; no executed term sheet,hypothetical,owner_reviewed_for_phase5_testing,Owner-reviewed only as a Phase 5 test structure; nominal opening availability is not proof of seasonal sufficiency.
LS-001,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,primary_borrower,supported,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-003 preamble and definition of Borrower,supported,not_applicable_existing_fact,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-002,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,known_2024_loan_parties,partial_public_implementation,text,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,SRC-003 Amendment No. 1 signature pages,partial_public_implementation,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-003,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,guarantor_requirement,contract_supported_private_implementation_pending,text,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,SRC-003 definitions of Guarantor/Excluded Subsidiary and section 5.11,contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-004,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,foreign_subsidiaries,supported_limitation,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-003 definition of Excluded Subsidiary; SRC-001 Item 1 and liquidity,supported_limitation,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-005,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,immaterial_domestic_subsidiaries,contract_supported_private_implementation_pending,text,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,SRC-003 definition of Immaterial Domestic Subsidiary,contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-006,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,security_grant,partially_supported,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-003 sections 5.11-5.12; SRC-001 Note 9/MD&A,partially_supported,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-007,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,real_property,reported_exclusion,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-001 Note 9; SRC-003 definition of Excluded Assets,reported_exclusion,not_applicable_existing_fact,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-008,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,equity_pledges,contract_supported_private_implementation_pending,text,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,SRC-003 section 5.11,contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-009,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,deposit_accounts_and_cash_control,pending_information,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-003 Guaranty and Security Agreement references; SRC-001 liquidity,pending_information,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-010,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,permitted_liens_and_priority,contract_supported_private_implementation_pending,text,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,"SRC-003 sections 5.12, 6.2 and 14.1",contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-011,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,post_tyman_joinders,pending_information,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-003 Permitted Acquisition and section 5.11; SRC-001 Note 9,pending_information,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-012,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,foreign_cash,reported_cash_access_pending,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-001 liquidity; SRC-003 Consolidated Funded Indebtedness definition,reported_cash_access_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-013,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,structural_subordination,analyst_interpretation,text,SRC-001;SRC-003,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2025-12-12;2024-06-13,SRC-003 Excluded Subsidiary definition; SRC-001 geographic disclosures,analyst_interpretation,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-014,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,lien_release_at_refinancing,essential_closing_diligence,text,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,"SRC-003 sections 2.9, 14.11 and Amendment No. 1 reaffirmation",essential_closing_diligence,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-015,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,legal_structure,proposed_package,hypothetical_pending_owner_review,text,,,,,Case architecture,hypothetical_pending_owner_review,owner_reviewed_for_phase5_testing,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
CB-0001,data/phase4/processed/CLOSING_BRIDGE.csv,closing_bridge,Existing Term A principal at October 31,468.75,USD_millions,SRC-001;SRC-002,Quanex FY2025 Form 10-K;Quanex Q4 and FY2025 results release,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000117184325007891/exh_991.htm,2025-12-12;2025-12-11,SRC-001 Note 9; SRC-002 net-debt table,reported_fact,owner_reviewed_for_phase5_testing,
CB-0002,data/phase4/processed/CLOSING_BRIDGE.csv,closing_bridge,Pre-closing scheduled Term A amortization,462.5,USD_millions,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,SRC-003 section 2.3,timing_assumption,owner_reviewed_for_phase5_testing,Timing: before_closing
CB-0003,data/phase4/processed/CLOSING_BRIDGE.csv,closing_bridge,Scheduled amortization component embedded in payoff,0,USD_millions,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,SRC-003 section 2.3,timing_assumption,owner_reviewed_for_phase5_testing,Prevents double counting when the scheduled date coincides with closing.
CB-0004,data/phase4/processed/CLOSING_BRIDGE.csv,closing_bridge,Term A payoff,462.5,USD_millions,SRC-001;SRC-003;SRC-021,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement;Quanex FY2025 Q1 results release,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm;https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2025-results,2025-12-12;2024-06-13;2025-03-10,Closing case input,calculated_from_fact_and_assumption,owner_reviewed_for_phase5_testing,
CB-0005,data/phase4/processed/CLOSING_BRIDGE.csv,closing_bridge,Existing revolver borrowings,172.5,USD_millions,SRC-001;SRC-002;SRC-021,Quanex FY2025 Form 10-K;Quanex Q4 and FY2025 results release;Quanex FY2025 Q1 results release,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000117184325007891/exh_991.htm;https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2025-results,2025-12-12;2025-12-11;2025-03-10,SRC-001 Note 9; SRC-021 FY2025 Q1 cash evidence,calculated_from_fact_and_assumption,owner_reviewed_for_phase5_testing,"Minimum funded-payoff case: scheduled Term A installment precedes close, no seasonal revolver increase, no accrued-interest or hedge use, and $5m total fee sensitivity."
CB-0006,data/phase4/processed/CLOSING_BRIDGE.csv,closing_bridge,Other bank-debt movement,0,USD_millions,SRC-001,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,SRC-001 Note 9,assumption,owner_reviewed_for_phase5_testing,
