assumption_id,category,assumption_name,forecast_period,value,units,classification,review_status,source_ids,upstream_ids,calculation_or_basis,limitation_or_rationale
P5A-011,cash_flow,capital_expenditures_to_revenue,FY2026-FY2031,3.5,percent,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-007;GAP-010,Midpoint of the owner-reviewed 3%-4% total-capex range.,"Maintenance, integration and expansion categories remain not determinable."
P5A-012,cash_flow,cash_tax_rate_proxy,FY2026-FY2031,25,percent_of_positive_operating_income,new_modeling_assumption,owner_reviewed_for_phase5_testing,,GAP-009,Applied to positive operating income before financing.,A legal-entity cash-tax forecast and interest tax-shield schedule are unavailable.
P5A-013,cash_flow,known_restructuring_cash_payment,FY2026_Q2,0.7,USD_millions,inherited_minimum_with_timing_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-009;GAP-011,"Known FY2025 year-end accrual, modeled as paid in FY2026 Q2.",Amount is inherited; payment quarter is newly proposed and future program cost is unknown.
P5A-014,distributions,annual_dividends,FY2026-FY2031,14.5,USD_millions,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,SRC-001;SRC-002,ASM-011,Midpoint of the owner-reviewed $14m-$15m annual reference.,Board actions are not committed; modeled evenly by month.
P5A-015,distributions,annual_share_repurchases,FY2026-FY2031,5,USD_millions,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,SRC-001;SRC-002,ASM-010,Midpoint of the owner-reviewed $0-$10m range.,Not a commitment; reductions remain Phase 6 mitigations.
P5A-016,liquidity,opening_operating_cash,2026-01-31,25,USD_millions,inherited_testing_assumption,inherited_owner_reviewed,,P5-001;P5-015,Phase 4 owner-reviewed operating cash floor retained at closing.,Book cash is not treated as accessible closing or debt-repayment cash.
P5A-017,liquidity,accessible_cash_above_floor,2026-01-31,0,USD_millions,conservative_model_boundary,owner_reviewed_for_phase5_testing,SRC-001;SRC-003,P5-002;GAP-004,No cash beyond the $25m operating floor is credited at closing.,"This is a conservative model boundary, not evidence that accessible cash is zero."
P5A-018,pricing,implied_constant_base_rate,2026-02-01_to_2031-01-31,3.57,percent,new_modeling_assumption,owner_reviewed_for_phase5_testing,SRC-001,P5-009;P5-010,October reported 6.57% rate less proposed 300 bps midpoint spread.,Not a quoted SOFR rate or forward curve; the base-rate path remains owner review.
P5A-019,pricing,proposed_reference_spread,2026-02-01_to_2031-01-31,300,basis_points,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,,P5-010;PT-011,Midpoint of the owner-reviewed 250-350 bps testing range.,"Not a market quote, lender commitment or approved term."
P5A-020,pricing,existing_rate_neutral_comparison_case,2026-02-01_to_2029-08-01,6.57,percent,rate_neutral_comparison_assumption,owner_reviewed_for_phase5_testing,SRC-001;SRC-003,DT-026;DT-027;DT-028;DT-029;DT-030;GAP-009,Held equal to the proposed 3.57% base-rate proxy plus 300 bps solely for a rate-neutral comparison.,Not an actual or representative January 2026 existing-facility rate. The applicable leverage tier is not determinable.
P5A-021,debt,proposed_annual_term_amortization,2026-04-30_to_2031-01-31,10,percent_of_original_principal,inherited_testing_assumption,inherited_owner_reviewed,,P5-011;PT-009,Paid quarterly at 2.5% of original principal.,Five-percent and 15% financing sensitivities remain separate.
P5A-022,debt,annual_excess_cash_flow_sweep,FY2026-FY2030,50,percent_of_cash_above_floor,inherited_rate_new_timing_definition,owner_reviewed_for_phase5_testing,,P5-014;PT-017,"After revolver repayment, 50% of cash above the floor is swept at October 31 subject to the Phase 4 $50m analytical liquidity threshold.",The rate is owner-reviewed for testing; timing and simplified public definition require review. The $50m threshold is not a final covenant.
P5A-023,timing,monthly_operating_flow_allocation,first_24_months,equal_one_third_within_each_fiscal_quarter,text,new_modeling_assumption,owner_reviewed_for_phase5_testing,,P5-023,Quarterly operating flows are allocated equally across each quarter's three months.,No public monthly seasonality is available; Phase 6 must test more adverse timing.
P5A-024,timing,cash_interest_timing,all_modeled_months,average_beginning_and_ending_debt,text,new_modeling_assumption,owner_reviewed_for_phase5_testing,,P5-013;GAP-009,Monthly interest uses average term after scheduled principal and iterated average revolver.,Sweeps occur at month end and reduce interest beginning the following month.
P5A-025,debt,proposed_opening_term_principal,2026-01-31,650,USD_millions,inherited_reference_case,inherited_owner_reviewed,,P5-003;CC-REF,Exact Phase 4 reference closing bridge.,Actual payoff and final funding remain pending.
P5A-026,debt,proposed_opening_revolver,2026-01-31,29.89771875,USD_millions,inherited_reference_case,inherited_owner_reviewed,,P5-004;CC-REF,Exact Phase 4 reference closing bridge.,Not an actual January 2026 balance.
P5A-027,debt,existing_opening_term_principal,2026-02-01,462.5,USD_millions,calculated_reference_timing,calculated_from_approved_inputs,SRC-001;SRC-003,CC-REF;existing debt schedule,$468.75m October balance less the January 31 scheduled $6.25m payment after the hypothetical refinancing timestamp.,February 1 same-point balance. The installment is funded in the revolver bridge and is not a free debt reduction.
P5A-028,debt,existing_opening_revolver,2026-02-01,207.39771875,USD_millions,calculated_same_point_opening_bridge,calculated_from_approved_inputs,SRC-001;SRC-003;SRC-021,CC-REF;P5A-027,"$172.5m October draw plus $25m reference movement, $6.25m January installment funding and $3.64771875m accrued-interest funding.","Same-point Phase 5 comparison assumption, not an actual January 2026 balance; FY2026 Q1 CFADS is disclosed but not separately credited to the Phase 4 principal sensitivity."
P5A-029,liquidity,proposed_revolver_commitment,2026-01-31_to_2031-01-31,300,USD_millions,inherited_testing_assumption,inherited_owner_reviewed,,P5-006;PT-003,Phase 4 provisional structure.,Not a commitment.
P5A-030,liquidity,existing_revolver_commitment,2026-01-31_to_2029-08-01,475,USD_millions,existing_contract_fact,not_applicable_existing_fact,SRC-001;SRC-003,EX-REVOLVER,Existing executed facility commitment.,Availability ceases at maturity absent amendment or waiver.
P5A-031,liquidity,letters_of_credit,modeled_term,6.2,USD_millions,inherited_reference_case,inherited_owner_reviewed,SRC-001;SRC-003,P5-005,Reference case assumes noncash replacement once under the applicable revolver.,"Issuer, sublimit and transition remain pending; LCs are counted once."
P5A-032,debt,retained_finance_leases_and_other_debt_opening_proxy,2026-01-31,62.619,USD_millions,reported_opening_fact,not_applicable_existing_fact,SRC-001;SRC-002,P5-007,"October 31, 2025 finance leases and other funded debt retained.",Public data do not allocate future payments between principal and interest.
P5A-033,debt,retained_finance_and_other_contractual_payments,FY2026,8.351,USD_millions,reported_undiscounted_payment_bucket,not_applicable_existing_fact,SRC-001,MT-0005,Phase 4 retained-obligation maturity schedule.,Includes interest and principal; not a liability roll-forward.
P5A-034,debt,retained_finance_and_other_contractual_payments,FY2027,8.031,USD_millions,reported_undiscounted_payment_bucket,not_applicable_existing_fact,SRC-001,MT-0006,Phase 4 retained-obligation maturity schedule.,Includes interest and principal; not a liability roll-forward.
P5A-035,debt,retained_finance_and_other_contractual_payments,FY2028,6.83,USD_millions,reported_undiscounted_payment_bucket,not_applicable_existing_fact,SRC-001,MT-0007,Phase 4 retained-obligation maturity schedule.,Includes interest and principal; not a liability roll-forward.
P5A-036,debt,retained_finance_and_other_contractual_payments,FY2029,6.498,USD_millions,reported_undiscounted_payment_bucket,not_applicable_existing_fact,SRC-001,MT-0008,Phase 4 retained-obligation maturity schedule.,Includes interest and principal; not a liability roll-forward.
P5A-037,debt,retained_finance_and_other_contractual_payments,FY2030,6.146,USD_millions,reported_undiscounted_payment_bucket,not_applicable_existing_fact,SRC-001,MT-0009,Phase 4 retained-obligation maturity schedule.,Includes interest and principal; not a liability roll-forward.
P5A-038,debt,retained_finance_and_other_contractual_payments,FY2031,6.146,USD_millions,continuation_assumption,owner_reviewed_for_phase5_testing,SRC-001,P5A-037;MT-0010,FY2030 annual amount continued solely to allocate FY2031 Q1.,The public filing puts FY2031 and later in an unallocated thereafter bucket.
P5A-039,cash_flow,operating_lease_cash_treatment,FY2026-FY2031,included_in_operating_costs_no_separate_subtraction,text,methodology_control,owner_reviewed_for_phase5_testing,SRC-001,P5-008,Operating lease expense remains in the operating cost base.,Contractual cash timing is not separately forecast to avoid double counting.
P5A-040,transaction,proposed_upfront_financing_and_advisory_fees,2026-01-31,10,USD_millions,inherited_reference_case,inherited_owner_reviewed,,CC-REF;P5-019,Included once in Phase 4 reference closing uses and funded debt.,Not subtracted again from the post-closing cash waterfall.
P5A-041,timing,working_capital_day_count,FY2026-FY2031,365,days,new_modeling_assumption,owner_reviewed_for_phase5_testing,,ASM-005;ASM-006,Trailing-12-month revenue and cost-of-sales denominators use 365 days.,Leap-year day differences are immaterial to this annualized public-information proxy.
P5A-042,pricing,recurring_financing_fees,modeled_term,,USD_millions,missing_input,pending_information,SRC-003,PT-012;PT-013,"Recurring commitment, LC, fronting, administrative and other financing fees are not fully determinable.",Excluded rather than entered as zero; modeled cash flow and liquidity are before these fees.
