ledger_id,artifact_path,record_type,record_id,source_ids,upstream_ids,classification,review_status,source_date,cutoff_status,notes
P6L-00012,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0011,SRC-001;SRC-002;SRC-003,SCN-007,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00013,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0012,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00014,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0013,SRC-001;SRC-002;SRC-003,SCN-001,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00015,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0014,SRC-001;SRC-002;SRC-003,SCN-002,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00016,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0015,SRC-001;SRC-002;SRC-003,SCN-003,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00017,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0016,SRC-001;SRC-002;SRC-003,SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00018,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0017,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00019,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0018,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00020,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0019,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00021,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0020,SRC-001;SRC-002;SRC-003,SCN-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00022,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0021,SRC-001;SRC-002;SRC-003,SCN-005,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00023,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0022,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00024,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0023,SRC-001;SRC-002;SRC-003,SCN-007,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00025,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0024,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00026,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0025,SRC-001;SRC-002;SRC-003,SCN-001,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00027,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0026,SRC-001;SRC-002;SRC-003,SCN-002,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00028,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0027,SRC-001;SRC-002;SRC-003,SCN-003,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00029,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0028,SRC-001;SRC-002;SRC-003,SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00030,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0029,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00031,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0030,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00032,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0031,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00033,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0032,SRC-001;SRC-002;SRC-003,SCN-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00034,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0033,SRC-001;SRC-002;SRC-003,SCN-005,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00035,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0034,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00036,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0035,SRC-001;SRC-002;SRC-003,SCN-007,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00037,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0036,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00038,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0037,SRC-001;SRC-002;SRC-003,SCN-001,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00039,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0038,SRC-001;SRC-002;SRC-003,SCN-002,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00040,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0039,SRC-001;SRC-002;SRC-003,SCN-003,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00041,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0040,SRC-001;SRC-002;SRC-003,SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00042,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0041,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00043,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0042,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00044,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0043,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00045,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0044,SRC-001;SRC-002;SRC-003,SCN-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00046,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0045,SRC-001;SRC-002;SRC-003,SCN-005,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00047,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0046,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00048,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0047,SRC-001;SRC-002;SRC-003,SCN-007,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00049,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0048,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00050,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0049,SRC-001;SRC-002;SRC-003,SCN-001,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00051,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0050,SRC-001;SRC-002;SRC-003,SCN-002,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00052,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0051,SRC-001;SRC-002;SRC-003,SCN-003,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00053,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0052,SRC-001;SRC-002;SRC-003,SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00054,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0053,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00055,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0054,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00056,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0055,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00057,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0056,SRC-001;SRC-002;SRC-003,SCN-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00058,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0057,SRC-001;SRC-002;SRC-003,SCN-005,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00059,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0058,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00060,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0059,SRC-001;SRC-002;SRC-003,SCN-007,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00061,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0060,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00062,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0061,SRC-001;SRC-002;SRC-003,SCN-001,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00063,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0062,SRC-001;SRC-002;SRC-003,SCN-002,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00064,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0063,SRC-001;SRC-002;SRC-003,SCN-003,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00065,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0064,SRC-001;SRC-002;SRC-003,SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00066,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0065,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00067,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0066,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00068,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0067,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00069,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0068,SRC-001;SRC-002;SRC-003,SCN-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00070,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0069,SRC-001;SRC-002;SRC-003,SCN-005,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00071,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0070,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00072,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0071,SRC-001;SRC-002;SRC-003,SCN-007,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00073,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0072,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00074,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0073,SRC-001;SRC-002;SRC-003,SCN-001,raw_governance_record,owner_reviewed_for_phase6_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
