comparison_id,candidate_id,candidate_name,scenario_id,scenario_treatment,opening_term_principal,opening_revolver,opening_bank_debt,retained_other_funded_debt,opening_gross_funded_debt,opening_gross_funded_leverage,zero_cash_net_leverage,capped_25m_cash_net_leverage_diagnostic,cash_eligibility_status,annual_amortization_percent,annual_scheduled_term_principal,cumulative_scheduled_principal_paid,cumulative_cash_sweep,cumulative_cash_interest,revolver_commitment,letters_of_credit,opening_revolver_availability,opening_usable_liquidity,subsequent_minimum_usable_liquidity,subsequent_minimum_liquidity_date,all_in_minimum_usable_liquidity,all_in_minimum_liquidity_date,peak_revolver_including_opening,peak_revolver_date,first_analytical_threshold_failure,first_50m_liquidity_warning,first_cash_floor_failure,revolver_capacity_exhaustion_date,first_mandatory_payment_failure_date,failed_obligation_type,maturity_date,unsupported_maturity_gap,overall_path_status,required_non_debt_contribution,source_ids,upstream_ids,classification,review_status,limitations
P7SC-011,STR-003,$650m reference term / 10% amortization,SEVERE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,10,65,297.0588273932158909744701078,0,270.6515859641137115210089798,300,6.2,263.90228125,263.90228125,0,2027-04-30,0,2027-04-30,293.8,2027-04-30,2026-07-31,2026-07-31,2027-04-30,2027-04-30,2027-07-31,SCHEDULED_TERM_PRINCIPAL,2031-01-31,599.6383060174362866681549561,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-003;SEVERE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-012,STR-003,$650m reference term / 10% amortization,MODERATE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,10,65,325,0,201.9085974838377390762913197,300,6.2,263.90228125,263.90228125,150.3823314888083323719222941,2027-01-31,150.3823314888083323719222941,2027-01-31,143.4176685111916676280777059,2027-01-31,2026-10-31,,,,,,2031-01-31,401.5690299099911542104946431,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-003;MODERATE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-013,STR-003,$650m reference term / 10% amortization,SEVERE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,10,65,303.7413603807603938878728159,0,269.9959758146673215550986446,300,6.2,263.90228125,263.90228125,0,2027-06-30,0,2027-06-30,293.8,2027-06-30,2026-08-31,2026-08-31,2027-06-30,2027-06-30,2027-10-31,SCHEDULED_TERM_PRINCIPAL,2031-01-31,552.112862534656563368911288,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-003;SEVERE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-014,STR-003,$650m reference term / 10% amortization,MODERATE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,10,65,325,0,203.3822329172079306870364425,300,6.2,263.90228125,263.90228125,0,2026-11-30,0,2026-11-30,123.4603528853292502871974204,2026-10-31,2026-10-31,2026-11-30,2026-11-30,,,,2031-01-31,404.1146321215873582061975075,LIQUIDITY_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-003;MODERATE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-015,STR-003,$650m reference term / 10% amortization,SEVERE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,10,65,268.4750426224085365314143694,0,252.3853438715577008357806314,300,6.2,263.90228125,263.90228125,0,2026-08-31,0,2026-08-31,243.991335067323123481407655,2026-07-31,2026-07-31,2026-07-31,2026-08-31,,2027-01-31,SCHEDULED_TERM_PRINCIPAL,2031-01-31,541.9008039856628091181709679,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-003;SEVERE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-016,STR-004,$650m term / 5% amortization,BASE,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,5,32.5,162.5,106.8970220266519061043799539,177.8915764158820586527899215,300,6.2,263.90228125,263.90228125,270.2589949494620632584278036,2026-02-28,263.90228125,OPENING_POSITION,29.89771875,OPENING_POSITION,,,,,,,2031-01-31,350.2855351863197552713999928,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-004;BASE;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-017,STR-004,$650m term / 5% amortization,MODERATE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,5,32.5,162.5,37.06614031666183895228223602,208.7003913970173265511594115,300,6.2,263.90228125,263.90228125,179.0238216530138919710110457,2027-01-31,179.0238216530138919710110457,2027-01-31,114.7761783469861080289889543,2027-01-31,2026-10-31,,,,,,2031-01-31,432.110823823170741685362735,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-004;MODERATE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-018,STR-004,$650m term / 5% amortization,SEVERE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,5,32.5,162.5,0,301.6260777155773124197547885,300,6.2,263.90228125,263.90228125,0,2027-11-30,0,2027-11-30,293.8,2027-11-30,2026-10-31,2027-01-31,2027-11-30,2027-11-30,2028-02-29,CASH_INTEREST,2031-01-31,645.0337977688998875669007651,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-004;SEVERE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-019,STR-004,$650m term / 5% amortization,MODERATE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,5,32.5,162.5,54.77067187221721968077543989,206.1961487593166712709244017,300,6.2,263.90228125,263.90228125,182.8823314888055966480594888,2027-01-31,182.8823314888055966480594888,2027-01-31,110.9176685111944033519405112,2027-01-31,2026-10-31,,,,,,2031-01-31,405.8565811854700864051277249,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-004;MODERATE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-020,STR-004,$650m term / 5% amortization,SEVERE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,5,32.5,162.5,0,292.1523355113345529648327092,300,6.2,263.90228125,263.90228125,0,2028-01-31,0,2028-01-31,293.8,2028-01-31,2026-10-31,2027-03-31,2028-01-31,2028-01-31,,,2031-01-31,579.5667222313237947786453527,LIQUIDITY_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-004;SEVERE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-021,STR-004,$650m term / 5% amortization,MODERATE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,5,32.5,162.5,37.41105298633624823978393298,208.2299148408267528581162209,300,6.2,263.90228125,263.90228125,0,2026-11-30,0,2026-11-30,105.7397399368465882264537237,2026-05-31,2026-10-31,2026-11-30,2026-11-30,,,,2031-01-31,431.6403472669801679923195445,LIQUIDITY_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-004;MODERATE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-022,STR-004,$650m term / 5% amortization,SEVERE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,5,32.5,149.9949584656192634254112481,0,259.7244267302920198030500129,300,6.2,263.90228125,263.90228125,0,2026-11-30,0,2026-11-30,233.0123127895753525773305827,2026-09-30,2026-10-31,2026-11-30,2026-11-30,,2027-03-31,CASH_INTEREST,2031-01-31,570.1147476602681342126507664,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-004;SEVERE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-023,STR-005,$650m term / 7.5% amortization,BASE,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,7.5,48.75,243.75,49.25699627213950722846753302,172.4923619895674089257862446,300,6.2,263.90228125,263.90228125,270.2589949494620632584278036,2026-02-28,263.90228125,OPENING_POSITION,29.89771875,OPENING_POSITION,,,,,,,2031-01-31,344.8863207600051055443963155,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-005;BASE;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-024,STR-005,$650m term / 7.5% amortization,MODERATE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,7.5,48.75,243.75,0,206.0769610555308863466661462,300,6.2,263.90228125,263.90228125,162.7738216530138729227906303,2027-01-31,162.7738216530138729227906303,2027-01-31,131.0261783469861270772093697,2027-01-31,2026-10-31,,,,,,2031-01-31,429.4873934816843014808694698,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-005;MODERATE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-025,STR-005,$650m term / 7.5% amortization,SEVERE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,7.5,48.75,231.5625,0,283.3452561571216699120897355,300,6.2,263.90228125,263.90228125,0,2027-07-31,0,2027-07-31,293.8,2027-07-31,2026-10-31,2026-11-30,2027-07-31,2027-07-31,2027-11-30,CASH_INTEREST,2031-01-31,620.170476210444245059235712,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-005;SEVERE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-026,STR-005,$650m term / 7.5% amortization,MODERATE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,7.5,48.75,243.75,6.409789866453200476228511905,202.2119170936533858167760129,300,6.2,263.90228125,263.90228125,166.6323314888057144134844545,2027-01-31,166.6323314888057144134844545,2027-01-31,127.1676685111942855865155455,2027-01-31,2026-10-31,,,,,,2031-01-31,401.8723495198068009509793356,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-005;MODERATE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-027,STR-005,$650m term / 7.5% amortization,SEVERE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,7.5,48.75,235.2108567139847942854370989,0,290.7002504832905933300759954,300,6.2,263.90228125,263.90228125,0,2027-10-31,0,2027-10-31,293.8,2027-10-31,2026-10-31,2027-01-31,2027-10-31,2027-10-31,2028-01-31,SCHEDULED_TERM_PRINCIPAL,2031-01-31,576.3371372032798351438886385,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-005;SEVERE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-028,STR-005,$650m term / 7.5% amortization,MODERATE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,7.5,48.75,243.75,0,204.7449365120824346543978561,300,6.2,263.90228125,263.90228125,0,2026-11-30,0,2026-11-30,111.5616196527851938335120027,2026-08-31,2026-10-31,2026-11-30,2026-11-30,,,,2031-01-31,414.0602048677856028168655842,LIQUIDITY_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-005;MODERATE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-029,STR-005,$650m term / 7.5% amortization,SEVERE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,7.5,48.75,215.1264516849705787975491723,0,255.5794708758137706221899896,300,6.2,263.90228125,263.90228125,0,2026-11-30,0,2026-11-30,241.1373127895729513904113153,2026-09-30,2026-10-31,2026-11-30,2026-11-30,,2027-02-28,CASH_INTEREST,2031-01-31,556.6017558663692329317051976,MANDATORY_PAYMENT_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-005;SEVERE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
