input_id,section,input_name,value,units,formula_or_definition,input_status,source_ids,upstream_ids,owner_review_status,phase8_model_location,limitations
P8I-016,amortization,annual_amortization,7.5,percent_of_original_funded_term,Paid 1.875% of original funded principal quarterly.,proposed,SRC-001;SRC-002;SRC-003,P7FA-016,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-017,maturity,term_and_revolver_maturity,2031-01-31,date,Five years from hypothetical close.,proposed,SRC-001;SRC-002;SRC-003,P7FA-017,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-018,pricing,term_and_drawn_revolver_margin,250-350,basis_points_over_SOFR,Phase 4 sensitivity range; no lender quote.,pending_lender_proposal,SRC-001;SRC-002;SRC-003,P7FA-018,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-019,pricing,modeled_all_in_rate,6.57,percent,3.57% base-rate proxy + 300 bps midpoint for comparison only.,testing_assumption,SRC-001;SRC-002;SRC-003,P7FA-019,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-020,cash,operating_cash_floor,25,USD_millions,Separate model reserve; not covenant eligible cash or a closing source.,model_control,SRC-001;SRC-002;SRC-003,P7FA-020,owner_reviewed,Liquidity,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-021,cash,contractual_cash_netting,0,USD_millions,Gross leverage proposal gives no cash-netting credit.,proposed,SRC-001;SRC-002;SRC-003,P7FA-021,owner_reviewed,Liquidity,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-022,covenants,maximum_gross_total_funded_leverage_initial,3.5,turns,"Through 2027-10-31; maintenance cushion above 3.25x sizing, not additional funding capacity.",proposed,SRC-001;SRC-002;SRC-003,P7FA-022,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-023,covenants,maximum_gross_total_funded_leverage_step1,3.25,turns,2027-11-01 through 2028-10-31.,proposed,SRC-001;SRC-002;SRC-003,P7FA-023,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-024,covenants,maximum_gross_total_funded_leverage_step2,3,turns,From 2028-11-01 through maturity.,proposed,SRC-001;SRC-002;SRC-003,P7FA-024,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-025,covenants,minimum_cash_interest_coverage,3,turns,LTM lender EBITDA / LTM cash interest paid or payable.,proposed,SRC-001;SRC-002;SRC-003,P7FA-025,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-026,covenants,minimum_usable_liquidity,50,USD_millions,Eligible accessible cash plus legally drawable revolver availability.,proposed,SRC-001;SRC-002;SRC-003,P7FA-026,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-027,warnings,leverage_warning_schedule,3.25/3.00/2.75,turns,Inclusive activation: leverage greater than or equal to the warning threshold triggers warning.,proposed,SRC-001;SRC-002;SRC-003,P7FA-027,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-028,warnings,cash_interest_coverage_warning,3.5,turns,Early intervention before the 3.00x proposed covenant.,proposed,SRC-001;SRC-002;SRC-003,P7FA-028,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-029,warnings,usable_liquidity_warning,75,USD_millions,Early intervention before the $50m proposed covenant.,proposed,SRC-001;SRC-002;SRC-003,P7FA-029,owner_reviewed,Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-030,prepayment,annual_excess_cash_flow_sweep,50,percent,After revolver repayment; no step-down; subject to stated cash safeguards.,proposed,SRC-001;SRC-002;SRC-003,P7FA-030,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-031,distributions,share_repurchase_rule,prohibited_if_debt_funded_or_revolver_outstanding,text,Both narrow and broad Phase 6 funding flags are addressed.,proposed,SRC-001;SRC-002;SRC-003,P7FA-031,owner_reviewed,Cash Flow/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-032,distributions,dividend_rule,no_default_and_leverage_lte_3.00x_and_liquidity_gte_75,text,Pro forma after payment; all restricted payments suspended after breach.,proposed,SRC-001;SRC-002;SRC-003,P7FA-032,owner_reviewed,Cash Flow/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-033,hold,participating_bank_hold_cap,50,USD_millions,Maximum participating bank exposure; facility allocation pending.,inherited_proposal,SRC-001;SRC-002;SRC-003,P7FA-033,owner_reviewed,Sources & Uses,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-034,security,collateral,eligible_domestic_obligor_personal_property,text,"Subject to lien, exclusion, perfection and permitted-lien diligence.",proposed,SRC-001;SRC-002;SRC-003,P7FA-034,owner_reviewed,Terms,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-035,security,guarantors,eligible_material_domestic_subsidiaries,text,Entity-by-entity post-Tyman schedule required.,proposed,SRC-001;SRC-002;SRC-003,P7FA-035,owner_reviewed,Terms,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-036,drawability,covenant_linked_no_waiver,shutoff_month_after_tested_breach,text,Warning alone does not terminate draws; inherited Phase 6 sensitivity remains separate.,proposed,SRC-001;SRC-002;SRC-003,P7FA-036,owner_reviewed,Liquidity/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-037,comparison,common_horizon_end,2029-07-31,date,"Like-for-like financing comparison through July 31, 2029.",proposed,SRC-001;SRC-002;SRC-003,P7FA-037,owner_reviewed,Financing Comparison,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-038,reporting,reporting_cadence,monthly_15_quarterly_45_annual_90,days,"Liquidity/control, quarterly certificate and annual audited reporting.",proposed,SRC-001;SRC-002;SRC-003,P7FA-038,owner_reviewed,Checks,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-039,closing,required_conditions,CP-001:CP-024,identifiers,No condition is assumed satisfied by public evidence alone.,inherited_required_conditions,SRC-001;SRC-002;SRC-003,P7FA-039,owner_reviewed,Sources & Uses/Checks,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-040,liquidity_presentation,opening_usable_liquidity,263.90228125,USD_millions,Revolver commitment less letters of credit and opening revolver borrowing; no cash add-on.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-040,owner_reviewed,Terms,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-041,liquidity_presentation,subsequent_minimum_usable_liquidity,270.3413453837759849937528067,USD_millions,Lowest post-closing non-maturity monthly usable-liquidity observation in the selected base case.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-041,owner_reviewed,Terms,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-042,liquidity_presentation,subsequent_minimum_liquidity_date,2026-02-28,date,Date of the selected base case post-closing minimum.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-042,owner_reviewed,Terms,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-043,liquidity_presentation,all_in_minimum_usable_liquidity,263.90228125,USD_millions,Lower of opening usable liquidity and the subsequent post-closing minimum.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-043,owner_reviewed,Terms,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-044,liquidity_presentation,all_in_minimum_liquidity_date,OPENING_POSITION,date_or_label,OPENING_POSITION when opening usable liquidity is the all-in minimum; otherwise the post-closing date.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-044,owner_reviewed,Terms,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
