headroom_id,test_id,scenario_id,period_end,framework,metric,actual,threshold,ratio_or_amount_headroom,debt_headroom,break_even_ebitda,earnings_cushion,units,status,formula,source_ids,upstream_ids,review_status,limitations
P7H-00011,P7CT-0003,BASE,2026-07-31,proposed_contractual,usable_liquidity,279.1572512820795926357500235,50,229.1572512820795926357500235,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0003,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00012,P7CT-0003,BASE,2026-07-31,analyst_warning,analyst_leverage_warning,N/D,3.25,N/D,,,,turns,not_determinable,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0003,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00013,P7CT-0004,BASE,2026-10-31,proposed_contractual,gross_funded_leverage,3.005542938804458834451367297,3.5,0.494457061195541165548632703,109.9047810699616466539823252,190.8722947185679830988621926,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0004,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00014,P7CT-0004,BASE,2026-10-31,proposed_contractual,cash_interest_coverage,N/D,3,N/D,,,N/D,turns,not_determinable,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0004,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00015,P7CT-0004,BASE,2026-10-31,proposed_contractual,usable_liquidity,287.6472184850120591539823259,50,237.6472184850120591539823259,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0004,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00016,P7CT-0004,BASE,2026-10-31,analyst_warning,analyst_leverage_warning,3.005542938804458834451367297,3.25,0.244457061195541165548632703,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0004,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00017,P7CT-0005,BASE,2027-01-31,proposed_contractual,gross_funded_leverage,3.010900117745100553008330918,3.5,0.489099882254899446991669082,108.7136297097105459681959148,191.2118230530469419491738817,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0005,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00018,P7CT-0005,BASE,2027-01-31,proposed_contractual,cash_interest_coverage,5.385958143510740202126050031,3,2.385958143510740202126050031,,,98.465997420890107402735056,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0005,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00019,P7CT-0005,BASE,2027-01-31,proposed_contractual,usable_liquidity,274.5526193143357031778914142,50,224.5526193143357031778914142,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0005,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00020,P7CT-0005,BASE,2027-01-31,analyst_warning,analyst_leverage_warning,3.010900117745100553008330918,3.25,0.239099882254899446991669082,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0005,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00021,P7CT-0006,BASE,2027-04-30,proposed_contractual,gross_funded_leverage,2.915315401745110872919001337,3.5,0.584684598254889127080998663,129.9585942922017869861123215,185.1402534729303228069045665,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0006,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00022,P7CT-0006,BASE,2027-04-30,proposed_contractual,cash_interest_coverage,5.515852506012362591373772084,3,2.515852506012362591373772084,,,101.3808395408491483102106538,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0006,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00023,P7CT-0006,BASE,2027-04-30,proposed_contractual,usable_liquidity,283.8968628447438701758340171,50,233.8968628447438701758340171,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0006,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00024,P7CT-0006,BASE,2027-04-30,analyst_warning,analyst_leverage_warning,2.915315401745110872919001337,3.25,0.334684598254889127080998663,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0006,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00025,P7CT-0007,BASE,2027-07-31,proposed_contractual,gross_funded_leverage,2.821840494743657547375663462,3.5,0.678159505256342452624336538,150.734307957078039800799591,179.2027521732889065706521452,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0007,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00026,P7CT-0007,BASE,2027-07-31,proposed_contractual,cash_interest_coverage,5.652596329943456315660689661,3,2.652596329943456315660689661,,,104.3045971994642298498317437,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0007,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00027,P7CT-0007,BASE,2027-07-31,proposed_contractual,usable_liquidity,292.7718673934888270027174918,50,242.7718673934888270027174918,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0007,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00028,P7CT-0007,BASE,2027-07-31,analyst_warning,analyst_leverage_warning,2.821840494743657547375663462,3.25,0.428159505256342452624336538,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0007,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00029,P7CT-0008,BASE,2027-10-31,proposed_contractual,gross_funded_leverage,2.744527948093004457878597482,3.5,0.755472051906995542121402518,167.917340524572993951337554,174.2917208900177056597071273,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0008,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00030,P7CT-0008,BASE,2027-10-31,proposed_contractual,cash_interest_coverage,5.782769901932487669463714308,3,2.782769901932487669463714308,,,106.9592946241185316741625096,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0008,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00031,P7CT-0008,BASE,2027-10-31,proposed_contractual,usable_liquidity,298.0542268849380301910250544,50,248.0542268849380301910250544,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0008,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00032,P7CT-0008,BASE,2027-10-31,analyst_warning,analyst_leverage_warning,2.744527948093004457878597482,3.25,0.505472051906995542121402518,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0008,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00033,P7CT-0009,BASE,2028-01-31,proposed_contractual,gross_funded_leverage,2.725009410437189492599225438,3.25,0.524990589562810507400774562,116.6882425955203415635619803,186.3632286466859269793447018,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0009,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00034,P7CT-0009,BASE,2028-01-31,proposed_contractual,cash_interest_coverage,5.933223288244630079441421771,3,2.933223288244630079441421771,,,109.8828745450320039808261963,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0009,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00035,P7CT-0009,BASE,2028-01-31,proposed_contractual,usable_liquidity,286.2342800133327071261046648,50,236.2342800133327071261046648,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0009,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00036,P7CT-0009,BASE,2028-01-31,analyst_warning,analyst_leverage_warning,2.725009410437189492599225438,3,0.274990589562810507400774562,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0009,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00037,P7CT-0010,BASE,2028-04-30,proposed_contractual,gross_funded_leverage,2.637422061922703800956262406,3.25,0.612577938077296199043737594,136.1550786874724940989289544,180.3718532661729137873769063,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0010,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00038,P7CT-0010,BASE,2028-04-30,proposed_contractual,cash_interest_coverage,6.096850137243124700682331739,3,3.096850137243124700682331739,,,112.8982378176104411688642262,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0010,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00039,P7CT-0010,BASE,2028-04-30,proposed_contractual,usable_liquidity,296.8834731148765065830071916,50,246.8834731148765065830071916,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0010,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00040,P7CT-0010,BASE,2028-04-30,analyst_warning,analyst_leverage_warning,2.637422061922703800956262406,3,0.362577938077296199043737594,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0010,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00041,P7CT-0011,BASE,2028-07-31,proposed_contractual,gross_funded_leverage,2.583872826558285472785338135,3.25,0.666127173441714527214661865,148.056183709650644468232762,176.7083917277113753258384448,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0011,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00042,P7CT-0011,BASE,2028-07-31,proposed_contractual,cash_interest_coverage,6.250867743685758182273646656,3,3.250867743685758182273646656,,,115.5921633215055866567019747,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0011,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00043,P7CT-0011,BASE,2028-07-31,proposed_contractual,usable_liquidity,306.9563022748204088016596383,50,256.9563022748204088016596383,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0011,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00044,P7CT-0011,BASE,2028-07-31,analyst_warning,analyst_leverage_warning,2.583872826558285472785338135,3,0.416127173441714527214661865,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0011,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00045,P7CT-0012,BASE,2028-10-31,proposed_contractual,gross_funded_leverage,2.47667663641329784196158705,3.25,0.77332336358670215803841295,171.88082059575334959916502,169.3761408572862583106050575,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0012,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00046,P7CT-0012,BASE,2028-10-31,proposed_contractual,cash_interest_coverage,6.404818676913543165599657855,3,3.404818676913543165599657855,,,118.1553623982829810507353012,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0012,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00047,P7CT-0012,BASE,2028-10-31,proposed_contractual,usable_liquidity,305.7235653288816302995085086,50,255.7235653288816302995085086,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0012,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00048,P7CT-0012,BASE,2028-10-31,analyst_warning,analyst_leverage_warning,2.47667663641329784196158705,3,0.52332336358670215803841295,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0012,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00049,P7CT-0013,BASE,2029-01-31,proposed_contractual,gross_funded_leverage,2.423116960085407556309374778,3,0.576883039914592443690625222,128.2190320404570509579115025,179.5220692620601131698221457,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0013,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00050,P7CT-0013,BASE,2029-01-31,proposed_contractual,cash_interest_coverage,6.594599862330297316972944091,3,3.594599862330297316972944091,,,121.1509508446886437930483376,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0013,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00051,P7CT-0013,BASE,2029-01-31,proposed_contractual,usable_liquidity,294.9850236012866011274215338,50,244.9850236012866011274215338,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0013,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00052,P7CT-0013,BASE,2029-01-31,analyst_warning,analyst_leverage_warning,2.423116960085407556309374778,2.75,0.326883039914592443690625222,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0013,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00053,P7CT-0014,BASE,2029-04-30,proposed_contractual,gross_funded_leverage,2.369565203348061933656841357,3,0.630434796651938066343158643,140.1205431791944917640469815,175.5533192620601131698221457,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0014,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00054,P7CT-0014,BASE,2029-04-30,proposed_contractual,cash_interest_coverage,6.796030853560286667512885965,3,3.796030853560286667512885965,,,124.1469424706408475078387413,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0014,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00055,P7CT-0014,BASE,2029-04-30,proposed_contractual,usable_liquidity,306.7154590689619483150332022,50,256.7154590689619483150332022,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0014,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00056,P7CT-0014,BASE,2029-04-30,analyst_warning,analyst_leverage_warning,2.369565203348061933656841357,2.75,0.380434796651938066343158643,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0014,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00057,P7CT-0015,BASE,2029-07-31,proposed_contractual,gross_funded_leverage,2.316012720946701888124698586,3,0.683987279053298111875301414,152.0220440876276572245496651,171.5845692620601131698221457,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0015,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00058,P7CT-0015,BASE,2029-07-31,proposed_contractual,cash_interest_coverage,7.00549458720616603689615033,3,4.00549458720616603689615033,,,127.0796149966992116610145843,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0015,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00059,P7CT-0015,BASE,2029-07-31,proposed_contractual,usable_liquidity,317.8484451908397879664782572,50,267.8484451908397879664782572,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0015,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00060,P7CT-0015,BASE,2029-07-31,analyst_warning,analyst_leverage_warning,2.316012720946701888124698586,2.75,0.433987279053298111875301414,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0015,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00061,P7CT-0016,BASE,2029-10-31,proposed_contractual,gross_funded_leverage,2.181923486062407068749216036,3,0.818076513937592931250783964,181.8232240934734369728890971,161.6492492662701284243406829,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0016,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00062,P7CT-0016,BASE,2029-10-31,proposed_contractual,cash_interest_coverage,7.228283847197988965185121189,3,4.228283847197988965185121189,,,130.0122772261051291646545472,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0016,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00063,P7CT-0016,BASE,2029-10-31,proposed_contractual,usable_liquidity,311.6997099873699542364443884,50,261.6997099873699542364443884,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0016,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00064,P7CT-0016,BASE,2029-10-31,analyst_warning,analyst_leverage_warning,2.181923486062407068749216036,2.75,0.568076513937592931250783964,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0016,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00065,P7CT-0017,BASE,2030-01-31,proposed_contractual,gross_funded_leverage,2.128361408786912165603915641,3,0.871638591213087834396084359,193.7270723968313392595942065,157.6804992662701284243406829,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0017,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00066,P7CT-0017,BASE,2030-01-31,proposed_contractual,cash_interest_coverage,7.49043649608956899442268267,3,4.49043649608956899442268267,,,133.2402067451854177552237142,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0017,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00067,P7CT-0017,BASE,2030-01-31,proposed_contractual,usable_liquidity,302.1250204311185473631184039,50,252.1250204311185473631184039,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0017,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00068,P7CT-0017,BASE,2030-01-31,analyst_warning,analyst_leverage_warning,2.128361408786912165603915641,2.75,0.621638591213087834396084359,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0017,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00069,P7CT-0018,BASE,2030-04-30,proposed_contractual,gross_funded_leverage,2.074806217940837456863248961,3,0.925193782059162543136751039,205.628583654040311629709532,153.7117492662701284243406829,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0018,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00070,P7CT-0018,BASE,2030-04-30,proposed_contractual,cash_interest_coverage,7.772294907534176185774114574,3,4.772294907534176185774114574,,,136.4673572488827297069296199,turns,compliant,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0018,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
