waterfall_id,case_id,method,sequence,step,amount,unit,classification,source_or_ids,review_status
P9C-GC-3-W06,P9C-GC-3,going_concern,6,facility_claim_cap,850.8513795359564447978113096,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-3-W07,P9C-GC-3,going_concern,7,residual_after_bank_claim,0,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-1-W01,P9C-AR-1,asset_realization,1,gross_value,235.8346,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-1-W02,P9C-AR-1,asset_realization,2,less_realization_costs,-35.37519,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-1-W03,P9C-AR-1,asset_realization,3,proceeds_after_costs,200.45941,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-1-W04,P9C-AR-1,asset_realization,4,less_other_funded_obligations,-62.619,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-1-W05,P9C-AR-1,asset_realization,5,illustrative_allocation_to_bank_claim,137.84041,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-1-W06,P9C-AR-1,asset_realization,6,facility_claim_cap,850.8513795359564447978113096,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-1-W07,P9C-AR-1,asset_realization,7,residual_after_bank_claim,0,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-2-W01,P9C-AR-2,asset_realization,1,gross_value,410.054,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-2-W02,P9C-AR-2,asset_realization,2,less_realization_costs,-61.5081,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-2-W03,P9C-AR-2,asset_realization,3,proceeds_after_costs,348.5459,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-2-W04,P9C-AR-2,asset_realization,4,less_other_funded_obligations,-62.619,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-2-W05,P9C-AR-2,asset_realization,5,illustrative_allocation_to_bank_claim,285.9269,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-2-W06,P9C-AR-2,asset_realization,6,facility_claim_cap,850.8513795359564447978113096,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-2-W07,P9C-AR-2,asset_realization,7,residual_after_bank_claim,0,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-3-W01,P9C-AR-3,asset_realization,1,gross_value,574.0042,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-3-W02,P9C-AR-3,asset_realization,2,less_realization_costs,-86.10063,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-3-W03,P9C-AR-3,asset_realization,3,proceeds_after_costs,487.90357,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-3-W04,P9C-AR-3,asset_realization,4,less_other_funded_obligations,-62.619,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-3-W05,P9C-AR-3,asset_realization,5,illustrative_allocation_to_bank_claim,425.28457,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-3-W06,P9C-AR-3,asset_realization,6,facility_claim_cap,850.8513795359564447978113096,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-AR-3-W07,P9C-AR-3,asset_realization,7,residual_after_bank_claim,0,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
