decision_id,record_type,record_id,decision_status,owner_review_status,approved_treatment,remaining_limitation,review_context
ORD-016,assumption,ASM-016,pending_information,owner_reviewed,Other operating working-capital method to be resolved in Phase 5,Must not become a funding plug or zero,Governing Work Phase 3 owner-review revision
ORD-017,scenario,SCN-001,owner_reviewed_range,owner_reviewed,Moderate/severe volume calibration,No scenario has been run,Governing Work Phase 3 owner-review revision
ORD-018,scenario,SCN-002,owner_reviewed_range,owner_reviewed,Moderate/severe gross-margin calibration,Includes volume-related fixed-cost deleverage,Governing Work Phase 3 owner-review revision
ORD-019,scenario,SCN-003,owner_reviewed_range,owner_reviewed,Moderate/severe DSO calibration,No scenario has been run,Governing Work Phase 3 owner-review revision
ORD-020,scenario,SCN-004,owner_reviewed_range,owner_reviewed,Moderate/severe DIO calibration,No scenario has been run,Governing Work Phase 3 owner-review revision
ORD-021,scenario,SCN-005,owner_reviewed_range,owner_reviewed,Moderate/severe execution-delay calibration,Margin effect remains in SCN-002,Governing Work Phase 3 owner-review revision
ORD-022,scenario,SCN-006,owner_reviewed_range,owner_reviewed,Moderate/severe funding sensitivity,Phase 4 closing rate and hedge exposure still control,Governing Work Phase 3 owner-review revision
ORD-023,scenario,SCN-007,owner_reviewed_methodology,owner_reviewed,Both unmitigated cases retain selected base distributions,Distribution reductions occur only in mitigated cases,Governing Work Phase 3 owner-review revision
ORD-024,scenario,SCN-008,pending_information,owner_reviewed,Capex stress method preserves maintenance and safety floor,Project-level split is unavailable,Governing Work Phase 3 owner-review revision
ORD-025,scenario,SCN-009,pending_information,owner_reviewed,Payables and other operating working-capital stress method,Numeric ranges await a defensible Phase 5 forecast method,Governing Work Phase 3 owner-review revision
ORD-026,mitigation,MIT-001,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
ORD-027,mitigation,MIT-002,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
ORD-028,mitigation,MIT-003,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
ORD-029,mitigation,MIT-004,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
ORD-030,mitigation,MIT-005,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
ORD-031,mitigation,MIT-006,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
ORD-032,mitigation,MIT-007,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
ORD-033,mitigation,MIT-008,owner_reviewed_methodology,owner_reviewed,Owner-reviewed mitigation classification,Feasibility limits and separate-case treatment remain,Governing Work Phase 3 owner-review revision
